Energy,XS
0.00124203,2.98208
0.00163006,2.60307
0.00212234,2.28123
0.00278538,1.99132
0.00362657,1.74511
0.00475955,1.52337
0.00619694,1.33504
0.00813293,1.16537
0.0105891,1.02118
0.0138972,0.891334
0.0180942,0.781241
0.0234661,0.686167
0.0253,0.660845
0.033204,0.577269
0.0432317,0.506488
0.0567377,0.441822
0.0738726,0.387736
0.0969512,0.338267
0.126231,0.297475
0.165666,0.258898
0.215698,0.226499
0.283085,0.197837
0.368577,0.173281
0.483724,0.15112
0.691383,0.126408
0.900182,0.110683
1.18141,0.097044
1.5382,0.0847467
2.01874,0.0737068
2.62841,0.064595
3.44955,0.056233
4.49132,0.0494572
5.35839,0.0449373
7.03241,0.0391485
9.15622,0.0343526
10.6915,0.0314806
14.0316,0.0273488
18.2692,0.0239069
21.3577,0.0218222
28.03,0.0188472
35.1547,0.016684
44.7768,0.0144671
55.9644,0.0126696
66.9071,0.0113803
89.5271,0.00944325
111.902,0.00811838
138.45,0.00697689
170.684,0.00594014
223.778,0.00478641
265.969,0.00411334
320.011,0.00346716
384.008,0.00288673
447.53,0.0024734
531.908,0.00204024
618.664,0.00170901
703.994,0.00145853
810.655,0.00121942
938.65,0.00100073
1066.64,8.45529E-4
1194.64,7.16277E-4
1365.3,5.91148E-4
1578.62,4.79547E-4
1749.28,4.11661E-4
1962.6,3.47063E-4
2218.59,2.88333E-4
2474.58,2.47078E-4
2730.57,2.12911E-4
3157.22,1.74095E-4
3498.53,1.51273E-4
3925.18,1.30198E-4
4266.5,1.17811E-4
4778.48,1.02283E-4
5631.77,8.59213E-5
6485.07,7.49948E-5
7160.08,6.90806E-5
8191.66,6.18728E-5
9898.25,5.54154E-5
10239.6,5.46721E-5
10623.5,5.56238E-5
10794.2,5.82082E-5
10836.9,5.94596E-5
10935.1,6.62836E-5
10974.0,7.20495E-5
11006.3,8.04233E-5
11033.5,9.16122E-5
11056.8,1.07844E-4
11072.3,1.25113E-4
11085.9,1.47871E-4
11097.5,1.76908E-4
11107.2,2.12724E-4
11115.7,2.56662E-4
11122.4,3.07706E-4
11128.3,3.68525E-4
11133.6,4.45915E-4
11138.7,5.4989E-4
11142.9,6.71192E-4
11147.1,8.36065E-4
11150.3,0.00102136
11153.2,0.0012444
11156.0,0.00154699
11158.2,0.00189318
11160.2,0.00230213
11161.8,0.0027939
11163.1,0.00332756
11164.2,0.00394599
11165.0,0.00462643
11165.6,0.00549827
11166.2,0.00658744
11166.7,0.00786843
11167.2,0.00964891
11167.7,0.0121401
11168.1,0.0154966
11168.5,0.0194059
11169.0,0.0251499
11169.4,0.0328699
11169.9,0.0431558
11170.3,0.0567096
11170.8,0.074742
11171.2,0.0980529
11171.7,0.127778
11172.2,0.171179
11172.8,0.232313
11173.3,0.305076
11174.0,0.421645
11174.8,0.590097
11175.7,0.842561
11178.6,1.78025
11179.8,2.03614
11180.9,2.14201
11181.0,2.14343
11182.0,2.068
11183.1,1.85775
11184.7,1.35201
11186.4,0.813797
11187.3,0.574392
11188.1,0.409242
11188.8,0.295426
11189.3,0.218887
11189.9,0.165228
11190.4,0.123189
11190.9,0.0922068
11191.4,0.0688467
11191.8,0.052466
11192.2,0.0399304
11192.7,0.0304508
11193.1,0.0239147
11193.5,0.0188371
11194.0,0.0147477
11194.4,0.0117411
11194.8,0.00953564
11195.3,0.00791334
11195.8,0.00651322
11196.4,0.00547257
11197.1,0.00455975
11198.0,0.00384986
11199.2,0.00318051
11200.5,0.00268248
11202.2,0.00221205
11204.3,0.00180632
11206.6,0.00147904
11209.4,0.00119467
11212.7,9.59774E-4
11216.0,7.90828E-4
11219.9,6.44052E-4
11224.1,5.33031E-4
11228.8,4.4148E-4
11234.4,3.63052E-4
11240.6,3.00935E-4
11248.4,2.4532E-4
11257.1,2.03391E-4
11266.4,1.71602E-4
11277.7,1.45566E-4
11292.0,1.22748E-4
11307.7,1.05909E-4
11327.2,9.25595E-5
11351.2,8.1573E-5
11380.4,7.32633E-5
11413.9,6.71618E-5
11475.4,6.12346E-5
11552.0,5.71059E-5
11664.2,5.42719E-5
11888.7,5.18471E-5
12337.5,5.00019E-5
14270.7,4.74311E-5
15823.8,4.63883E-5
16859.3,4.73135E-5
17118.1,4.85642E-5
17406.8,5.2673E-5
17526.2,5.72184E-5
17615.8,6.38362E-5
17684.9,7.37379E-5
17724.7,8.36256E-5
17759.1,9.69844E-5
17784.3,1.11739E-4
17809.5,1.33922E-4
17829.0,1.59462E-4
17846.2,1.92288E-4
17859.8,2.30059E-4
17872.9,2.81434E-4
17883.6,3.41745E-4
17893.7,4.21531E-4
17901.9,5.12653E-4
17909.2,6.26195E-4
17916.2,7.79741E-4
17922.2,9.65033E-4
17927.4,0.00119084
17932.2,0.0014793
17936.4,0.00183424
17940.1,0.00227959
17943.3,0.00280163
17946.0,0.00343841
17948.6,0.0042869
17950.7,0.00525911
17952.2,0.00624474
17953.4,0.00735905
17954.4,0.00876391
17955.3,0.0105188
17956.1,0.0127342
17956.8,0.0154019
17957.5,0.0191022
17958.1,0.0242612
17958.8,0.0307547
17959.3,0.0386123
17959.9,0.0488744
17960.4,0.062175
17961.0,0.0792569
17961.6,0.103427
17962.3,0.137666
17963.0,0.181831
17963.7,0.244734
17964.5,0.331103
17965.4,0.455935
17966.5,0.641634
17968.0,0.957928
17970.8,1.60597
17972.4,1.88043
17973.8,1.98041
17974.0,1.98204
17975.3,1.91066
17976.7,1.71208
17978.8,1.24974
17980.9,0.760507
17982.1,0.527681
17983.0,0.391096
17983.9,0.284351
17984.7,0.209806
17985.3,0.160931
17986.0,0.122365
17986.6,0.0924825
17987.3,0.0696935
17987.9,0.0547224
17988.4,0.0427857
17989.0,0.0339501
17989.6,0.0272071
17990.1,0.0220854
17990.8,0.0175457
17991.5,0.0142849
17992.2,0.0117059
17993.1,0.00957423
17994.1,0.00790849
17995.2,0.00676232
17996.7,0.00562149
17998.6,0.00463418
18000.8,0.00379411
18003.2,0.0031422
18006.3,0.0025237
18010.0,0.00201542
18014.0,0.0016201
18018.2,0.0013253
18023.2,0.00107157
18028.4,8.80489E-4
18034.4,7.19111E-4
18040.9,5.93535E-4
18048.7,4.83589E-4
18057.3,3.96149E-4
18068.2,3.19428E-4
18079.0,2.66341E-4
18092.4,2.18898E-4
18107.9,1.80572E-4
18126.1,1.49999E-4
18148.6,1.24604E-4
18172.8,1.07011E-4
18193.6,9.55999E-5
18228.2,8.28185E-5
18269.7,7.2853E-5
18325.1,6.51066E-5
18380.5,5.99704E-5
18487.4,5.4362E-5
18571.0,5.19283E-5
18831.3,4.84912E-5
19265.0,4.65303E-5
21000.0,4.54983E-5
25252.4,4.70372E-5
29157.8,5.01559E-5
34039.5,5.65296E-5
37944.9,6.3847E-5
40873.9,7.08197E-5
45755.6,8.82384E-5
49661.0,1.09109E-4
52590.0,1.32077E-4
55277.6,1.62343E-4
57102.4,1.92979E-4
57965.2,2.17626E-4
58380.4,2.41874E-4
58583.3,2.65573E-4
58704.3,2.90221E-4
58825.2,3.33542E-4
58899.1,3.79527E-4
58949.5,4.27918E-4
58999.9,5.01127E-4
59041.9,5.96256E-4
59074.7,7.08316E-4
