Energy,XS
0.0010389,0.84587
0.00163006,0.775788
0.00278538,0.722762
0.00569018,0.684114
0.0166146,0.659719
0.0234661,0.656008
0.0253,0.655356
1.68858,0.646843
510.1,0.587575
1450.63,0.541722
3754.52,0.49846
11101.0,0.436609
11163.8,0.444071
11166.7,0.453583
11168.2,0.471292
11169.1,0.497922
11170.1,0.548268
11170.8,0.611339
11171.7,0.726027
11172.4,0.872338
11173.1,1.07553
11173.9,1.36347
11174.8,1.80121
11175.9,2.51532
11178.7,4.56319
11180.0,5.16021
11181.0,5.33177
11182.0,5.15956
11183.3,4.56208
11186.6,2.18933
11187.5,1.62891
11188.3,1.26408
11189.1,1.00119
11189.8,0.818293
11190.6,0.688266
11191.4,0.587665
11192.4,0.519542
11193.4,0.482642
11194.3,0.463449
11196.3,0.448554
11211.2,0.437872
17848.6,0.38745
17942.4,0.39473
17951.3,0.404555
17955.8,0.424801
17957.3,0.44576
17958.8,0.489446
17959.9,0.550753
17960.9,0.640825
17961.9,0.770522
17962.8,0.959495
17963.8,1.22478
17964.7,1.58225
17965.8,2.12561
17967.0,2.88721
17969.3,4.65477
17971.4,6.17222
17972.9,6.89106
17974.0,7.04094
17975.3,6.80167
17976.6,6.17226
17978.9,4.52291
17981.0,2.89505
17982.2,2.12209
17983.2,1.61237
17984.1,1.25741
17985.1,0.988227
17986.0,0.794255
17986.9,0.659443
17987.9,0.568756
17989.0,0.500398
17990.1,0.460496
17992.1,0.427052
17995.9,0.40673
18013.4,0.39142
18380.5,0.383047
30134.1,0.283505
38921.2,0.191986
47952.4,0.082889
51491.6,0.0405668
53009.9,0.0246394
54101.8,0.0147326
54773.7,0.00959994
55277.6,0.00630758
55676.5,0.00414683
55983.1,0.00276058
56218.3,0.00187998
56416.9,0.00127597
56537.4,9.72922E-4
56639.5,7.47528E-4
56730.8,5.84704E-4
56816.6,4.53962E-4
56901.2,3.54734E-4
56978.2,2.88473E-4
57046.0,2.50096E-4
57102.4,2.3172E-4
57153.3,2.25991E-4
57211.9,2.33991E-4
57273.8,2.58518E-4
57344.4,3.05731E-4
57414.9,3.76296E-4
57483.4,4.66449E-4
57570.5,6.12578E-4
57662.8,8.08847E-4
57791.6,0.00115711
57917.6,0.00158266
58049.2,0.00213318
58183.6,0.00280484
58325.5,0.00366538
58482.6,0.00481002
58643.8,0.00632375
58764.8,0.00782497
58865.5,0.00950561
58949.5,0.0115519
59008.3,0.013709
59050.3,0.0159886
59083.9,0.0186207
59113.3,0.0219741
59140.2,0.0265622
59160.8,0.0317934
59178.4,0.0383241
59194.6,0.0471123
59207.8,0.0576414
59218.9,0.0704191
59227.7,0.0846382
59236.1,0.10352
59243.5,0.12678
59249.8,0.154646
59255.5,0.189633
59260.5,0.232887
59264.5,0.281334
59268.0,0.339636
59271.0,0.406295
59273.7,0.493333
59276.2,0.605105
59278.5,0.747709
59280.5,0.925098
59282.5,1.15981
59284.1,1.43441
59285.8,1.79492
59287.6,2.30321
59289.4,2.94631
59291.6,3.9655
59293.9,5.35721
59297.2,7.87137
59303.2,12.7595
59306.0,14.3421
59308.9,14.9692
59309.0,14.9695
59311.6,14.5105
59314.7,12.8206
59320.8,7.9085
59324.1,5.37259
59326.4,3.97705
59328.5,2.99799
59330.5,2.26198
59332.2,1.79334
59334.0,1.40151
59335.9,1.10565
59337.8,0.889098
59339.9,0.715139
59341.9,0.594136
59344.4,0.48507
59347.5,0.393554
59350.8,0.322357
59354.4,0.267998
59358.7,0.220648
59363.6,0.181453
59369.5,0.147872
59376.0,0.121367
59383.3,0.0999674
59392.6,0.0810952
59402.9,0.0665872
59415.5,0.0544708
59429.3,0.045453
59445.5,0.0383178
59466.9,0.0321747
59492.1,0.0276829
59517.3,0.0248593
59554.2,0.0223962
59591.2,0.0210354
59665.1,0.0199702
59695.3,0.0198798
59779.3,0.0201978
59987.8,0.0226823
60349.0,0.0292349
60772.1,0.0389776
60860.7,0.0422121
60877.1,0.044447
60881.9,0.0464216
60885.1,0.049486
60887.6,0.0541585
60889.6,0.0611091
60891.5,0.0720462
60893.0,0.085146
60894.5,0.103709
60896.0,0.129384
60897.7,0.167967
60899.3,0.219614
60901.0,0.288437
60903.0,0.390862
60905.9,0.569474
60911.3,0.952526
