Event,HasHit,Pos
1,1,1.2592
2,1,9.79542
3,1,1.61702
4,1,0.358594
5,1,0.382163
6,1,7.71793
7,1,5.56406
8,0,5.26118
9,0,0.645895
10,1,1.79763
11,1,0.334008
12,1,0.405362
13,1,0.686943
14,1,3.48863
15,1,14.5734
16,1,1.46503
17,1,4.06746
18,1,4.66237
19,1,0.522373
20,1,3.05423
21,1,6.98667
22,1,4.0649
23,1,3.31905
24,1,0.262604
25,1,14.4488
26,1,6.5054
27,1,0.536408
28,1,3.07518
29,1,1.81472
30,1,5.10057
31,1,3.16854
32,1,1.01252
33,1,0.930761
34,1,0.715905
35,1,1.13028
36,1,5.24595
37,1,1.25021
38,0,0.105069
39,1,2.54878
40,0,5.38457
41,1,0.454918
42,1,9.34808
43,0,1.25907
44,1,5.94068
45,1,8.15394
46,1,1.38964
47,1,2.46465
48,1,2.80936
49,1,3.0686
50,1,0.218745
51,1,3.10059
52,1,3.29092
53,1,1.00575
54,1,3.31075
55,1,2.82742
56,1,2.47415
57,1,0.67978
58,1,1.51522
59,1,10.0094
60,1,2.07033
61,1,0.617407
62,1,0.243049
63,1,0.784017
64,1,15.8638
65,1,7.34089
66,1,3.42589
67,1,5.88049
68,1,3.20305
69,1,0.297665
70,1,4.25432
71,1,0.471542
72,1,4.11409
73,1,3.7601
74,1,13.1038
75,1,1.30014
76,0,0.361721
77,1,1.67264
78,1,5.91062
79,1,1.94001
80,1,5.29777
81,1,6.0154
82,0,3.98574
83,1,3.75573
84,1,1.59495
85,1,8.16732
86,1,2.46427
87,1,0.225193
88,0,4.04428
89,1,3.25461
90,1,7.61994
91,1,7.12653
92,1,3.62716
93,1,0.549256
94,1,0.982655
95,1,5.84264
96,1,0.985859
97,1,3.75336
98,1,1.05826
99,1,6.39947
100,1,4.19454
101,1,0.795212
102,1,2.92065
103,1,9.30558
104,1,1.00128
105,1,0.177951
106,1,19.9462
107,1,1.5234
108,1,6.96651
109,1,2.7724
110,0,2.80364
111,1,2.45767
112,1,0.615962
113,1,1.60512
114,1,8.71258
115,1,5.99398
116,1,8.93952
117,1,2.65145
118,1,0.159421
119,1,1.14742
120,1,2.60001
121,1,1.61565
122,1,1.52217
123,1,3.14957
124,1,6.53581
125,1,2.60575
126,1,0.633827
127,1,3.38821
128,1,2.35348
129,1,2.00357
130,1,0.708466
131,1,5.87245
132,1,7.87771
133,1,2.67493
134,1,1.30909
135,1,0.785506
136,0,10.0016
137,0,1.48905
138,1,0.111704
139,1,8.37187
140,1,0.176748
141,1,0.824696
142,0,6.65049
143,1,6.05499
144,1,1.69528
145,1,0.684009
146,1,5.66961
147,1,0.387335
148,1,0.159287
149,0,0.23658
150,1,5.42601
151,1,2.19463
152,1,8.64693
153,1,1.18635
154,1,5.2511
155,1,0.899967
156,1,1.74382
157,1,2.52656
158,1,1.18944
159,1,3.67456
160,1,0.750261
161,1,3.46297
162,1,6.42188
163,1,4.67245
164,1,3.68987
165,1,1.34447
166,1,0.260853
167,1,3.16685
168,1,4.56814
169,1,0.657537
170,1,14.5147
171,1,2.23024
172,1,0.317652
173,1,8.40699
174,1,2.87462
175,0,6.7726
176,1,3.20958
177,1,0.743699
178,1,4.80621
179,1,1.43607
180,1,1.34856
181,1,0.640414
182,1,3.15452
183,1,1.9305
184,1,0.831361
185,1,3.30442
186,0,0.207186
187,1,0.00457277
188,1,0.670261
189,1,1.01374
190,1,2.93878
191,1,12.2967
192,1,1.29477
193,1,0.426067
194,1,1.98749
195,1,1.80833
196,1,14.0787
197,1,2.90397
198,1,0.849194
199,1,5.97283
200,1,1.60771
201,1,2.59958
202,1,5.15282
203,1,2.24944
204,1,0.85707
205,1,2.1169
206,0,1.23834
207,1,1.54294
208,1,3.35083
209,1,3.40443
210,1,2.13069
211,1,0.386772
212,1,0.845593
213,0,0.49193
214,1,1.61392
215,1,3.42265
216,1,7.27813
217,1,3.07371
218,1,2.87142
219,0,8.09191
220,1,7.69311
221,1,1.08337
222,1,0.658085
223,1,0.340676
224,1,6.47004
225,1,4.19891
226,1,1.17748
227,0,7.31717
228,1,4.81162
229,1,2.03626
230,0,3.02853
231,1,0.377013
232,0,2.41262
233,1,0.678309
234,1,2.13168
235,1,0.121091
236,1,0.323698
237,1,6.90569
238,1,2.94803
239,1,2.17344
240,1,5.17909
241,1,3.24147
242,1,2.47932
243,1,5.01049
244,1,3.58367
245,1,5.01677
246,0,0.351426
247,1,0.257134
248,1,0.318596
249,0,1.84766
250,1,1.29663
251,1,0.867426
252,0,4.03196
253,1,1.44009
254,1,3.26222
255,1,4.15632
256,1,0.34492
257,0,1.06903
258,1,2.4667
259,1,4.35568
260,0,0.345479
261,1,2.47508
262,1,6.5309
263,1,2.34429
264,1,2.15442
265,1,3.69723
266,1,1.46584
267,1,0.243224
268,1,1.55691
269,1,0.565259
270,0,0.984194
271,1,2.87403
272,1,1.13253
273,0,1.82905
274,1,1.31443
275,1,0.787961
276,1,5.13468
277,1,6.95403
278,1,1.62878
279,1,1.28883
280,1,0.892706
281,1,6.2036
282,1,0.135416
283,1,0.313888
284,1,3.68076
285,1,0.0512163
286,1,3.34023
287,1,9.3074
288,1,1.81062
289,1,8.17319
290,1,0.208136
291,1,1.05593
292,0,10.0512
293,1,1.99738
294,1,15.7784
295,1,5.39668
296,1,1.71849
297,1,2.23309
298,1,0.0918359
299,1,0.868377
300,1,0.517896
301,1,0.437448
302,1,0.249055
303,1,2.91888
304,1,5.89412
305,1,6.6023
306,1,2.28351
307,1,0.327939
308,1,4.27351
309,1,0.367043
310,1,3.56942
311,0,1.18906
312,1,0.932186
313,0,7.02772
314,1,5.1251
315,1,1.20106
316,1,1.3338
317,1,2.18015
