Event,HasHit,Pos
1,1,3.44026
2,1,7.0022
3,0,15.883
4,0,4.34936
5,1,14.503
6,0,10.4654
7,0,13.4663
8,1,9.96996
9,1,12.93
10,1,6.22902
11,1,2.20559
12,1,8.46827
13,0,8.45881
14,1,11.6965
15,1,2.49848
16,0,4.71418
17,1,20.268
18,1,3.80167
19,1,1.51578
20,0,0.81469
21,1,9.00547
22,1,2.19716
23,1,39.0987
24,0,22.9833
25,1,0.840172
26,1,4.76767
27,0,2.73842
28,1,0.555847
29,1,9.13183
30,0,2.0543
31,1,18.9616
32,1,5.00773
33,0,7.38163
34,1,1.80067
35,1,6.25171
36,1,9.21143
37,1,2.89979
38,1,5.21202
39,1,0.356123
40,1,18.6668
41,0,1.09715
42,1,13.727
43,1,1.65677
44,1,7.87948
45,0,4.68735
46,1,4.23971
47,1,3.89288
48,1,4.25992
49,1,5.87477
50,1,2.41039
51,1,14.1136
52,1,3.75075
53,1,2.4418
54,1,9.0378
55,0,8.45583
56,1,0.790304
57,1,7.21313
58,0,5.2233
59,0,12.0082
60,1,4.86048
61,1,2.13322
62,1,6.18665
63,1,39.2366
64,1,24.5774
65,1,7.43114
66,1,6.28478
67,0,7.48558
68,1,15.4977
69,1,7.9623
70,1,14.7355
71,0,2.30704
72,1,3.01893
73,1,1.79222
74,1,6.42499
75,1,4.79923
76,1,0.429164
77,1,3.46033
78,0,12.3353
79,1,5.19838
80,1,1.72854
81,1,5.29189
82,1,4.73294
83,1,3.78705
84,1,12.2916
85,1,10.8671
86,1,10.2896
87,1,0.387948
88,0,11.71
89,1,3.2652
90,1,4.8363
91,1,11.3942
92,1,1.76091
93,1,12.1924
94,0,0.74076
95,1,0.733206
96,1,8.94182
97,1,7.38258
98,0,5.31772
99,1,0.174065
100,1,6.35281
101,1,19.5238
102,0,7.90456
103,0,1.0415
104,1,6.91479
105,1,2.32733
106,1,5.72999
107,1,6.94826
108,1,7.63331
109,1,10.892
110,1,4.25804
111,1,15.3119
112,1,6.67907
113,1,0.636956
114,1,0.790122
115,1,1.54927
116,1,13.7094
117,1,18.4072
118,1,6.3016
119,1,9.87392
120,0,13.1929
121,1,6.09988
122,1,7.09855
123,1,2.50741
124,1,1.2681
125,1,2.17385
126,0,5.51172
127,1,9.6032
128,1,2.98547
129,1,2.88271
130,1,4.50475
131,1,15.5423
132,1,3.9821
133,0,4.84623
134,1,2.46222
135,1,1.17416
136,1,8.49477
137,0,16.2007
138,1,11.4572
139,1,6.41789
140,0,17.8252
141,1,13.7439
142,1,23.2853
143,1,6.97278
144,0,1.94833
145,0,31.7566
146,1,20.9411
147,1,2.33535
148,1,16.5712
149,1,10.8467
150,1,2.44063
151,1,7.52277
152,0,0.922214
153,1,4.10451
154,1,3.03292
155,1,0.0436764
156,0,3.53944
157,1,2.26472
158,1,2.41286
159,0,2.73849
160,0,17.7307
161,1,10.4212
162,1,0.44799
163,0,7.39761
164,1,48.5008
165,0,5.54383
166,1,0.547638
167,1,0.952362
168,0,0.615528
169,1,16.3136
170,0,7.7774
171,1,6.53876
172,1,11.8043
173,1,9.2066
174,1,42.4117
175,1,4.55655
176,0,2.67995
177,0,3.84027
178,1,2.09365
179,1,3.38127
180,0,0.935566
181,1,6.806
182,1,11.1055
183,1,1.9845
184,1,2.41492
185,1,26.2078
186,1,3.98041
187,1,3.40925
188,1,2.0728
189,1,13.1611
190,1,4.75857
191,0,9.32158
192,1,0.83233
193,1,6.03982
194,1,8.05256
195,1,6.28561
196,1,1.75726
197,1,2.44135
198,1,28.9284
199,1,2.83312
200,1,0.747073
201,1,3.7966
202,1,0.65472
203,1,10.7916
204,0,1.76452
205,1,4.56461
206,1,7.66472
207,1,7.54062
208,0,0.267789
209,1,1.43302
210,1,3.02685
211,0,9.40421
212,1,6.01976
213,1,0.960157
214,1,8.12645
215,1,14.172
216,0,6.94203
217,1,10.1382
218,1,9.25476
219,1,26.8616
220,1,10.1745
221,1,6.35133
222,1,1.54884
223,0,0.904001
224,1,17.7029
225,1,2.78214
226,1,13.1974
227,1,0.0746089
228,1,19.5845
229,1,12.0244
230,1,11.3338
231,0,5.84301
232,0,1.86225
233,1,4.38845
234,1,15.7174
235,1,9.09143
236,1,0.705324
237,1,2.42615
238,1,16.3958
239,0,13.5722
240,1,2.16817
241,0,19.7939
242,1,7.72655
243,0,1.2364
244,1,4.28007
245,1,7.1899
246,0,0.453118
247,1,1.48686
248,1,2.69054
249,1,5.26645
250,1,0.9199
251,1,0.747088
252,1,4.29073
253,1,7.33505
254,1,4.6888
255,0,3.96215
256,0,3.12474
257,1,8.80193
258,1,2.84458
259,0,4.31265
260,1,20.7942
261,0,5.34405
262,1,10.9595
263,0,3.23099
264,1,2.62364
265,1,1.90709
266,1,4.14209
267,1,5.00423
268,1,3.97767
269,0,2.40851
270,1,8.1427
271,1,14.9118
272,1,8.09333
273,0,5.14078
274,1,0.645356
275,1,5.29873
276,1,37.1174
277,1,11.5686
278,0,7.7862
279,1,8.30688
280,1,4.06087
281,1,15.3314
282,1,3.47111
283,1,3.29967
284,1,3.50166
285,1,24.1342
286,1,2.62177
287,0,1.11461
288,1,5.36279
289,1,3.8149
290,1,14.7545
291,0,6.41939
292,1,4.161
293,1,2.22797
294,1,25.2573
295,1,3.33142
296,1,2.83863
297,1,3.3598
298,0,6.09867
299,0,8.13615
300,0,3.75964
301,1,1.38901
302,1,20.5807
303,1,0.177007
304,1,11.581
305,0,15.0602
306,1,12.0287
307,1,6.7171
308,1,18.0663
309,1,32.3845
310,0,0.382011
311,1,3.90565
312,0,10.0879
313,1,0.140352
314,1,9.5428
315,0,9.83938
316,1,1.46755
317,0,10.0219
318,1,0.0827939
319,1,5.13383
320,0,11.456
321,1,0.837834
322,0,1.18401
323,1,16.4366
324,0,9.10322
325,1,1.58399
326,1,17.3064
327,1,0.106703
328,1,3.75929
329,0,12.3601
330,1,2.61206
331,1,14.8808
332,1,5.64464
333,0,10.7525
334,1,16.5998
335,1,14.1066
336,0,0.513734
337,1,3.69783
338,1,24.1926
339,1,9.52039
340,1,12.9622
341,0,4.27555
342,0,1.01356
343,1,8.40888
344,0,2.72771
345,1,8.23951
346,1,12.8213
347,1,1.67514
348,0,5.13514
349,1,8.50342
350,1,15.9159
351,0,7.93525
352,1,1.31723
353,1,8.86706
354,0,1.84518
355,0,2.72606
356,1,16.5989
357,0,0.59388
358,1,10.5027
359,0,2.50008
360,1,1.52903
361,1,7.74053
362,1,14.6757
363,1,21.0958
364,1,0.291128
365,1,4.96391
366,0,6.29658
367,0,1.73757
368,1,9.05076
369,1,1.85237
370,1,7.38138
371,1,2.72256
372,1,1.64946
373,0,0.118867
374,1,17.7826
375,0,11.3798
376,1,1.40391
377,1,19.3046
378,1,3.00436
379,1,26.2739
380,1,5.72762
381,1,7.82828
382,1,7.36773
383,0,0.159229
384,0,1.97747
385,0,0.861724
386,0,0.648719
387,1,2.31859
388,1,7.3726
389,1,8.51361
390,1,9.6158
391,0,0.16625
392,1,8.90695
393,0,11.9375
394,1,2.96416
395,1,3.7006
396,0,4.61377
397,1,13.6484
398,1,4.35148
399,1,4.58917
400,1,25.8367
401,1,2.3269
402,1,16.6215
403,1,0.693671
404,0,0.383579
405,1,18.0594
406,1,0.721873
407,1,0.193791
408,1,1.81779
409,1,16.6476
410,0,4.77452
411,1,12.8725
412,1,15.5239
413,0,7.96804
414,1,10.8489
415,1,3.57935
416,1,10.9997
417,0,28.3465
418,1,13.0463
419,1,7.89163
420,1,2.39904
421,1,1.23373
422,1,2.52646
423,0,4.07369
424,1,9.93346
425,1,36.7185
426,0,35.2992
427,1,3.12968
428,1,3.04868
429,1,11.78
430,1,7.73072
431,0,4.94298
432,1,0.963442
433,1,5.25563
434,1,5.2372
435,1,10.0315
436,1,12.615
437,1,29.8639
438,1,4.80348
439,1,8.01393
440,1,9.28613
441,1,1.58651
442,1,4.76099
443,1,14.1558
444,1,14.8644
445,1,4.91819
446,1,5.73574
447,0,0.0819711
448,0,3.14692
449,1,3.1918
450,0,0.678601
451,1,1.43531
452,1,1.2692
453,1,6.00798
454,1,21.3951
455,1,25.3219
456,1,3.36847
457,1,12.6153
458,0,2.26036
459,1,3.79351
460,1,0.620536
461,0,12.824
462,1,2.45932
463,1,17.1154
464,0,6.22463
465,0,7.18615
466,1,2.15845
467,1,2.91838
468,1,11.1351
469,1,7.92047
470,1,2.73852
471,1,15.7915
472,1,4.27841
473,1,0.188581
474,0,1.63463
475,1,2.67595
476,1,1.44656
477,0,17.9823
478,1,0.480208
479,1,2.49858
480,1,1.53556
481,1,0.0210807
482,0,6.55086
483,1,6.14678
484,1,9.67966
485,1,0.933617
486,1,2.52694
487,0,2.79723
488,1,2.45715
489,1,0.191364
490,1,1.37887
491,1,4.90656
492,0,25.7775
493,1,1.56548
494,1,2.99396
495,1,7.25103
496,1,15.7928
497,1,3.14763
498,1,6.97875
499,1,14.4818
500,1,8.66849
501,1,1.58531
502,0,10.1215
503,1,0.572241
504,1,1.06644
505,1,19.5914
506,1,12.57
507,1,12.8959
508,1,6.69184
509,1,2.8433
510,0,3.87011
511,1,0.825674
512,1,6.45296
513,1,2.99305
514,1,2.24208
515,1,0.234385
516,1,7.84671
517,1,10.3311
518,0,9.2181
519,0,6.4019
520,1,14.9085
521,1,6.179
522,0,2.56869
523,1,0.839117
524,1,8.93881
525,0,26.9216
526,1,2.8003
527,1,4.92693
528,1,14.5995
529,1,6.82808
530,0,1.87364
531,1,33.3547
532,1,17.6837
533,1,10.6286
534,1,0.790395
535,1,3.33499
536,1,3.0755
537,1,18.9053
538,1,8.36199
539,1,17.2506
540,1,4.28179
541,0,10.5891
542,1,2.58912
543,1,1.38126
544,1,20.3525
545,1,2.60091
546,1,35.191
547,0,3.69258
548,1,0.30686
549,1,19.7908
550,1,0.425839
551,0,0.0781192
552,1,2.45957
553,1,4.29269
554,0,18.576
555,0,6.72517
556,1,0.17055
557,0,28.9119
558,0,27.0487
559,0,4.51153
560,0,5.21991
561,1,1.96668
562,0,4.75913
563,1,4.50546
564,0,0.834835
565,1,20.1759
566,1,16.632
567,1,6.42703
568,1,13.3917
569,1,2.74183
570,1,0.0429608
571,1,33.2675
572,0,4.36373
573,0,6.17595
574,1,13.4488
575,1,17.8236
576,1,0.150737
577,1,1.02511
578,0,10.5096
579,1,1.62808
580,1,3.09594
581,1,0.380485
582,1,3.00719
583,0,1.47371
584,1,1.21256
585,0,17.3399
586,1,11.9331
587,1,13.4621
588,1,4.81078
589,1,24.5747
590,1,0.95102
591,1,3.40558
592,1,1.29576
593,1,2.03487
594,0,6.14741
595,1,6.54739
596,1,0.381444
597,1,1.72544
598,1,1.79081
599,1,19.5054
600,0,15.4306
601,1,0.480009
602,0,5.54102
603,1,7.68101
604,1,3.3562
605,1,7.69756
606,1,2.65011
607,1,9.01394
608,1,22.697
609,1,12.1433
610,1,14.7719
611,1,0.93415
612,1,11.2238
613,1,1.9404
614,1,5.5654
615,1,0.402964
616,1,8.24949
617,1,3.13726
618,1,15.0881
619,1,12.8021
620,1,9.58305
621,1,13.0654
622,1,7.44973
623,1,6.96378
624,1,12.8774
625,1,3.95511
626,1,0.00367299
627,1,1.36259
628,0,8.98149
629,1,1.60878
630,1,2.03692
631,0,3.59956
632,1,0.165125
633,0,6.59236
634,1,4.34667
635,1,8.95869
636,1,5.24348
637,1,6.16152
638,1,0.951591
639,0,8.34334
640,1,4.20282
641,1,8.91825
642,1,1.24942
643,1,15.5941
644,1,0.852969
645,1,4.94658
646,0,25.3589
647,1,3.1298
648,1,5.16304
649,1,14.1847
650,1,1.97895
651,1,26.3955
652,1,6.72669
653,1,9.12425
654,1,5.11708
655,0,1.55798
656,1,7.03601
657,1,8.18011
658,1,10.3812
659,1,4.57125
660,1,0.179135
661,1,2.63504
662,1,1.80489
663,1,2.4309
664,1,12.5943
665,1,7.26669
666,1,1.16085
667,0,14.0284
668,1,0.952593
669,1,7.03796
670,1,14.7936
671,1,24.5314
672,1,10.781
673,1,12.0387
674,1,0.912236
675,1,3.19397
676,1,8.53354
677,1,20.348
678,1,0.417104
679,1,1.10552
680,0,19.8147
681,1,13.6102
682,1,4.86014
683,1,3.12494
684,0,1.60555
685,0,13.0205
686,1,9.72464
687,1,3.14094
688,1,3.45239
689,1,0.362844
690,0,11.5132
691,1,4.28605
692,1,4.17057
693,1,2.71447
694,1,2.76625
695,1,0.481381
696,1,9.91401
697,1,62.4971
698,1,4.35445
699,0,1.40066
700,1,2.99062
701,1,10.446
702,1,3.43212
703,1,14.7488
704,1,2.7593
705,1,7.8287
706,1,1.50133
707,1,3.5878
708,1,5.58341
709,1,8.41055
710,1,3.50191
711,0,7.75751
712,1,1.13024
713,1,6.67247
714,1,3.70662
715,1,7.00991
716,1,3.48063
717,1,2.14615
718,1,10.8136
719,1,6.40909
720,0,19.1954
721,1,0.0237215
722,1,4.48816
723,1,28.5258
724,1,2.89424
725,0,7.81455
726,0,5.33374
727,1,3.58764
728,1,0.700633
729,1,7.93918
730,1,6.46492
731,1,2.98637
732,1,27.5692
733,0,21.4244
734,1,7.58306
