Event,Hit,KE_i,KE_e
1,0,4.79562,0
2,0,5.53263,0
3,1,3.87935,1.13711
4,0,8.33555,0
5,0,6.69606,0
6,0,0.177699,0
7,0,3.44393,0
8,0,1.0181,0
9,0,3.69867,0
10,0,2.36882,0
11,0,3.58006,0
12,1,3.25382,2.15329
13,1,5.10077,2.53237
14,0,0.798805,0
15,0,5.44119,0
16,0,4.58774,0
17,0,3.19078,0
18,0,8.20624,0
19,0,0.443839,0
20,0,2.09996,0
21,0,7.84928,0
22,0,6.21251,0
23,0,4.45496,0
24,0,0.905547,0
25,0,2.9599,0
26,0,8.59291,0
27,0,8.57273,0
28,0,4.80388,0
29,0,4.3992,0
30,0,2.00054,0
31,0,6.66848,0
32,1,3.09141,0.00958589
33,0,3.39146,0
34,0,2.96599,0
35,0,3.75639,0
36,1,1.616,7.25388e-08
37,0,4.07498,0
38,0,4.4548,0
39,0,0.916075,0
40,0,1.98365,0
41,0,5.81704,0
42,1,6.49674,0.232581
43,1,7.09556,4.72181
44,0,2.26577,0
45,0,6.93099,0
46,0,2.56455,0
47,0,0,0
48,0,3.18302,0
49,0,5.30362,0
50,0,1.39196,0
51,1,3.43225,2.01932e-08
52,0,1.56527,0
53,0,6.62434,0
54,0,2.70623,0
55,0,0.279408,0
56,0,0,0
57,0,4.72118,0
58,0,6.28412,0
59,1,6.63213,4.9973
60,0,3.21798,0
61,0,2.83524,0
62,0,3.64341,0
63,0,4.02022,0
64,0,2.89904,0
65,0,1.3816,0
66,0,3.25371,0
67,1,2.65233,1.55523
68,0,3.94623,0
69,0,0.437618,0
70,0,3.10889,0
71,0,7.0048,0
72,0,2.93508,0
73,0,0.501508,0
74,0,5.5641,0
75,0,4.76824,0
76,0,1.16426,0
77,0,4.50385,0
78,0,4.2834,0
79,0,2.64075,0
80,0,1.00051,0
81,0,0,0
82,0,2.19675,0
83,1,4.76064,0.938547
84,0,6.10762,0
85,0,6.187,0
86,0,2.14601,0
87,0,3.02131,0
88,0,2.47472,0
89,0,4.36587,0
90,0,3.46497,0
91,0,0.458512,0
92,0,1.50488,0
93,1,4.66052,2.02539
94,1,6.93312,6.93312
95,0,4.84524,0
96,0,6.76849,0
97,0,2.29758,0
98,0,4.67574,0
99,0,2.82338,0
