Event,Hit
1,4.79562
2,3.42824
3,0
4,0.468965
5,5.80199
6,1.95496
7,6.07468
8,0
9,4.44526
10,3.25129
11,2.25053
12,4.53111
13,4.57706
14,2.13497
15,3.27915
16,4.90631
17,1.45526
18,3.77131
19,6.53378
20,7.25485
21,0.674975
22,3.72025
23,4.95384
24,2.7375
25,3.26073
26,4.10964
27,1.82338
28,5.88247
29,4.84307
30,0
31,9.06632
32,8.86182
33,1.44354
34,0.535504
35,1.42862
36,6.22512
37,1.21237
38,2.92239
39,2.2877
40,4.27323
41,6.28498
42,2.17447
43,2.44423
44,0.717127
45,5.03731
46,2.38046
47,6.81868
48,5.16459
49,2.66073
50,5.67574
51,4.77939
52,1.98612
53,4.71822
54,1.06545
55,4.39441
56,2.52461
57,7.55082
58,5.0183
59,0.524763
60,5.5031
61,0.813961
62,0.357272
63,8.1328
64,6.7374
65,5.90409
66,4.47768
67,4.44827
68,0
69,3.10528
70,4.66485
71,3.79955
72,2.62021
73,2.76594
74,4.30727
75,4.49579
76,4.98438
77,4.03939
78,4.97322
79,2.33143
80,3.33286
81,0.953649
82,5.47158
83,5.8917
84,2.65412
85,3.03476
86,1.24608
87,8.76437
88,2.03724
89,4.82708
90,6.67576
91,3.38888
92,0.212373
93,3.76668
94,7.07713
95,0.351828
96,6.79772
97,4.2935
98,5.632
99,3.75155
100,4.57549
101,3.9197
102,3.19719
103,1.73246
104,0.987064
105,4.55842
106,4.52795
107,0
108,7.53708
109,6.18844
110,4.0517
111,6.4927
112,6.97326
113,2.30236
114,4.39832
115,3.42105
116,4.53624
117,3.93125
118,2.98579
119,1.71282
120,2.2361
121,2.6456
122,6.1983
123,4.79539
124,1.32151
125,0.373196
126,1.49394
127,6.27542
128,3.77746
129,5.49576
130,2.77288
131,0.269101
132,5.19512
133,2.71709
134,5.927
135,3.54039
136,3.71662
137,0.155011
138,2.84914
139,3.26976
140,3.88724
141,2.62981
142,0.510275
143,4.69378
144,4.09817
145,2.99887
146,2.03802
147,4.11021
148,4.76681
149,2.83261
150,4.78097
151,3.9045
152,3.84388
153,4.77961
154,2.20451
