Event,Hit,KE_i,KE_e
1,0,9.58698,0
2,0,4.28257,0
3,0,2.90236,0
4,0,5.38267,0
5,0,4.27849,0
6,0,5.60178,0
7,0,4.24984,0
8,0,2.95038,0
9,0,6.38343,0
10,0,2.4031,0
11,0,0.184965,0
12,0,2.88751,0
13,0,0,0
14,1,4.6361,0.698737
15,0,0.132526,0
16,0,0.23482,0
17,0,4.4319,0
18,0,5.17085,0
19,0,4.38793,0
20,0,9.02271,0
21,0,4.97813,0
22,1,3.62383,3.02313
23,0,2.86024,0
24,1,7.82323,5.88223e-08
25,0,0,0
26,0,5.30245,0
27,0,0.498392,0
28,0,1.08866,0
29,0,3.18237,0
30,1,5.50519,1.0723e-07
31,0,0.760798,0
32,0,0.65186,0
33,0,3.10888,0
34,0,2.91783,0
35,0,5.83184,0
36,0,6.18098,0
37,0,5.19374,0
38,0,6.63874,0
39,0,6.00493,0
40,0,0.329473,0
41,0,0,0
42,0,6.47077,0
43,0,2.82522,0
44,0,5.09799,0
45,0,1.68954,0
46,0,5.78928,0
47,0,4.52238,0
48,0,0,0
49,0,2.49848,0
50,0,4.08912,0
51,1,8.79997,4.2273e-05
52,0,0.297603,0
53,0,3.43844,0
54,0,3.28856,0
55,0,5.92988,0
56,0,1.81712,0
57,0,0,0
58,0,4.70398,0
59,0,2.19308,0
60,0,2.74887,0
61,1,6.25543,4.96476
62,0,8.21799,0
63,0,2.68016,0
64,0,3.28313,0
65,0,0.581189,0
66,0,3.77427,0
67,0,5.11984,0
68,0,6.23205,0
69,0,7.47935,0
70,0,2.34207,0
71,0,1.17974,0
72,0,4.46963,0
73,0,6.54273,0
74,0,5.58959,0
75,1,6.89823,7.23974e-08
76,0,4.35099,0
77,0,1.20121,0
78,1,7.19871,6.14071e-08
79,1,7.22157,0.000194319
80,0,0.503231,0
81,0,4.99846,0
82,0,6.20764,0
83,0,8.15563,0
84,0,4.32706,0
85,0,4.11383,0
86,0,2.75659,0
87,0,5.27589,0
88,0,4.19656,0
89,0,3.04894,0
90,1,2.984,1.51694
91,0,5.88282,0
92,0,5.57596,0
93,0,0.261192,0
94,0,3.93413,0
95,0,2.83643,0
96,0,0.6416,0
97,1,7.14757,6.19171
98,0,5.81404,0
99,0,5.38698,0
100,0,4.4093,0
101,1,6.83947,0.105525
102,0,9.45514,0
103,0,4.01282,0
104,0,4.88048,0
105,0,4.80481,0
106,0,4.85858,0
107,0,3.7762,0
108,1,7.46057,3.63832
109,0,2.99348,0
110,0,4.30599,0
111,0,6.41796,0
112,0,2.15333,0
113,0,4.53775,0
114,0,3.76238,0
115,1,5.62105,2.61583e-08
116,0,6.13876,0
117,0,0,0
118,0,3.35548,0
119,0,3.58136,0
120,1,5.87876,5.02381e-07
121,0,3.60417,0
122,0,4.33855,0
123,0,2.20886,0
124,0,0.449333,0
125,0,2.68607,0
126,0,2.45249,0
127,0,0.459512,0
128,0,3.33161,0
129,0,4.96559,0
130,0,3.97013,0
131,0,0,0
132,0,9.9212,0
133,0,3.02091,0
134,0,2.17369,0
135,0,0,0
136,0,2.82349,0
137,0,0.789483,0
138,0,6.16736,0
139,0,2.15989,0
140,0,0.808321,0
141,0,2.92235,0
142,0,3.94343,0
143,0,0.337009,0
144,0,5.60823,0
145,1,6.77734,2.84462
146,0,2.87845,0
147,0,6.59847,0
148,1,6.24756,6.12114
149,0,2.2083,0
150,0,2.5447,0
151,0,4.91989,0
152,0,4.51638,0
153,0,6.86159,0
154,0,1.44943,0
155,0,4.60883,0
156,0,4.37652,0
157,1,5.62181,2.9532
158,0,6.31798,0
159,0,8.4685,0
160,0,2.77935,0
161,0,7.07362,0
162,0,0.30444,0
