Event,Hit,KE_i,KE_e
1,1,9.58698,0.00702737
2,0,4.26985,0
3,0,0.0777535,0
4,0,0,0
5,0,4.58985,0
6,0,3.19449,0
7,0,4.33073,0
8,0,4.92686,0
9,0,4.33809,0
10,1,3.64126,4.95859e-08
11,0,5.87513,0
12,0,4.72453,0
13,0,3.70961,0
14,0,9.99776,0
15,0,0.662469,0
16,1,4.81785,4.30202e-07
17,0,4.7532,0
18,0,1.93376,0
19,0,5.5652,0
20,0,1.2999,0
21,0,3.59439,0
22,0,4.5869,0
23,0,2.38505,0
24,0,3.59901,0
25,0,2.87552,0
26,0,1.18976,0
27,0,6.64741,0
28,0,6.55947,0
29,0,3.90306,0
30,0,3.20477,0
31,0,3.03646,0
32,0,7.16755,0
33,1,6.53513,0.869471
34,0,5.75935,0
35,1,7.92739,1.28378
36,0,4.8781,0
37,0,2.19326,0
38,0,4.22966,0
39,0,3.93617,0
40,0,4.22286,0
41,0,4.38371,0
42,0,0.851943,0
43,0,2.85658,0
44,0,0.00316652,0
45,0,2.2338,0
46,1,3.61955,0.00372875
47,0,3.85348,0
48,0,3.33489,0
49,1,6.91015,6.91015
50,0,6.26988,0
51,0,3.03338,0
52,0,0,0
53,0,2.05709,0
54,0,1.32778,0
55,0,1.08741,0
56,0,2.79722,0
57,0,5.65193,0
58,1,5.98123,4.79079
59,0,0.500614,0
60,0,3.16955,0
61,0,3.38603,0
62,0,2.44671,0
63,0,5.67064,0
64,0,3.13631,0
65,0,3.34944,0
66,0,1.19748,0
67,0,0.549219,0
68,0,6.95866,0
69,0,3.93014,0
70,0,3.27899,0
71,0,1.91914,0
72,0,2.26514,0
73,0,0,0
74,0,0.211164,0
75,0,2.6303,0
76,0,4.13072,0
77,0,4.65802,0
78,0,2.13305,0
79,0,5.61978,0
80,0,3.72886,0
81,1,5.21108,9.86655e-08
82,0,0.504926,0
83,0,2.73354,0
84,0,2.68859,0
85,0,2.10103,0
86,0,5.14043,0
87,0,2.24967,0
88,0,3.44412,0
89,0,3.6224,0
90,1,9.12194,0.0525205
91,1,5.5996,5.66634e-08
92,1,4.70131,2.68853e-08
93,0,7.42357,0
94,0,5.44308,0
95,1,5.11533,4.55183
96,0,3.65933,0
97,0,2.13609,0
98,0,6.1869,0
99,0,0.248607,0
100,0,0.942214,0
101,0,4.47309,0
102,0,1.31673,0
103,0,0.70853,0
104,0,5.93521,0
105,0,5.14303,0
106,0,0,0
107,0,4.91299,0
108,0,2.34867,0
109,0,1.29178,0
110,0,1.82143,0
111,0,3.07076,0
112,0,5.59748,0
113,0,2.43238,0
114,0,0.599129,0
115,0,7.17737,0
116,0,3.86476,0
117,0,0.309343,0
118,0,3.57898,0
119,0,0.63193,0
120,0,4.26627,0
121,0,5.41586,0
122,0,5.26554,0
123,0,2.78972,0
124,0,3.12003,0
125,0,3.37848,0
126,0,3.84107,0
127,0,3.12123,0
128,0,5.48441,0
129,0,3.37113,0
130,0,0.259531,0
131,0,0.706403,0
132,0,1.14861,0
133,0,7.0674,0
134,0,5.95731,0
135,0,3.72009,0
136,0,2.06669,0
137,0,1.62541,0
138,0,4.06813,0
139,0,6.12495,0
140,0,1.26744,0
141,0,4.60161,0
142,0,2.87022,0
143,0,4.87457,0
144,0,4.92941,0
145,0,1.8622,0
146,1,2.99996,6.21976e-08
147,0,4.76558,0
