Event,Hit,KE_i,KE_e
1,0,1.39615,0
2,0,0.350845,0
3,0,1.07995,0
4,0,0.504478,0
5,0,0.0608051,0
6,0,0.0594217,0
7,0,0.300546,0
8,0,0.548184,0
9,0,0.89531,0
10,0,0.340722,0
11,0,0.595368,0
12,0,0.263297,0
13,0,0.444759,0
14,0,0.788943,0
15,0,0.675347,0
16,0,0.776135,0
17,0,0.37855,0
18,0,0.59488,0
19,0,0.261767,0
20,0,0.844483,0
21,0,0.465987,0
22,0,1.0041,0
23,0,0.184177,0
24,0,0.844563,0
25,0,0.263258,0
26,0,0.502118,0
27,0,0.143996,0
28,0,1.00746,0
29,0,0.64621,0
30,0,0.429071,0
31,0,0.79215,0
32,0,0.287944,0
33,0,0.329485,0
34,0,0.16546,0
35,0,0.278395,0
36,0,0.329774,0
37,0,0.421708,0
38,0,0.813071,0
39,0,0.712818,0
40,0,0.936302,0
41,0,0.975856,0
42,0,0.909346,0
43,0,0.0437224,0
44,0,0.807608,0
45,0,0.195979,0
46,0,0.28415,0
47,0,0.0840403,0
48,0,0.307846,0
49,0,0.453198,0
50,0,0.424503,0
51,0,0.220984,0
52,0,0.775733,0
53,0,0.0875798,0
54,0,0.500383,0
55,0,0.0418237,0
56,0,0.411808,0
57,0,0.141222,0
58,0,0.944545,0
59,0,0.434788,0
60,0,0.925963,0
61,0,1.15599,0
62,0,0.253482,0
63,0,0.349999,0
64,0,0.206815,0
65,0,0.278148,0
66,0,0.603123,0
67,0,0.672424,0
68,0,0.815476,0
69,0,0.346137,0
70,0,0.297629,0
71,0,0.51389,0
72,0,0.964109,0
73,0,0.625584,0
74,0,0.792756,0
75,0,1.01714,0
76,0,0.0564865,0
77,0,0.0419126,0
78,0,0.432089,0
79,0,0.109753,0
80,0,0.539826,0
81,0,0.747074,0
82,0,0.677391,0
83,0,0.696757,0
84,0,1.08303,0
85,0,0.668386,0
86,0,0.285485,0
87,0,0.499821,0
88,0,0.177336,0
89,0,0.880753,0
90,0,0.0857513,0
91,0,0.851037,0
92,0,0.531806,0
93,0,0.133867,0
94,0,0.512072,0
95,0,0.085136,0
96,0,0.967439,0
97,0,0.42341,0
98,0,1.079,0
99,0,0.169208,0
100,0,0.32403,0
101,0,0.238899,0
102,0,0.929738,0
103,0,0.538795,0
104,0,1.00417,0
105,0,0.817658,0
106,0,0.860669,0
107,0,0.552998,0
108,0,0.833581,0
109,0,0.229221,0
110,0,0.169717,0
111,0,0.386454,0
112,0,0.662078,0
113,0,0.77205,0
114,0,0.723918,0
115,0,0.173736,0
116,0,1.12623,0
117,0,0.788408,0
118,0,0.375531,0
119,0,0.129294,0
120,0,0.129679,0
121,0,1.11757,0
122,0,1.03889,0
123,0,0.19463,0
124,0,0.562494,0
125,0,0.430943,0
126,0,0.984345,0
127,0,0.152692,0
128,0,0.474865,0
129,0,0.546639,0
130,0,1.06296,0
131,0,0.208601,0
132,0,0.413806,0
133,0,0.34724,0
134,0,1.09951,0
135,0,0.825895,0
136,0,0.541187,0
137,0,0.531514,0
138,0,0.773488,0
139,0,0.973793,0
140,0,0.546414,0
141,0,0.693429,0
142,0,0.579418,0
143,0,0.168896,0
144,0,0.151628,0
145,1,1.22702,4.3577e-08
146,0,0.526955,0
147,0,0.364481,0
148,0,0.389991,0
149,0,1.2803,0
150,0,0.950251,0
151,0,0.832435,0
152,0,0.0743045,0
153,0,1.24068,0
154,0,0.540803,0
155,0,0.160012,0
156,0,0.0475763,0
157,0,1.04573,0
158,0,0.679526,0
159,0,0.152719,0
160,0,1.26631,0
161,0,0.00822849,0
162,0,0.0844485,0
163,0,0.181189,0
164,0,0.0488811,0
165,0,0.733714,0
166,0,0.411091,0
167,0,0.291292,0
168,0,0.218655,0
169,0,0.143069,0
170,0,0.791562,0
171,0,0.691558,0
172,0,0.740343,0
173,0,1.24374,0
174,0,0.588598,0
175,0,0.992598,0
176,0,0.341839,0
177,0,0.45892,0
178,0,0.915313,0
179,0,0.795685,0
180,0,0.545496,0
181,0,0.28772,0
182,0,0.0897766,0
183,0,0.242781,0
184,0,1.15978,0
185,0,1.08092,0
186,0,0.461972,0
187,0,0.717573,0
188,0,0.18447,0
189,0,0.939558,0
190,0,0.305149,0
191,0,0.693012,0
192,0,0.179623,0
193,0,0.907878,0
194,0,0.748728,0
195,0,0.464495,0
196,0,0.371992,0
197,0,0.437555,0
198,0,0.777081,0
199,0,0.613636,0
200,0,0.320474,0
201,0,0.325792,0
202,0,0.411144,0
203,0,0.520154,0
204,0,0.67722,0
205,0,0.141184,0
206,0,0.33423,0
207,0,0.2092,0
208,0,0.792439,0
209,0,0.382315,0
210,0,0.823036,0
211,0,0.484952,0
212,0,0.497225,0
213,0,0.200565,0
214,0,0.861383,0
215,0,1.28097,0
216,0,0.727495,0
217,0,0.70273,0
218,0,0.397785,0
219,0,1.0045,0
220,0,0.32685,0
221,0,1.08447,0
222,0,0.60365,0
223,0,0.53052,0
224,0,0.239908,0
225,0,0.646502,0
226,0,0.555842,0
227,0,0.553218,0
228,0,0.311093,0
229,0,1.14275,0
230,0,0.205295,0
231,0,0.284318,0
232,0,0.0866036,0
233,0,0.86098,0
234,0,0.942811,0
235,0,0.303382,0
236,0,0.506051,0
237,0,0.537256,0
238,0,0.143126,0
239,0,0.23378,0
240,0,0.99531,0
241,0,0.350355,0
242,0,1.0673,0
243,0,0.645476,0
244,0,1.15788,0
245,0,0.810415,0
246,0,1.07599,0
247,0,0.403592,0
248,0,0.708357,0
249,0,0.26828,0
250,0,0.660508,0
251,0,0.448634,0
252,0,0.675997,0
253,0,0.650685,0
254,0,0.196708,0
255,0,0.4538,0
256,0,0.543652,0
257,0,0.931492,0
258,0,0.690291,0
259,0,0.8782,0
260,0,0.146187,0
261,0,0.356895,0
262,0,0.921485,0
263,0,1.00791,0
264,0,1.28312,0
265,0,0.0471368,0
266,0,0.12417,0
267,0,0.799481,0
268,0,0.907,0
269,0,0.0835333,0
270,0,0.861124,0
271,0,0.265757,0
272,0,1.11935,0
273,0,0.20923,0
274,0,0.349312,0
275,0,1.36237,0
276,0,0.253326,0
277,0,0.130754,0
278,0,0.61778,0
279,0,0.895252,0
280,0,0.538266,0
281,0,1.23221,0
282,0,0.925411,0
283,0,1.09177,0
284,0,0.12555,0
285,0,0.610478,0
286,0,0.692313,0
287,0,0.262173,0
288,0,0.385769,0
289,0,0.264725,0
290,0,0.665057,0
291,0,0.66317,0
292,0,0.737508,0
293,0,0.373176,0
294,0,0.270224,0
295,0,0.191124,0
296,0,0.362143,0
297,0,0.408455,0
298,0,1.40075,0
299,0,0.314829,0
300,0,1.28134,0
301,0,1.01177,0
302,0,0.0411171,0
303,0,1.32184,0
304,0,0.367134,0
305,0,0.321829,0
306,0,1.07031,0
307,0,0.593036,0
308,0,0.855976,0
309,0,0.480548,0
310,0,0.115591,0
311,0,0.00879005,0
312,0,0.376785,0
313,0,0.554579,0
314,0,0.110972,0
315,0,0.0741314,0
316,0,0.808849,0
317,0,0.302718,0
318,0,0.790537,0
319,0,0.58252,0
320,0,0.0866479,0
321,0,0.426112,0
322,0,0.497585,0
323,0,0.18474,0
324,0,0.816449,0
325,0,0.673929,0
326,0,0.855251,0
327,0,0.173281,0
328,0,0.32001,0
329,0,0.594171,0
330,0,0.122133,0
331,0,0.309164,0
332,0,0.878433,0
333,0,0.686037,0
334,0,0.222955,0
335,0,0.819988,0
336,0,0.714938,0
337,0,0.216314,0
338,0,0.184949,0
339,0,0.468037,0
340,0,0.481567,0
341,0,0.441088,0
342,0,0.520687,0
343,0,0.297576,0
344,0,0.343879,0
345,0,0.016155,0
346,0,0.963707,0
347,0,0.372637,0
348,0,0.358509,0
349,0,0.73063,0
350,0,0.104378,0
351,0,0.163861,0
352,0,0.967988,0
353,0,0.281133,0
354,0,0.769172,0
355,0,0.369055,0
356,0,0.357806,0
357,0,0.312835,0
358,0,0.485406,0
359,0,0.410825,0
360,0,1.18726,0
361,0,0.346017,0
362,0,0.749369,0
363,0,0.159218,0
364,0,0.521427,0
365,0,0.306977,0
366,0,0.873129,0
367,0,0.175417,0
368,0,0.435662,0
369,0,0.202517,0
370,0,0.517491,0
371,0,0.448012,0
372,0,0.485855,0
373,0,0.424009,0
374,0,0.0666861,0
375,0,0.145261,0
376,0,0.736408,0
377,0,0.496694,0
378,0,0.167206,0
379,0,0.372617,0
380,0,1.06662,0
381,0,0.143059,0
382,0,0.547315,0
383,0,0.182601,0
384,0,1.37929,0
385,0,0.830443,0
386,0,1.04597,0
387,0,0.565854,0
388,0,0.41531,0
389,0,0.118542,0
390,0,0.479431,0
391,0,0.534952,0
392,0,0.865556,0
393,0,0.310993,0
394,0,0.744959,0
395,0,0.00862309,0
396,0,0.902345,0
397,0,0.863831,0
398,0,0.7362,0
399,0,0.179737,0
400,0,0.134695,0
401,0,0.223706,0
402,0,0.834014,0
403,0,0.289672,0
404,0,0.87192,0
405,0,0.997593,0
406,0,0.0701614,0
407,0,0.336435,0
408,0,0.198853,0
409,0,0.628565,0
410,0,0.716562,0
411,0,0.55308,0
412,0,0.60179,0
413,0,0.112352,0
414,0,0.811641,0
415,0,0.373261,0
416,0,0.165041,0
417,0,0.894062,0
418,0,0.409001,0
419,0,0.402069,0
420,0,0.969645,0
421,0,0.108537,0
422,0,0.723354,0
423,0,0.741637,0
424,0,0.780033,0
425,0,0.0213837,0
426,0,0.157843,0
427,0,1.20097,0
428,0,0.419249,0
429,0,1.08941,0
430,0,0.132129,0
431,0,1.14241,0
432,0,0.155317,0
433,0,0.79183,0
434,0,0.418694,0
435,0,0.977482,0
436,0,0.865542,0
437,0,0.689587,0
438,0,1.16561,0
439,0,0.323758,0
440,0,0.29687,0
441,0,0.16129,0
442,0,0.117583,0
443,0,0.166974,0
444,0,0.808217,0
445,0,0.130352,0
446,0,0.141218,0
447,0,0.353788,0
448,0,0.507384,0
449,0,0.217298,0
450,0,0.104781,0
451,0,0.985239,0
452,0,0.0377213,0
453,0,0.744881,0
454,0,1.31629,0
455,0,0.198633,0
456,0,0.662972,0
457,0,1.4599,0
458,0,0.302135,0
459,0,0.381914,0
460,0,0.42605,0
461,0,0.60932,0
462,0,0.941087,0
463,0,0.218528,0
464,0,0.214446,0
465,0,0.349337,0
466,0,0.0559873,0
467,0,1.21181,0
468,0,0.423942,0
469,0,0.855193,0
470,0,0.282874,0
471,0,0.205721,0
472,0,0.320886,0
473,0,0.056426,0
474,0,0.650337,0
475,0,0.808041,0
476,0,1.28524,0
477,0,0.649043,0
478,0,1.29122,0
479,0,0.892469,0
480,0,0.419453,0
481,0,0.80077,0
482,0,0.453012,0
483,0,0.128631,0
