Event,Hit,KE_i,KE_e
1,0,8.3599,0
2,0,5.17443,0
3,0,3.95409,0
4,0,2.04059,0
5,0,2.8917,0
6,0,5.39248,0
7,0,3.18412,0
8,0,1.67983,0
9,0,3.72019,0
10,0,2.72895,0
11,0,2.78043,0
12,1,8.42322,3.34188e-08
13,0,1.02956,0
14,0,2.17275,0
15,0,3.19983,0
16,0,2.74198,0
17,0,1.86754,0
18,1,2.77154,7.51732e-07
19,1,2.14626,8.66438e-08
20,0,3.03492,0
21,1,5.54783,5.4735
22,0,6.25056,0
23,1,1.57702,5.1218e-08
24,0,2.28545,0
25,0,2.44254,0
26,0,1.24208,0
27,0,2.22757,0
28,0,2.7683,0
29,0,2.28396,0
30,0,1.80741,0
31,1,3.21533,9.17338e-05
32,0,2.02675,0
33,1,3.09871,0.0809107
34,0,4.27105,0
35,0,2.39002,0
36,1,8.81243,8.81243
37,0,1.49018,0
38,1,1.59397,2.58811e-08
39,0,5.6431,0
40,0,3.26734,0
41,0,2.53522,0
42,0,1.20099,0
43,0,3.2903,0
44,1,6.86819,2.62201
45,0,2.32073,0
46,1,1.19028,5.19024e-08
47,1,7.48968,7.48968
48,0,3.42658,0
49,0,2.37403,0
50,1,3.68796,1.2951e-07
51,0,1.65587,0
52,0,5.38863,0
53,1,6.47682,0.596633
54,0,1.14657,0
55,0,1.59235,0
56,0,7.63287,0
57,1,2.4997,0.503612
58,0,3.73032,0
59,1,4.29841,1.16732e-07
60,0,1.43666,0
61,0,3.89569,0
62,1,1.86265,1.20074
63,1,5.58627,1.10064e-07
64,1,3.11511,0.753042
65,0,0.954327,0
66,0,7.3903,0
67,1,5.2074,1.99734e-08
68,0,3.95657,0
69,0,3.40406,0
70,0,2.26554,0
71,0,1.89841,0
72,1,1.85504,0.0181568
73,0,3.87939,0
74,0,3.31218,0
75,1,2.63583,4.63406e-08
76,1,3.031,2.59541e-08
77,0,1.52392,0
78,1,2.77474,2.75233
79,0,4.23011,0
80,0,3.21217,0
81,1,2.55807,5.3181e-08
82,0,1.87761,0
83,0,1.32622,0
84,1,5.51323,4.4771
85,1,1.55304,2.04693e-08
86,1,2.95301,0.00104872
87,0,1.82771,0
88,0,2.93018,0
89,1,6.23664,1.37042
90,0,5.43494,0
91,0,1.84576,0
92,0,2.145,0
93,0,1.75402,0
94,1,5.57871,4.52457
95,1,3.44045,3.23152
96,1,7.61887,0.00155374
97,0,3.33605,0
98,1,2.01292,0.00109732
99,1,2.25645,7.29153e-08
100,0,3.82586,0
101,0,4.85282,0
102,0,2.2449,0
103,1,3.23639,0.711263
104,0,4.81488,0
105,0,6.52391,0
106,0,2.12972,0
107,0,3.13714,0
108,0,1.85662,0
109,1,2.31275,4.13961e-08
110,0,1.17711,0
111,1,4.66596,7.64195e-08
112,1,4.13048,4.13048
113,1,4.16145,0.00106833
114,0,2.35943,0
115,0,6.84093,0
116,1,1.56704,1.32576e-07
117,0,2.33314,0
118,1,6.72373,0.248265
119,0,3.02242,0
120,0,1.76535,0
121,1,1.40607,0.00134999
122,1,2.63641,2.37728
123,0,1.97879,0
124,0,1.90906,0
125,1,2.24978,4.14315e-08
126,0,0.539304,0
127,0,6.01961,0
128,0,1.70708,0
129,1,2.89428,2.89428
130,0,1.01278,0
131,1,6.53511,9.09923e-07
132,0,3.47946,0
133,0,3.96251,0
134,0,1.17956,0
135,0,2.51578,0
136,1,3.79516,1.56087e-08
137,1,2.28594,4.8034e-08
138,0,2.53786,0
139,0,2.64412,0
140,0,1.75535,0
141,0,2.47329,0
142,0,1.05087,0
143,0,1.77,0
144,1,4.282,3.53082
145,0,5.50964,0
146,0,0.139074,0
147,0,2.47596,0
148,0,5.87112,0
149,0,2.61382,0
150,0,2.42904,0
151,0,1.49345,0
152,1,4.94064,1.05467e-07
153,0,1.81075,0
154,0,2.45074,0
155,0,2.21273,0
156,1,3.80415,2.39775
157,0,2.51628,0
158,0,1.29289,0
159,1,2.73787,2.73787
160,0,2.23762,0
161,0,3.3706,0
162,0,2.51055,0
163,0,8.67279,0
164,0,2.39097,0
165,1,7.26072,6.2554
166,0,2.36624,0
167,1,7.2201,4.11098
168,1,1.66602,0.299911
169,0,5.70539,0
170,0,2.20166,0
171,1,2.64162,6.38555e-08
172,0,5.31709,0
173,1,2.23023,0.320387
174,1,6.25601,6.1517
175,1,3.16308,2.19117
176,1,4.96166,4.07765
177,0,3.30015,0
178,0,3.30731,0
179,0,1.46913,0
180,0,1.91656,0
181,0,2.79439,0
182,0,1.17407,0
183,0,2.63351,0
184,0,6.36045,0
185,1,1.76415,0.142271
186,1,1.42224,0.00440576
187,1,3.33039,6.00437e-09
188,0,3.89156,0
189,1,3.15608,2.10409e-05
190,0,2.88899,0
191,0,2.88327,0
192,1,5.37141,0.000329948
193,1,6.92937,0.613275
194,1,6.16872,0.00190346
195,0,3.87185,0
196,0,1.80791,0
197,0,2.87352,0
198,0,2.19252,0
199,0,0.789629,0
200,0,5.47436,0
201,0,3.74106,0
202,1,2.23939,1.43897e-08
203,1,2.56968,0.0115122
204,0,2.61739,0
205,1,2.14505,1.10832e-07
206,0,3.10565,0
207,0,4.7097,0
208,0,1.63819,0
209,0,2.76501,0
210,0,1.46609,0
211,0,2.46042,0
212,0,3.27088,0
213,0,2.04054,0
214,0,2.87063,0
215,1,6.67891,1.8297e-07
216,0,2.66163,0
217,0,1.07081,0
218,0,1.04361,0
219,1,3.50216,3.10526
220,0,3.47751,0
221,0,1.6107,0
222,0,3.27663,0
223,1,2.67403,1.06674
224,1,5.26328,2.74544e-08
225,1,1.73324,0.251698
226,0,3.40725,0
227,0,2.36992,0
228,0,2.20943,0
229,0,2.48052,0
230,0,3.46975,0
231,0,1.97308,0
232,0,2.77152,0
233,0,2.22645,0
234,0,1.49558,0
235,0,5.50462,0
236,1,2.05014,2.24665e-08
237,1,5.9793,2.24187e-08
238,0,7.83688,0
239,0,1.18906,0
240,0,4.50321,0
241,0,1.54476,0
242,0,4.76201,0
243,0,0.513045,0
244,0,1.55212,0
245,1,8.59046,7.66716
246,1,1.97064,0.00581897
247,0,3.79615,0
248,0,1.28649,0
249,0,3.36637,0
250,1,4.28428,4.08913
251,1,7.19813,6.6096
252,1,6.19132,1.02307e-06
253,0,2.79205,0
254,1,1.83471,0.853655
255,1,3.90903,0.0119416
256,0,1.69078,0
257,1,5.51174,5.51174
258,0,1.96995,0
259,0,1.17423,0
260,1,3.47301,3.4578
261,1,3.91157,0.472198
262,0,2.58594,0
263,0,2.64938,0
264,0,5.06583,0
265,1,3.0407,0.78529
266,0,0.669001,0
267,1,1.7429,8.36033e-08
268,1,3.94752,1.26069
269,0,1.5311,0
270,1,4.59376,3.96253
271,0,1.53042,0
272,0,2.32099,0
273,1,8.45266,8.13114
274,0,3.12649,0
275,0,6.49695,0
276,0,1.61255,0
277,1,3.3946,5.81341e-09
278,0,2.20726,0
279,1,3.00118,1.14364
280,0,3.93308,0
281,1,2.09594,0.00380831
282,0,5.02583,0
283,0,1.59508,0
284,1,7.17667,2.68807
285,0,7.973,0
286,0,3.50534,0
287,0,2.60798,0
288,0,1.46464,0
289,1,2.59701,0.0173766
290,1,2.02808,1.37615
291,1,4.89586,0.329192
292,0,2.0433,0
293,0,5.57837,0
294,0,1.63706,0
295,0,1.45174,0
296,0,2.18131,0
297,0,2.43006,0
298,1,1.34125,1.55886e-07
299,0,1.55836,0
300,0,1.27639,0
301,1,1.93542,4.84816e-08
302,0,2.66042,0
303,0,1.43253,0
304,0,6.25463,0
305,1,3.12607,1.39722
306,1,4.74061,3.22576
307,0,2.61511,0
308,0,2.69375,0
309,0,2.50752,0
310,1,1.82812,3.8499e-08
311,0,1.23412,0
312,1,4.2415,0.0254864
313,0,2.87554,0
314,0,1.085,0
315,0,1.82358,0
316,0,2.54511,0
317,1,3.71699,5.94763e-08
318,1,5.63522,0.0727592
319,0,1.78159,0
320,1,2.63463,0.918403
321,0,4.07385,0
322,0,6.34034,0
323,0,1.89397,0
324,0,3.62211,0
325,0,2.27805,0
326,0,4.24585,0
327,1,6.67898,0.81318
328,0,2.07716,0
329,1,2.2966,3.64551e-08
330,1,2.25263,1.76897
331,0,1.93565,0
332,0,4.18655,0
333,1,2.72615,0.776091
334,0,1.73105,0
335,0,3.94883,0
336,1,3.48522,2.21352
337,0,1.20795,0
338,1,3.17894,0.82097
339,1,2.42588,1.28004e-08
340,0,1.22673,0
341,0,2.63844,0
342,0,3.45052,0
343,1,7.32244,7.32244
344,0,1.31174,0
345,0,2.34436,0
346,0,2.66268,0
347,1,8.30939,8.27768
348,0,1.96732,0
349,0,1.21054,0
350,1,3.41847,2.95839
351,0,3.75683,0
352,1,2.12983,0.113233
353,1,4.30263,0.839527
354,0,2.57333,0
355,0,5.36036,0
356,0,3.48693,0
357,1,2.94345,2.61531e-08
358,0,2.71277,0
359,1,6.23591,5.92675
360,0,3.50625,0
361,1,3.89127,1.52617
362,0,3.53142,0
363,0,3.90364,0
364,1,6.0339,6.0339
365,0,2.55221,0
366,1,6.79318,1.41795
367,1,4.54929,1.36646e-05
368,0,3.5349,0
369,0,6.71372,0
370,0,2.04138,0
371,0,2.09943,0
372,1,4.14905,0.000578576
373,0,2.21302,0
374,0,3.59166,0
375,1,3.14643,3.11295
376,0,9.61202,0
377,1,2.92242,1.45066e-07
378,1,1.46988,3.51992e-08
379,0,1.80588,0
380,1,1.73843,0.493813
381,1,2.80502,1.20463
382,1,3.45475,3.45475
383,0,1.50316,0
384,1,6.78001,5.05288
385,0,1.64566,0
386,0,7.11884,0
387,0,2.50953,0
388,1,3.38049,3.0438
389,1,2.79285,0.487427
390,0,2.39234,0
391,1,1.89674,0.0202704
392,1,1.499,1.499
393,0,0.92539,0
394,1,4.67684,3.67161
395,1,4.72489,9.28781e-08
396,1,1.93159,6.51201e-05
397,0,1.30499,0
398,0,3.53808,0
399,0,5.07326,0
400,1,0.700864,4.01883e-08
401,0,1.32301,0
402,0,1.61228,0
403,1,3.87492,7.34047e-06
404,1,6.58492,6.48136
405,0,6.5641,0
406,1,6.50427,6.50427
407,1,2.84945,4.31829e-08
408,1,2.07372,5.323e-08
409,1,2.2188,2.38009e-08
410,1,9.74643,9.74643
411,0,4.36868,0
412,0,2.07391,0
413,1,2.63852,8.94259e-08
414,1,2.00231,0.992827
415,0,1.65683,0
416,0,1.8719,0
417,0,1.77159,0
418,0,2.09242,0
419,0,3.84865,0
420,1,4.89196,1.53505
