Event,Hit,KE_i,KE_e
1,1,8.3599,8.63913e-08
2,0,2.8864,0
3,0,8.4607,0
4,0,0.902937,0
5,0,6.42173,0
6,0,2.81234,0
7,0,4.03526,0
8,0,2.36962,0
9,0,2.78936,0
10,0,3.4704,0
11,0,4.53394,0
12,0,5.4785,0
13,0,2.69175,0
14,0,3.02471,0
15,0,2.08899,0
16,0,3.81448,0
17,0,6.47138,0
18,0,2.68359,0
19,0,3.70944,0
20,0,1.5016,0
21,0,4.18306,0
22,0,1.72528,0
23,0,1.51757,0
24,0,2.44255,0
25,0,1.41074,0
26,0,4.86627,0
27,0,2.23852,0
28,0,4.39177,0
29,0,1.651,0
30,0,2.67781,0
31,0,1.28298,0
32,0,1.68815,0
33,0,2.35968,0
34,0,2.09877,0
35,0,3.76521,0
36,0,8.04506,0
37,1,8.86145,7.84187
38,0,2.80426,0
39,0,2.12382,0
40,0,3.33822,0
41,0,1.42952,0
42,0,4.29453,0
43,0,1.16205,0
44,1,8.69856,2.32455
45,0,5.99744,0
46,0,1.94662,0
47,0,3.03603,0
48,0,2.39888,0
49,0,2.33442,0
50,0,6.07013,0
51,0,2.47092,0
52,0,4.54362,0
53,0,3.78484,0
54,0,2.39912,0
55,0,2.14955,0
56,0,7.01102,0
57,0,0.538794,0
58,0,1.45365,0
59,0,7.86387,0
60,0,1.145,0
61,0,3.03332,0
62,0,1.81558,0
63,0,8.7259,0
64,0,2.2125,0
65,0,1.83649,0
66,0,2.87276,0
67,0,2.22033,0
68,0,2.62393,0
69,0,3.10078,0
70,0,3.44776,0
71,0,1.36468,0
72,0,4.4734,0
73,1,2.41659,7.80621e-08
74,0,5.09821,0
75,0,2.50618,0
76,1,1.92837,1.65969e-07
77,0,4.00041,0
78,0,3.7611,0
79,0,6.24325,0
80,0,5.05894,0
81,1,9.11007,3.01524
82,0,2.33885,0
83,0,2.47643,0
84,0,1.89598,0
85,0,2.81668,0
86,0,4.86224,0
87,0,6.05952,0
88,0,0.262435,0
89,0,1.90331,0
90,0,1.25395,0
91,0,6.77853,0
92,0,2.34938,0
93,0,1.6037,0
94,0,3.89343,0
95,0,3.52635,0
96,0,1.46785,0
97,0,4.88953,0
98,0,4.4653,0
99,0,1.3461,0
100,1,4.24591,8.27007e-07
101,0,5.3968,0
102,0,2.77802,0
103,0,3.6415,0
104,0,1.33926,0
105,0,1.34307,0
106,0,1.96457,0
107,0,2.86418,0
108,0,5.98618,0
109,0,1.64751,0
110,0,3.38217,0
111,0,5.61627,0
112,0,1.46376,0
113,0,2.97898,0
114,0,1.57944,0
115,0,4.70691,0
116,0,2.8545,0
117,0,2.19108,0
118,0,2.32244,0
119,0,2.54567,0
120,0,1.8822,0
121,0,1.74373,0
122,0,1.82957,0
123,0,1.09264,0
124,0,6.34665,0
125,0,1.42463,0
126,0,5.63033,0
127,1,5.79875,2.10514
128,0,8.00471,0
129,0,3.10344,0
130,0,2.02734,0
131,0,1.77492,0
132,0,7.49571,0
133,0,4.64202,0
134,0,2.74359,0
135,0,4.57056,0
136,0,5.21677,0
137,0,4.41397,0
138,0,3.33948,0
139,0,4.52395,0
140,0,5.80895,0
141,0,2.68964,0
142,0,2.01697,0
143,0,6.64935,0
144,0,3.01218,0
145,0,3.86483,0
146,0,3.03874,0
147,0,5.46004,0
148,0,3.33654,0
149,0,2.12695,0
150,0,6.28365,0
151,0,5.12421,0
152,0,3.97979,0
153,0,4.055,0
154,0,2.32761,0
155,0,5.19159,0
156,0,1.59763,0
157,0,5.75687,0
158,1,7.85846,3.21257e-08
159,0,2.83372,0
160,0,5.54265,0
161,0,2.62968,0
162,0,6.71863,0
163,0,1.85271,0
164,0,0.815472,0
165,0,6.23913,0
166,0,0.79199,0
167,0,2.32078,0
168,0,1.85137,0
169,0,3.62754,0
170,0,1.35066,0
171,0,1.49508,0
172,0,0.554331,0
173,0,2.96417,0
