Event,Hit,KE_i,KE_e
1,0,9.58698,0
2,0,6.57074,0
3,0,3.06801,0
4,0,9.62092,0
5,0,2.97872,0
6,0,2.53993,0
7,0,4.76559,0
8,0,8.41075,0
9,0,6.58677,0
10,0,4.51521,0
11,0,7.18306,0
12,1,6.07997,2.84183
13,0,4.41396,0
14,0,2.78603,0
15,0,0.662489,0
16,0,0.248966,0
17,0,4.45597,0
18,0,3.40699,0
19,0,2.85931,0
20,0,0,0
21,0,1.41617,0
22,0,3.65795,0
23,0,3.13647,0
24,0,2.93671,0
25,0,3.24484,0
26,0,5.02856,0
27,0,1.68479,0
28,0,0.737549,0
29,0,5.27399,0
30,0,4.711,0
31,0,3.95746,0
32,0,4.43185,0
33,0,1.01025,0
34,0,8.10764,0
35,0,3.09019,0
36,0,0,0
37,0,5.35524,0
38,0,5.10999,0
39,0,7.372,0
40,0,0.950349,0
41,0,3.63285,0
42,0,2.78924,0
43,0,3.87509,0
44,0,2.28859,0
45,0,2.68866,0
46,0,2.50936,0
47,0,1.75971,0
48,0,3.47163,0
49,0,0,0
50,0,3.14453,0
51,0,2.46342,0
52,0,3.45153,0
53,0,2.21358,0
54,0,6.46395,0
55,0,0.26414,0
56,0,3.58578,0
57,1,4.60429,3.94006
58,0,3.79158,0
59,0,1.24211,0
60,0,4.36609,0
61,0,7.04688,0
62,0,6.175,0
63,0,5.92879,0
64,0,3.64069,0
65,0,3.07961,0
66,0,5.43903,0
67,0,6.75368,0
68,0,0.984385,0
69,0,4.48088,0
70,0,6.32973,0
71,0,4.44552,0
72,0,4.15593,0
73,0,5.63586,0
74,0,6.16889,0
75,0,4.36899,0
76,0,3.28688,0
77,0,5.138,0
78,0,7.3241,0
79,0,5.18154,0
80,0,4.86202,0
81,0,2.25509,0
82,0,3.97414,0
83,0,0,0
84,0,1.01698,0
85,0,2.9485,0
86,0,1.76337,0
87,0,5.74338,0
88,0,2.76676,0
89,0,0.467978,0
90,1,4.43454,3.79057
91,0,5.51463,0
92,1,4.86075,0.696438
93,0,1.19584,0
94,1,1.72454,9.12775e-08
95,0,2.8772,0
96,0,0.0742966,0
97,0,6.28875,0
98,0,1.86457,0
99,0,1.0019,0
100,0,3.66006,0
101,0,6.21533,0
102,0,4.97191,0
103,0,2.20552,0
104,0,1.61579,0
105,0,1.32479,0
106,0,4.87945,0
107,0,8.39405,0
108,1,4.99818,9.48043e-09
109,0,2.56752,0
110,0,5.881,0
111,0,0.521469,0
112,0,4.54183,0
113,0,2.42329,0
114,0,1.45565,0
115,0,2.3893,0
116,0,4.10926,0
117,0,4.84074,0
118,0,2.03835,0
119,0,2.57532,0
120,0,0.716249,0
121,0,4.47909,0
122,0,2.00915,0
123,0,2.25763,0
124,0,0.666464,0
125,0,0.991636,0
126,0,3.3468,0
127,0,4.19673,0
128,0,3.81785,0
129,0,3.85532,0
130,0,2.8587,0
131,1,5.42766,0.85975
132,0,1.68869,0
133,0,3.88126,0
134,0,1.73545,0
135,0,2.48744,0
136,0,0.462757,0
137,0,2.15212,0
138,0,1.59311,0
139,0,1.65785,0
140,0,2.66304,0
141,0,3.48733,0
142,0,7.79297,0
143,0,6.15692,0
144,0,4.68536,0
145,0,1.2452,0
146,0,5.32989,0
147,0,0,0
148,0,3.86246,0
149,0,1.79457,0
150,0,0,0
151,0,3.59718,0
152,0,4.08726,0
153,0,1.04925,0
154,0,3.09958,0
155,0,3.22482,0
156,0,0,0
157,0,2.12868,0
158,0,0.0797208,0
159,0,3.03092,0
160,0,3.76462,0
161,0,3.8392,0
162,1,8.27928,7.59169
163,1,4.52452,3.92267
164,1,6.01857,4.27344
165,0,5.32363,0
166,0,0.346298,0
167,0,2.60804,0
168,0,1.05365,0
169,0,3.95668,0
170,0,4.79094,0
171,0,4.35651,0
172,0,0.0592479,0
173,0,9.08842,0
174,0,6.63374,0
175,1,6.81008,1.07708
176,0,3.01145,0
177,1,3.59158,6.83061e-08
178,0,2.69929,0
179,0,4.48215,0
180,0,2.74244,0
181,0,6.35924,0
182,0,4.77816,0
