Event,Hit,KE_i,KE_e
1,1,8.3599,3.82166e-08
2,1,4.91682,3.10009
3,0,2.52475,0
4,0,3.88002,0
5,0,4.38226,0
6,0,2.46502,0
7,0,2.22536,0
8,0,7.78913,0
9,1,7.44101,4.2167e-08
10,1,2.02314,4.43098e-08
11,0,1.61469,0
12,0,1.44252,0
13,0,3.39224,0
14,0,1.2593,0
15,0,2.01755,0
16,0,6.81816,0
17,0,1.61292,0
18,0,3.36247,0
19,0,1.78362,0
20,0,3.35671,0
21,0,1.39766,0
22,0,2.02008,0
23,1,5.52524,5.30285
24,0,6.05443,0
25,0,2.93403,0
26,0,4.5025,0
27,0,1.42003,0
28,0,2.99632,0
29,0,1.63504,0
30,0,1.82031,0
31,0,2.01817,0
32,0,3.49084,0
33,0,1.62908,0
34,0,1.44253,0
35,0,4.65925,0
36,0,8.31738,0
37,0,1.27542,0
38,0,2.08831,0
39,0,3.12437,0
40,0,2.26204,0
41,1,7.68189,3.11454
42,0,2.55226,0
43,0,3.96196,0
44,0,1.273,0
45,0,2.57132,0
46,0,5.45669,0
47,0,5.60311,0
48,0,6.42655,0
49,0,1.94138,0
50,0,2.77783,0
51,0,5.02853,0
52,0,2.38072,0
53,0,2.16342,0
54,0,6.68712,0
55,0,2.348,0
56,0,3.96204,0
57,0,1.76904,0
58,0,1.54319,0
59,1,6.79739,0.840893
60,1,4.96759,3.27651e-08
61,0,5.32467,0
62,0,2.27853,0
63,0,2.49051,0
64,0,2.65969,0
65,0,4.32093,0
66,0,2.59875,0
67,0,2.08353,0
68,0,3.7427,0
69,0,1.70577,0
70,0,2.61028,0
71,0,1.93631,0
72,0,3.9537,0
73,0,5.36118,0
74,0,5.68902,0
75,0,2.73784,0
76,0,1.27934,0
77,0,1.1872,0
78,0,4.05079,0
79,0,1.6122,0
80,0,5.92864,0
81,0,1.76732,0
82,0,2.91312,0
83,0,1.30972,0
84,0,5.70805,0
85,0,2.46787,0
86,0,5.48251,0
87,0,2.01944,0
88,0,3.59897,0
89,1,2.60394,3.36538e-08
90,0,3.38603,0
91,0,1.90059,0
92,0,1.60077,0
93,0,4.59209,0
94,0,4.57479,0
95,0,6.01635,0
96,0,3.52959,0
97,0,1.90211,0
98,0,3.40409,0
99,0,5.29586,0
100,0,2.00856,0
101,0,2.51127,0
102,0,0.539606,0
103,0,3.79306,0
104,0,3.4456,0
105,0,2.27442,0
106,0,2.91157,0
107,0,3.73126,0
108,0,2.41569,0
109,0,5.64217,0
110,0,4.68218,0
111,0,1.65144,0
112,0,1.87677,0
113,0,3.53537,0
114,0,4.16811,0
115,1,4.02897,1.04255
116,0,1.37051,0
117,0,2.15628,0
118,0,2.93281,0
119,0,5.5827,0
120,0,4.6785,0
121,0,1.86205,0
122,0,1.60298,0
123,0,5.29032,0
124,0,2.55681,0
125,0,5.26123,0
126,0,2.32505,0
127,0,4.93765,0
128,0,6.75189,0
129,0,3.68052,0
130,0,1.76128,0
131,0,5.64538,0
132,0,2.75795,0
133,0,4.63872,0
134,0,2.27705,0
135,0,3.89197,0
136,0,2.04484,0
137,0,1.88669,0
138,0,3.72133,0
139,0,2.5494,0
140,0,1.16143,0
141,0,1.6448,0
142,1,3.01975,6.49061e-08
143,0,2.55818,0
144,0,2.03026,0
145,0,3.46585,0
146,0,1.34758,0
147,0,2.41168,0
148,0,1.51522,0
149,0,3.62666,0
150,0,2.02254,0
151,0,1.87647,0
152,0,1.24211,0
153,0,2.36768,0
154,0,3.40924,0
155,0,1.39933,0
156,0,1.73495,0
157,0,1.68734,0
158,0,1.27477,0
159,0,4.18238,0
160,0,1.98535,0
161,0,2.5571,0
162,1,4.65253,0.426367
163,0,6.58882,0
164,0,4.0096,0
165,0,3.27437,0
166,0,5.37873,0
167,0,2.22879,0
168,0,4.73952,0
169,0,1.4467,0
170,0,2.44446,0
171,0,7.92843,0
172,0,4.58415,0
173,0,5.20273,0
174,0,3.30645,0
175,0,1.86074,0
176,0,4.33875,0
