Event,Hit,KE_i,KE_e
1,0,1.96848,0
2,0,0.604121,0
3,0,0.385081,0
4,0,0.517711,0
5,0,0.690946,0
6,0,0.980721,0
7,0,0.644996,0
8,0,0.378747,0
9,0,0.143457,0
10,0,0.342549,0
11,0,1.32642,0
12,0,1.0112,0
13,0,0.423198,0
14,0,0.881859,0
15,0,0.173366,0
16,0,1.36603,0
17,0,1.12956,0
18,0,0.68289,0
19,0,0.202621,0
20,0,0.188875,0
21,0,1.57789,0
22,0,0.796559,0
23,0,1.2484,0
24,0,0.900937,0
25,0,0.356334,0
26,0,0.524061,0
27,0,0.527736,0
28,0,0.802358,0
29,0,0.431848,0
30,0,0.621845,0
31,0,0.714387,0
32,0,0.891651,0
33,0,0.581972,0
34,0,0.833065,0
35,0,0.817403,0
36,0,0.573222,0
37,0,0.157197,0
38,0,0.720199,0
39,0,0.883893,0
40,0,0.298189,0
41,0,0.02251,0
42,0,0.863817,0
43,0,1.15104,0
44,0,1.05448,0
45,0,1.00811,0
46,0,0.668801,0
47,0,0.508844,0
48,0,0.0360921,0
49,0,0.772873,0
50,0,0.691578,0
51,0,0.316251,0
52,0,0.630835,0
53,0,0.172632,0
54,0,0.146725,0
55,0,0.701547,0
56,0,1.29424,0
57,0,0.85759,0
58,0,0.761466,0
59,0,1.04732,0
60,0,0.838893,0
61,0,0.359956,0
62,0,0.575775,0
63,0,0.0935636,0
64,0,1.04624,0
65,0,0.690144,0
66,0,0.163846,0
67,0,1.21284,0
68,1,0.441831,2.31509e-08
69,0,0.0113323,0
70,0,0.633798,0
71,0,0.761504,0
72,0,0.391932,0
73,0,1.07057,0
74,0,0.0456511,0
75,0,0.95333,0
76,0,0.601299,0
77,0,0.560923,0
78,0,1.2538,0
79,0,0.213841,0
80,0,1.10837,0
81,0,0.830815,0
82,0,0.571784,0
83,0,0.171015,0
84,0,1.02196,0
85,0,0.423868,0
86,0,0.77772,0
87,0,0.323993,0
88,0,0.621551,0
89,0,0.542155,0
90,0,0.951599,0
91,0,0.676251,0
92,0,1.18293,0
93,0,0.882421,0
94,0,1.15656,0
95,0,0.0528129,0
96,0,0.950236,0
97,0,0.964847,0
98,1,1.03114,1.47138e-08
99,0,0.438202,0
100,0,0.812418,0
101,0,0.592642,0
102,0,1.08195,0
103,0,0.532797,0
104,0,1.15402,0
105,0,0.249514,0
106,0,1.02688,0
107,0,0.979553,0
108,0,0.867214,0
109,0,0.874134,0
110,0,0.907411,0
111,0,0.566487,0
112,0,1.43389,0
113,0,0.571243,0
114,0,0.547709,0
115,0,1.01314,0
116,0,0.0251686,0
117,0,0.0988113,0
118,0,1.59848,0
119,0,0.285558,0
120,0,0.0972695,0
121,0,0.674847,0
122,0,0.954415,0
123,0,0.931039,0
124,0,0.652165,0
125,0,0.205562,0
126,0,0.983238,0
127,0,2.08766,0
128,0,1.41969,0
129,0,1.13217,0
130,0,0.385476,0
131,0,0.755226,0
132,0,0.924584,0
133,0,0.903276,0
134,0,1.33336,0
135,0,1.04153,0
136,0,0.951152,0
137,0,1.10939,0
138,0,0.898435,0
139,0,0.453139,0
140,0,0.888181,0
141,0,0.425933,0
142,0,0.607954,0
143,0,1.45593,0
144,0,0.748793,0
145,0,1.33169,0
146,0,0.709249,0
147,0,0.84378,0
148,0,1.33433,0
149,0,0.862137,0
150,0,0.332059,0
151,0,1.26375,0
152,0,1.37778,0
153,0,0.339953,0
154,0,0.76295,0
155,0,1.20198,0
156,0,0.950458,0
157,0,0.842748,0
158,0,0.668034,0
159,0,1.05407,0
160,0,0.178999,0
161,0,0.983549,0
162,0,0.775943,0
163,0,0.265615,0
164,0,1.28578,0
165,0,0.807849,0
166,0,1.08255,0
167,0,0.635093,0
168,0,0.732731,0
169,0,0.277487,0
170,0,1.38035,0
171,0,0.207306,0
172,0,0.0720538,0
173,0,0.595865,0
174,0,0.0344236,0
175,0,1.09789,0
176,0,0.555406,0
177,0,0.203662,0
178,1,1.46372,5.86403e-07
179,0,1.23594,0
180,0,0.450977,0
181,0,1.17048,0
182,0,0.124165,0
183,0,0.500003,0
184,0,0.88396,0
185,0,0.0122336,0
186,0,1.51496,0
187,1,1.45048,0.00338346
188,0,0.368963,0
189,0,0.638304,0
190,0,0.399475,0
191,0,1.09806,0
