Event,HasHit,Pos
1,0,0.301192
2,0,0.42357
3,0,0.224938
4,0,7.04185
5,0,0.187996
6,0,2.45412
7,0,0.0714581
8,0,3.45204
9,0,0.536763
10,0,1.71323
11,0,0.35258
12,0,0.361694
13,0,0.979611
14,0,0.260353
15,0,4.25054
16,0,0.125717
17,0,4.84242
18,0,2.75328
19,0,4.54494
20,0,2.38484
21,0,0.568592
22,0,2.89133
23,0,0.641806
24,0,1.42206
25,0,3.05281
26,0,6.17373
27,0,6.48647
28,0,0.569742
29,0,0.0888706
30,0,0.360456
31,0,1.42489
32,0,0.247261
33,0,1.86822
34,0,0.849213
35,0,4.3072
36,0,0.00478406
37,0,1.36895
38,0,0.256234
39,0,0.0579699
40,0,1.73737
41,0,1.9991
42,0,3.58855
43,0,0.433448
44,0,4.64349
45,0,1.64016
46,0,1.0482
47,0,1.60468
48,0,1.06868
49,0,0.329993
50,0,0.316452
51,0,0.913516
52,0,1.49926
53,0,0.199639
54,0,0.547992
55,0,2.37805
56,0,2.63026
57,0,1.5844
58,0,2.31297
59,0,4.26665
60,0,0.237305
61,0,0.58215
62,0,2.29433
63,0,0.0295298
64,0,10.3262
65,0,0.208047
66,0,1.14469
67,0,4.71251
68,0,2.99003
69,0,0.691107
70,0,0.703471
71,0,1.18468
72,0,0.286262
73,0,0.791945
74,0,3.29663
75,0,1.32756
76,0,0.119571
77,0,0.756094
78,0,0.765086
79,0,0.826972
80,0,0.924464
81,0,1.40845
82,0,0.40641
83,0,5.79536
84,0,2.80225
85,0,2.61127
86,0,0.49468
87,0,2.54902
88,0,2.19698
89,0,3.3448
90,0,0.0316086
91,0,2.22056
92,0,2.73784
93,0,0.149942
94,0,0.966347
95,0,0.311024
96,0,0.693957
97,0,3.21694
98,0,0.0186108
99,0,2.37507
100,0,3.15448
101,0,2.83748
102,0,1.45719
103,0,0.406622
104,0,0.83465
105,0,1.76844
106,0,2.76692
107,0,8.58332
108,0,0.0811768
109,0,2.21805
110,0,1.17985
111,0,3.79024
112,0,0.435822
113,0,0.191664
114,0,1.80153
115,0,0.202362
116,0,2.8081
117,0,9.12652
118,0,1.0329
119,0,0.165937
120,0,0.620597
121,0,2.56688
122,0,2.47853
123,0,0.0286466
124,0,0.465555
125,0,3.61519
126,0,0.189635
127,0,2.90202
128,0,0.248211
129,0,5.11919
130,0,0.328463
131,0,0.72377
132,0,1.83939
133,0,1.19563
134,0,2.52053
135,0,0.611103
136,0,2.8954
137,0,3.03518
138,0,0.51881
139,0,0.374751
140,0,0.159217
141,0,3.28253
142,0,0.189689
143,0,2.50441
144,0,5.47629
145,0,0.581276
146,0,0.339407
147,0,3.20296
148,0,0.898372
149,0,0.885225
150,0,4.20768
151,0,2.41804
152,0,0.925719
153,0,0.274336
154,0,1.89532
155,0,5.75554
156,0,0.97799
157,0,0.289431
158,0,3.44162
159,0,0.594318
160,0,2.65149
161,0,0.0388144
162,0,2.49259
163,0,2.66558
164,0,0.0630067
165,0,0.568486
166,0,1.92655
167,0,0.35427
168,0,1.19697
169,0,0.178681
170,0,2.66566
171,0,1.48192
172,0,1.30884
173,0,7.57182
174,0,0.340149
175,0,1.2803
176,0,2.3367
177,0,0.0698681
178,0,8.99996
179,0,2.03193
180,0,0.900176
181,0,1.78815
182,0,2.51443
183,0,2.22456
184,0,0.640263
185,0,0.661258
186,0,6.44545
187,0,0.378461
188,0,0.205383
189,0,1.22553
190,0,0.672368
191,0,1.463
192,0,0.947978
193,0,0.383746
194,0,0.333574
195,0,1.91571
