Event,HasHit,Pos
1,0,0.0832356
2,0,0.00680415
3,0,0.240012
4,0,0.00689787
5,0,0.0828014
6,0,0.0871878
7,0,0.377248
8,0,0.125118
9,0,0.0052908
10,0,0.00488933
11,0,0.00199774
12,0,0.167482
13,0,0.025817
14,0,0.0373222
15,0,0.00082163
16,0,0.00314614
17,0,0.0199584
18,0,0.0312712
19,0,0.00889139
20,0,0.220692
21,0,0.0410444
22,0,0.0482534
23,0,0.0873521
24,0,0.0120511
25,0,0.0490703
26,0,0.00191707
27,0,0.0238425
28,0,0.0334166
29,0,0.0488217
30,0,0.0151298
31,0,0.033549
32,0,0.0124201
33,0,0.198076
34,0,0.100989
35,0,0.0419971
36,0,0.0124704
37,0,0.125488
38,0,0.113858
39,0,0.00956675
40,0,0.100864
41,0,0.00610258
42,0,0.132174
43,0,0.0233759
44,0,0.395538
45,0,0.119537
46,0,0.152842
47,0,0.212493
48,0,0.0853959
49,0,0.0385448
50,0,0.0143727
51,0,0.188624
52,0,0.0890041
53,0,0.0498268
54,0,0.232299
55,0,0.152579
56,0,0.0115609
57,0,0.0528811
58,0,0.0423312
59,0,0.00849102
60,0,0.0553855
61,0,0.0278871
62,0,0.136369
63,0,0.012222
64,0,0.181923
65,0,0.116963
66,0,0.116133
67,0,0.168316
68,0,0.110102
69,0,0.168623
70,0,0.0413238
71,0,0.0645772
72,0,0.0429465
73,0,0.0829417
74,0,0.110758
75,0,0.132721
76,0,0.175149
77,0,0.112738
78,0,0.0117662
79,0,0.0516696
80,0,0.0533615
81,0,0.140933
82,0,0.205112
83,0,0.055298
84,0,0.031519
85,0,0.0959556
86,0,0.118608
87,0,0.121286
88,0,0.0114845
89,0,0.00295286
90,0,0.169423
91,0,0.0558618
92,0,0.0297714
93,0,0.0488624
94,0,0.279191
95,0,0.104555
96,0,0.00158632
97,0,0.0554382
98,0,0.278086
99,0,0.199059
100,0,0.327835
101,1,0.0741942
102,0,0.0538874
103,0,0.103057
104,0,0.00725902
105,0,0.0764162
106,0,0.154863
107,0,0.156483
108,0,0.192152
109,0,0.0164015
110,1,0.0408142
111,0,0.121891
112,0,0.176613
113,0,0.0270877
114,0,0.0939543
115,0,0.321829
116,0,0.151129
117,1,0.0536807
118,0,0.0759139
119,0,0.0114727
120,0,0.157289
121,0,0.15649
122,0,0.00953609
123,0,0.198679
124,0,0.0563222
125,0,0.0496842
126,0,0.132765
127,0,0.00996038
128,0,0.100407
129,0,0.131991
130,0,0.113731
131,0,0.0127486
132,0,0.220188
133,0,0.0460485
134,0,0.100888
135,0,0.0927997
136,0,0.123473
137,0,0.108359
138,0,0.148797
139,0,0.00209654
140,0,0.132595
141,0,0.0276021
142,0,0.0285848
143,0,0.0343346
144,0,0.0457132
145,0,0.218934
146,0,0.00937467
147,0,0.0669185
148,0,0.14311
149,0,0.0626582
150,0,0.165094
151,0,0.193237
152,0,0.070556
153,1,0.0669454
154,0,0.181635
155,0,0.0320667
156,0,0.126775
157,0,0.0877239
158,0,0.112357
159,0,0.0258862
160,0,0.0969695
161,0,0.0408236
162,0,0.0549181
163,0,0.0111094
164,0,0.139282
165,0,0.111562
166,0,0.0578904
167,0,0.350783
168,0,0.0320117
169,0,0.145924
170,0,0.0436364
171,0,0.000811965
172,0,0.0316321
173,0,0.0679225
174,0,0.0326642
175,0,0.0126538
176,0,0.281564
177,0,0.00604425
178,0,0.167905
179,0,0.0251545
180,0,0.248961
181,0,0.00490691
182,0,0.0264049
183,0,0.216289
184,0,0.0734174
185,0,0.153942
186,0,0.00812049
187,0,0.00799477
188,0,0.267474
189,0,0.240529
190,1,0.0682938
191,0,0.183271
192,0,0.0463234
193,0,0.0479732
194,1,0.141429
195,0,0.00889266
196,0,0.0608703
197,0,0.0111964
198,0,0.00438257
199,0,0.0735965
200,0,0.193828
201,0,0.045396
202,0,0.124425
203,0,0.0924355
204,0,0.251092
205,0,0.0269203
206,0,0.135926
207,0,0.0743993
208,0,0.211722
209,0,0.0363873
210,0,0.125016
211,0,0.0386144
212,0,0.0376875
213,0,0.353639
214,0,0.0847258
215,0,0.0402824
216,0,0.00386207
217,0,0.0662946
218,0,0.0370802
219,0,0.10259
220,0,0.0265707
221,0,0.0367561
222,0,0.0145133
223,0,0.0463525
224,0,0.0196694
225,0,0.0188635
226,0,0.142979
227,0,0.378412
228,0,0.421465
229,0,0.0525837
230,0,0.0111037
231,0,0.110939
232,0,0.123126
233,0,0.023306
234,0,0.00289406
235,0,0.135271
236,0,0.293495
237,0,0.19697
238,0,0.0907376
239,0,0.132061
240,0,0.00597084
241,0,0.0457466
242,0,0.114182
243,0,0.108899
244,0,0.0134498
245,0,0.0135489
246,0,0.0263543
247,0,0.0287846
248,0,0.096663
249,0,0.0849434
250,0,0.018894
251,0,0.154195
252,0,0.0396233
253,0,0.084901
254,0,0.154067
255,0,0.110015
256,0,0.0305155
257,0,0.153928
258,0,0.0244832
259,0,0.18064
260,0,0.12836
261,0,0.111706
262,0,0.118955
263,0,0.0231996
264,0,0.131006
265,0,0.0516326
266,0,0.00140194
267,0,0.143412
268,0,0.0984836
269,0,0.129949
270,0,0.119944
271,0,0.01925
272,0,0.0753581
273,0,0.0660852
274,0,0.190264
275,0,0.293427
276,0,0.012862
277,0,0.116315
278,0,0.15506
279,0,0.14202
280,0,0.22729
281,0,0.415219
282,0,0.158126
283,0,0.00421859
284,0,0.0788902
285,0,0.0577015
286,0,0.131278
287,1,0.176575
288,0,0.014603
289,0,0.014862
290,0,0.00704874
291,0,0.0224707
292,0,0.0780143
293,0,0.245307
294,0,0.0173691
295,0,0.129579
296,0,0.0548452
297,0,0.0444222
298,0,0.14116
299,0,0.124014
300,0,0.00531854
301,0,0.0504876
302,0,0.00674765
303,0,0.0945822
304,0,0.00899684
305,0,0.0552953
306,0,0.0341767
307,0,0.0584108
308,0,0.0186641
309,0,0.768042
310,0,0.0301051
311,0,0.079193
312,0,0.188231
313,0,0.0325409
314,0,0.0740471
315,0,0.00884397
316,0,0.0749406
317,0,0.0452391
318,0,0.0367401
319,0,0.053818
320,0,0.00721619
321,0,0.319962
322,0,0.213283
323,0,0.0198484
324,0,0.217389
325,0,0.176387
326,0,0.123659
327,0,0.0278548
328,0,0.00344274
329,0,0.0286019
330,0,0.0690932
331,0,0.0540841
332,0,0.0797533
333,0,0.0594099
334,0,0.0945646
335,0,0.144411
336,0,0.22179
337,0,0.197448
338,0,0.126812
339,0,0.111866
340,0,0.0286464
341,0,0.0470657
342,0,0.00274589
343,0,0.109496
344,0,0.0551392
345,0,0.249677
346,0,0.126903
347,0,0.0690385
348,0,0.291984
349,0,0.0843615
350,0,0.177679
351,0,0.0922499
352,0,0.00392665
353,0,0.0401163
354,0,0.119071
355,0,0.0337094
356,0,0.0300747
357,0,0.0360645
358,0,0.145429
359,0,0.0704338
360,0,0.0966368
361,0,0.404036
362,0,0.121775
