Event,HasHit,Pos
1,0,0.0476149
2,0,0.297712
3,0,0.091401
4,0,0.00186575
5,0,0.0806168
6,0,0.211857
7,0,0.26387
8,0,0.0610664
9,0,0.00446393
10,0,0.114505
11,0,0.0798162
12,0,0.0279553
13,0,0.105895
14,0,0.0232663
15,0,0.263131
16,0,0.0281215
17,0,0.0779792
18,0,0.094202
19,0,0.0511784
20,0,0.150482
21,0,0.068184
22,0,0.041695
23,0,0.101161
24,0,0.0309232
25,0,0.267303
26,0,0.139364
27,0,0.126667
28,0,0.189285
29,0,0.260601
30,0,0.00829186
31,0,0.405667
32,0,0.0658701
33,0,0.471196
34,0,0.0027923
35,0,0.194133
36,0,0.191573
37,0,0.0558338
38,1,0.131556
39,0,0.0220582
40,0,0.120804
41,0,0.2743
42,0,0.00919392
43,0,0.677222
44,0,0.00837964
45,0,0.0834717
46,0,0.185821
47,0,0.00645881
48,0,0.0459709
49,0,0.0313903
50,0,0.000609515
51,0,0.106888
52,0,0.144891
53,0,0.11218
54,0,0.111888
55,0,0.0422257
56,0,0.457876
57,0,0.0147466
58,0,0.014435
59,0,0.0299756
60,0,0.106856
61,0,0.135893
62,0,0.0298445
63,0,0.10178
64,0,0.0774217
65,0,0.0975125
66,0,0.0197531
67,0,0.0153939
68,0,0.168387
69,0,0.0595581
70,0,0.19978
71,0,0.181269
72,0,0.0179152
73,0,0.0133901
74,0,0.215283
75,0,0.107724
76,0,0.0313715
77,0,0.06908
78,0,0.0965027
79,0,0.0256099
80,0,0.13896
81,0,0.0413819
82,0,0.0295872
83,0,0.178993
84,0,0.164999
85,0,0.0359979
86,0,0.0769225
87,0,0.0570483
88,0,0.0839004
89,0,0.307166
90,0,0.0863655
91,0,0.135471
92,0,0.00193808
93,0,0.100317
94,0,0.0148839
95,0,0.0691566
96,0,0.198445
97,0,0.0521694
98,0,0.130799
99,0,0.111279
100,0,0.0424871
101,0,0.207255
102,0,0.0754935
103,0,0.0508647
104,0,0.238526
105,0,0.0526205
106,0,0.129835
107,0,0.0882819
108,0,0.162658
109,0,0.184508
110,0,0.0238337
111,0,0.142139
112,0,0.110724
113,0,0.0142221
114,0,0.0243286
115,0,0.0480095
116,0,0.0382036
117,1,0.124926
118,0,0.0291383
119,0,0.0503736
120,0,0.44294
121,0,0.00332597
122,0,0.0854789
123,0,0.0130629
124,0,0.00133609
125,0,0.0942189
126,0,0.0106725
127,0,0.0566404
128,0,0.048265
129,0,0.0208054
130,0,0.00252167
131,0,0.0541409
132,0,0.0467605
133,0,0.00297895
134,0,0.0678039
135,0,0.0683524
136,0,0.621134
137,0,0.403529
138,0,0.248682
139,1,0.0333141
140,0,0.0080419
141,0,0.010175
142,0,0.103359
143,0,0.0188253
144,0,0.0133022
145,0,0.56356
146,0,0.163361
147,0,0.052178
148,0,0.00176578
149,0,0.0849022
150,0,0.0439527
151,0,0.340563
152,0,0.00601712
153,0,0.0246305
154,0,0.0606527
155,0,0.0615366
156,0,0.301996
157,0,0.0834824
158,1,0.0496081
159,0,0.0777834
160,0,0.0956243
161,0,0.0654719
162,0,0.0465451
163,0,0.0187701
164,0,0.242803
165,0,0.0392048
166,0,0.23101
167,0,0.0637411
168,0,0.119231
169,0,0.0028813
170,0,0.0612617
171,0,0.061541
172,0,0.315773
173,0,0.0115361
174,0,0.122174
175,0,0.00539727
176,0,0.311679
177,0,0.0102623
178,0,0.056181
179,0,0.116028
180,0,0.00247763
181,0,0.116802
182,0,0.0187116
183,0,0.0297538
184,0,0.00803624
185,0,0.0287791
186,0,0.0233635
187,0,0.0952689
188,0,0.0586928
189,0,0.084988
190,0,0.0144203
191,0,0.0158456
192,0,0.0937549
193,0,0.258453
194,0,0.184008
195,0,0.0703628
196,0,0.0240146
197,0,0.0622496
198,0,0.0277272
199,0,0.169252
200,0,0.308269
201,0,0.0577238
202,0,0.169328
203,0,0.126168
204,0,0.0231694
205,0,0.365053
206,0,0.0251471
207,0,0.120775
208,0,0.14644
209,0,0.245313
210,0,0.00602046
211,0,0.15337
212,0,0.000772269
213,0,0.347133
214,0,0.345187
215,0,0.133929
216,0,0.0112948
217,0,0.0131991
218,0,0.0762817
219,0,0.0516291
220,0,0.116422
221,0,0.051009
222,0,0.315755
223,0,0.0211799
224,0,0.311833
225,0,0.246972
226,0,0.0398017
227,0,0.252175
228,0,0.128561
229,0,0.00361827
230,0,0.0696453
231,0,0.018279
232,0,0.159839
233,0,0.0954845
234,0,0.049946
235,0,0.00279373
236,0,0.173572
237,0,0.154537
238,0,0.0971368
239,0,0.013654
240,0,0.0575754
241,0,0.37473
242,0,0.00919186
243,0,0.0114965
244,0,0.0172165
245,0,0.0198839
246,0,0.0382779
247,0,0.0185382
248,0,0.00125907
249,0,0.0833033
250,0,0.063825
251,0,0.0867672
252,0,0.0439079
253,0,0.00931739
254,0,0.416046
255,0,0.292264
256,0,0.0498784
257,0,0.10878
258,0,0.036488
259,0,0.19178
260,0,0.288462
261,0,0.0649202
262,0,0.179532
263,0,0.254764
264,0,0.106123
265,0,0.044094
266,0,0.0201316
267,0,0.256831
268,0,0.0623776
269,0,0.0939585
270,0,0.143065
271,0,0.0501664
272,0,0.0867702
273,0,0.0483788
274,0,0.0286132
275,0,0.116639
276,0,0.281457
277,0,0.210063
278,0,0.217361
279,0,0.0300161
280,0,0.0117706
281,0,0.142759
282,0,0.00340844
283,0,0.0093389
284,0,0.00808244
285,0,0.0395597
286,0,0.00457666
287,0,0.0853584
288,0,0.0331927
289,0,0.216562
290,0,0.119518
291,0,0.0223003
292,0,0.0468323
293,0,0.0998892
294,0,0.0667895
295,0,0.0923218
296,0,0.0987103
297,0,0.316043
298,0,0.0546461
299,0,0.0951855
300,0,0.110822
301,0,0.0343152
302,0,0.0524781
303,0,0.0163046
304,0,0.0602813
305,0,0.0221732
306,0,0.00951643
307,0,0.0334277
308,0,0.0315411
309,0,0.0213907
310,0,0.0927246
311,0,0.0880165
312,0,0.174473
313,0,0.0157242
314,0,0.00206895
315,0,0.0510042
316,0,0.20717
317,0,0.00250202
318,0,0.0395318
319,0,0.0537125
320,0,0.0053827
321,0,0.117897
322,0,0.0245644
323,0,0.0627242
324,0,0.0816251
325,0,0.0240988
326,0,0.0712737
327,1,0.00512269
328,0,0.0560333
329,0,0.175246
330,0,0.0321096
331,0,0.0613121
332,0,0.0133163
333,0,0.0735514
334,0,0.0715067
335,0,0.0925511
336,0,0.180048
337,0,0.0409515
338,0,0.124884
339,0,0.0182557
340,0,0.0702833
341,0,0.00577865
342,0,0.175925
343,0,0.0228021
344,0,0.0753665
345,0,0.120795
346,0,0.00202792
347,0,0.0825969
348,0,0.0872658
349,0,0.0448583
350,0,0.0122971
351,0,0.230524
352,0,0.00228261
353,0,0.0238125
354,0,0.153094
355,0,0.00977943
356,0,0.0844567
357,0,0.410285
