Event,HasHit,Pos
1,0,12.7542
2,0,1.23546
3,0,2.20313
4,0,1.16168
5,0,4.87486
6,0,10.2802
7,0,0.575775
8,0,2.39793
9,0,9.8068
10,0,10.3081
11,0,1.32753
12,0,1.68718
13,0,5.33561
14,0,0.879162
15,0,2.02623
16,0,8.6053
17,0,10.4167
18,0,5.62834
19,0,5.05018
20,0,0.114312
21,0,1.22817
22,0,0.615769
23,0,0.339367
24,0,0.600742
25,0,9.7378
26,0,6.84978
27,0,5.22913
28,0,2.75585
29,0,2.11221
30,0,0.303765
31,0,3.1627
32,0,0.548625
33,0,15.5466
34,0,8.16488
35,0,0.37545
36,0,0.170227
37,0,7.04597
38,0,5.65296
39,0,5.72642
40,0,9.60287
41,0,13.3188
42,0,6.55583
43,0,6.2821
44,0,3.7045
45,0,11.2243
46,0,3.84953
47,0,0.168465
48,0,6.11248
49,0,1.42642
50,0,1.62525
51,0,12.6006
52,0,1.20448
53,0,0.601463
54,1,2.00089
55,0,1.77966
56,0,9.28191
57,0,0.882131
58,0,7.7822
59,0,4.28782
60,0,4.28802
61,0,4.16119
62,0,15.4136
63,0,3.63389
64,0,3.14168
65,0,1.97288
66,0,2.76047
67,0,6.37168
68,0,3.66734
69,0,0.320228
70,0,5.63522
71,0,4.01615
72,0,2.01812
73,0,1.80237
74,0,1.87832
75,0,0.493826
76,0,1.5224
77,0,2.17247
78,0,13.0514
79,0,8.57395
80,0,3.0819
81,0,8.50478
82,0,5.33167
83,0,0.771198
84,0,1.32262
85,0,2.51415
86,0,7.12785
87,0,0.136823
88,0,3.77051
89,0,3.52821
90,0,7.58854
91,0,2.3634
92,0,3.50169
93,0,3.94299
94,0,3.94507
95,0,1.55657
96,0,1.56881
97,0,1.67143
98,0,3.581
99,0,0.457598
100,0,0.359347
101,0,5.65922
102,0,7.33562
103,0,14.5222
104,0,3.11478
105,0,1.96046
106,0,2.56582
107,0,0.696643
108,0,7.89008
109,0,1.12377
110,0,18.2535
111,0,0.0115746
