Event,Hit
1,1
2,1
3,0
4,0
5,0
6,1
7,1
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,1
17,0
18,0
19,1
20,1
21,1
22,0
23,0
24,0
25,1
26,0
27,1
28,0
29,0
30,1
31,1
32,1
33,0
34,0
35,0
36,1
37,1
38,1
39,0
40,0
41,0
42,0
43,1
44,1
45,0
45,0
46,1
47,0
48,1
49,1
50,1
51,0
52,0
53,0
54,1
55,0
55,1
56,1
57,0
58,0
59,0
60,1
61,1
62,0
62,0
63,0
64,0
65,1
66,0
67,0
68,0
69,1
70,0
71,0
72,1
73,1
74,0
75,0
76,0
77,1
78,0
79,1
80,0
81,1
82,1
83,1
84,1
85,1
86,1
87,0
88,0
89,1
90,0
91,0
92,0
93,0
94,0
95,1
96,0
97,0
98,1
99,0
100,1
101,0
102,0
103,0
104,0
105,0
106,1
107,0
108,0
109,0
110,1
111,1
112,0
113,1
114,0
115,0
116,0
117,0
118,0
119,1
120,0
121,0
122,1
123,1
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,1
133,1
134,1
135,0
136,0
137,1
138,0
139,0
140,1
141,1
142,0
143,1
144,0
145,0
146,1
147,0
148,0
149,1
150,0
151,1
152,0
153,0
154,1
155,0
156,0
157,1
158,0
159,0
160,0
161,1
162,1
163,1
164,1
165,0
166,1
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,1
176,1
177,0
178,1
179,1
180,0
181,0
182,1
183,0
184,1
185,0
186,1
187,1
188,0
189,0
190,1
191,0
192,0
193,0
194,0
195,1
196,0
197,0
198,1
199,0
200,1
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
209,0
210,1
211,1
212,1
213,0
214,1
215,0
216,0
217,1
218,0
219,1
220,0
221,0
222,1
223,1
224,0
225,1
226,1
227,1
228,0
229,1
230,1
231,0
232,0
233,1
234,1
235,0
236,0
237,1
238,1
239,0
240,0
241,0
242,1
243,1
244,0
245,0
246,0
247,0
248,0
249,1
250,0
251,1
252,0
253,1
254,1
255,0
256,0
257,0
258,0
259,1
260,1
261,0
262,1
263,0
264,0
265,1
266,0
267,0
268,1
269,1
270,0
271,0
272,0
273,1
274,0
275,0
276,0
277,0
278,1
279,1
280,1
281,1
282,1
283,1
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,1
295,1
296,0
297,1
298,0
299,1
300,1
301,1
302,0
303,0
304,0
305,0
306,1
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,1
315,1
316,0
317,1
318,0
319,1
320,0
321,0
322,1
323,0
324,1
325,0
326,0
327,0
328,1
329,0
330,1
331,1
332,1
333,0
334,0
334,1
335,0
336,1
337,0
338,0
339,0
340,0
341,1
342,0
343,0
344,1
345,0
346,1
347,1
348,1
349,1
350,0
351,0
352,0
353,1
354,0
355,1
356,0
357,1
358,1
359,1
360,0
361,0
362,1
363,1
364,0
365,1
366,1
367,0
368,1
369,1
370,1
371,1
372,1
373,1
374,0
375,1
376,0
377,0
378,0
379,0
380,0
381,0
382,1
383,1
384,1
385,1
386,0
387,1
388,1
389,0
390,0
391,1
392,0
393,1
394,1
395,1
396,0
397,0
398,1
399,1
400,0
401,1
402,0
403,0
404,1
405,1
406,0
407,0
408,0
409,1
410,1
411,0
412,1
413,0
414,0
415,1
416,1
417,0
418,1
419,0
420,1
421,0
422,1
423,1
424,1
425,0
426,0
427,0
428,1
429,1
430,0
431,0
432,1
433,1
434,1
435,1
436,0
437,0
438,1
439,1
440,0
441,1
442,1
443,0
444,1
445,0
446,1
447,0
448,1
449,1
450,0
451,0
452,0
452,1
453,0
454,0
455,1
456,1
457,1
458,1
459,1
460,1
461,0
462,0
463,1
464,0
465,1
466,0
467,0
468,1
469,0
470,1
471,1
472,1
473,0
474,0
475,0
476,1
477,0
478,1
479,1
480,0
481,0
482,0
483,1
484,0
485,0
486,1
487,0
488,1
489,1
490,1
491,0
492,1
493,1
494,0
495,1
496,0
497,1
498,0
499,0
500,0
501,0
502,1
503,1
504,0
505,0
506,1
507,0
508,1
509,0
510,1
511,0
512,0
513,0
514,1
515,1
516,0
517,0
518,0
519,0
520,0
521,0
522,0
523,0
524,1
525,1
526,1
527,1
528,0
529,1
530,1
531,1
532,1
533,1
534,1
535,0
536,0
537,0
538,0
539,0
540,0
541,1
542,0
543,1
544,0
545,1
546,1
547,0
548,1
549,0
550,1
551,0
552,0
553,1
554,0
555,0
556,0
557,0
558,1
559,1
560,0
561,0
562,1
563,1
564,0
565,0
566,0
567,1
568,1
569,0
570,0
571,0
572,0
573,1
574,1
575,0
576,1
577,0
578,1
579,1
580,0
581,0
582,0
583,0
584,0
585,0
586,0
587,1
588,1
589,1
590,1
591,1
592,1
593,0
594,1
595,0
