Evento,KE,px,py,pz,x,y,z
1,1.17691e+06,-0.323327,-0.425808,-0.845072,351.965,80.4494,-477,
5,0.0638464,-0.690354,-0.71738,0.0936879,-51.144,-477,-142.696,
8,0.0388866,-0.847559,-0.0247858,-0.530122,-477,176.672,50.1785,
10,4.29402e+06,0.654224,-0.236161,0.718484,430.789,-156.48,477,
12,1.27394e+06,0.137029,0.923825,-0.357451,156.433,477,394.321,
14,0.0397176,-0.117935,-0.986467,0.113902,66.9304,-477,74.4824,
15,0.0636737,0.663602,0.7429,-0.087926,477,21.5782,-294.437,
16,167468,0.975289,0.150749,-0.161514,477,-258.218,-367.343,
20,0.0668504,0.0416976,0.0798411,-0.995935,-288.815,-12.1936,-477,
22,1.01673e+06,-0.721134,-0.624985,-0.298931,-477,42.8545,205.135,
24,0.0172425,0.759634,-0.294118,-0.580044,477,290.224,297.726,
35,4.78199e+06,0.333438,0.821366,-0.462791,-39.1474,477,-157.664,
38,0.0799701,0.699737,-0.618384,-0.357727,-178.984,-477,65.5947,
40,0.0598891,-0.511673,-0.776902,-0.366897,-477,-0.220976,277.388,
46,8.49353e+06,0.281156,0.720037,0.634427,183.533,477,420.283,
47,0.327131,-0.127711,-0.554315,0.82245,-477,-25.6555,34.793,
48,2.4964e+06,0.54253,0.0282449,0.839561,234.334,-116.101,477,
49,3.54315e+06,-0.438103,-0.694283,-0.570996,-31.8469,-477,-287.12,
50,139470,-0.312254,0.933602,0.175742,-477,184.159,82.6257,
53,4.93558e+06,0.483537,0.374704,0.791068,477,189.165,113.099,
54,0.0347536,-0.700435,-0.213435,-0.681056,-477,-168.414,-359.834,
56,7.39641e+06,0.630718,-0.418274,0.653637,379.824,-417.564,477,
59,5.25755e+06,-0.352749,0.31175,0.882258,-188.664,168.707,477,
62,1.0608e+06,-0.422601,0.657976,0.623278,207.557,477,-33.4106,
65,4.68282,-0.331201,0.405612,-0.85193,241.813,477,436.904,
68,5750.85,0.817075,-0.563898,0.120029,477,-2.13482,147.225,
69,3.82562e+06,0.183618,0.17289,0.967674,176.058,151.527,477,
70,5.32073e+06,0.356916,0.905328,0.230201,189.774,477,122.845,
71,3.07989e+06,0.534335,0.0261709,0.844868,-122.207,-80.6657,477,
72,1.36174e+06,0.140224,0.934737,-0.326503,27.7911,477,225.755,
78,13817.9,0.862817,0.0632151,0.501549,477,-19.3014,-81.8591,
80,0.0229614,0.295607,0.0113191,-0.955243,-436.933,116.273,-477,
85,1.07476e+06,-0.305135,-0.56144,0.769206,-477,102.48,222.715,
87,2.35202e+06,-0.0487287,0.302358,-0.951948,-203.298,-223.39,-477,
88,0.703427,-0.752827,0.657682,-0.0265757,-276.429,477,113.669,
90,0.0251285,0.326734,0.409613,0.851741,431.919,182.886,477,
95,0.0432548,-0.434803,-0.898245,0.0640496,-91.3881,-477,297.682,
97,0.0709758,0.65221,-0.7437,-0.14674,120.673,-477,70.9125,
