Event,HasHit,Pos
1,0,10.7291
2,0,11.0537
3,0,7.09014
4,0,78.7929
5,0,36.72
6,0,0.15767
7,0,1.68181
8,0,29.6084
9,0,5.15857
10,0,19.6483
11,0,6.81526
12,0,45.5301
13,0,2.51211
14,0,6.9452
15,0,119.78
16,0,52.3786
17,0,28.8695
18,0,44.001
19,0,14.4435
20,0,5.18987
21,0,57.6336
22,0,4.03291
23,0,14.0192
24,0,25.1985
25,0,2.6737
26,0,5.54708
27,0,45.8072
28,0,23.4373
29,0,6.54173
30,0,57.3503
31,0,2.31977
32,0,17.1508
33,0,0.296351
34,0,33.8249
35,0,37.0459
36,0,29.5677
37,0,43.038
38,0,38.4099
39,0,15.2205
40,0,39.5094
41,0,10.9548
42,0,13.9913
43,0,4.58039
44,0,3.2334
45,0,11.9493
46,0,8.0663
47,0,3.72646
48,0,23.9064
49,0,6.28415
50,0,19.3753
51,0,45.5628
52,0,93.0991
53,0,0.493613
54,0,68.5444
55,0,13.4877
56,0,115.027
57,0,129.711
58,0,42.9368
59,0,22.0802
60,0,2.98033
61,0,16.9226
62,0,1.18624
63,0,69.7028
64,0,72.6118
65,0,1.15731
66,0,81.1579
67,0,21.024
68,0,51.6254
69,0,27.0729
70,0,57.7933
71,0,60.9715
72,0,43.7488
73,0,77.7389
74,0,28.6693
75,0,51.6709
76,0,49.8072
77,0,75.398
78,0,4.08377
79,0,69.2329
80,0,17.7713
81,0,90.9512
82,0,15.5688
83,0,38.6231
84,0,110.157
85,0,6.75178
86,0,44.9882
87,0,59.3755
88,0,75.6831
89,0,8.3332
90,0,68.1966
91,0,84.0332
92,0,5.61333
93,0,76.5676
94,0,49.2743
95,0,36.6878
96,0,29.1015
97,0,50.1583
98,0,3.97968
99,0,14.6895
100,0,35.8796
101,0,34.5999
102,0,46.4653
103,0,49.314
104,0,4.79912
105,0,11.1707
106,0,37.8686
107,0,19.947
108,0,101.441
109,0,23.208
110,0,58.3407
111,0,82.8639
112,0,24.9847
113,0,14.1218
114,0,29.7382
115,0,30.7158
116,0,21.615
117,0,21.3565
118,0,51.2636
119,0,17.4918
120,0,110.063
121,0,157.668
122,0,6.1357
123,0,45.9938
124,0,41.5914
125,0,116.225
126,0,71.8416
127,0,8.41998
128,0,4.65214
129,0,2.24217
130,0,148.226
131,0,46.9579
132,0,11.8146
133,0,31.8937
134,0,11.3726
135,0,9.85105
136,0,29.3326
137,0,20.7893
138,0,10.7356
139,0,199.251
140,0,2.43694
141,0,102.852
142,0,140.5
143,0,11.6806
144,0,28.6133
145,0,12.1846
146,0,16.8237
147,0,7.0626
148,0,3.62881
149,0,1.03636
150,0,22.6914
151,0,23.9008
152,0,28.6023
153,0,50.1303
154,0,10.037
155,0,38.5497
156,0,99.2007
157,0,20.4972
158,0,7.91433
159,0,0.899801
160,0,36.0578
161,0,69.0895
162,0,42.3645
163,0,34.5195
164,0,23.852
165,0,7.65505
166,0,8.86265
167,0,48.1251
168,0,49.9456
169,0,103.003
170,0,85.0061
171,0,14.7495
172,0,63.2046
173,0,80.736
174,0,45.3343
175,0,38.9776
176,0,0.488605
177,0,1.82202
178,0,62.1691
179,0,16.6724
180,0,81.9487
181,0,4.90417
182,0,73.688
183,0,25.6634
184,0,11.7373
185,0,89.1432
186,0,61.5473
187,0,19.0567
188,0,1.22323
189,0,99.7051
190,0,23.7726
191,0,123.037
192,0,6.73117
193,0,35.72
194,0,11.5265
195,0,28.3496
196,0,54.157
197,0,19.1136
198,0,3.32585
199,0,32.9995
200,0,14.4333
201,0,28.2403
202,0,55.4195
203,0,20.6745
204,0,40.6917
205,0,26.6915
206,0,11.8215
207,0,12.9226
208,0,32.5559
209,0,3.05914
210,0,27.7539
211,0,0.619405
212,0,31.3857
213,0,37.5488
214,0,90.3398
215,0,99.1675
216,0,76.1338
217,0,109.065
218,0,113.478
219,0,38.0439
220,0,66.7624
221,0,18.2714
222,0,35.9274
223,0,15.8821
224,0,18.7716
225,0,8.91679
226,0,40.4358
227,0,14.9065
228,0,37.672
229,0,25.4785
230,0,60.7297
231,0,8.23042
232,0,46.8304
233,0,55.5304
234,0,12.2872
235,0,9.6663
236,0,42.7452
237,0,34.0913
238,0,83.5778
239,0,226.299
240,0,22.297
241,0,49.9413
242,0,62.1596
243,0,47.4403
244,0,57.4543
245,0,4.99114
246,0,6.70213
247,0,1.44365
248,0,86.399
249,0,44.4456
250,0,20.7696
251,0,33.5927
252,0,111.302
253,0,18.6918
254,0,40.6436
255,0,2.28323
256,0,32.1078
257,0,45.631
258,0,54.0307
259,0,58.1614
260,0,47.0951
261,0,15.643
262,0,32.1268
263,0,0.577297
264,0,40.5215
265,0,52.4902
266,0,31.9574
267,0,437.648
268,0,11.6192
269,0,28.6928
270,0,150.765
271,0,14.3013
272,0,37.3013
273,0,78.9265
274,0,43.2368
275,0,0.256887
276,0,107.336
277,0,67.8422
278,0,29.0301
279,0,92.0953
280,0,7.214
281,0,21.7772
282,0,74.7703
283,0,5.01596
284,0,86.8574
285,0,46.754
286,0,11.7617
287,0,111.181
288,0,25.5848
289,0,50.3589
290,0,81.0432
291,0,122.575
292,0,78.4497
293,0,50.9415
294,0,5.38884
295,0,57.3985
296,0,59.5218
297,0,36.4978
298,0,6.44053
299,0,5.00383
300,0,52.0869
301,0,23.6218
302,0,7.96754
303,0,52.9856
304,0,14.584
305,0,74.5789
306,0,11.4645
307,0,33.1836
308,0,32.4204
309,0,131.939
310,0,25.7454
311,0,8.52053
312,0,12.4117
313,0,260.178
314,0,12.9268
315,0,29.2575
316,0,38.7658
317,0,41.0693
318,0,38.0241
319,0,19.0143
320,0,85.6885
321,0,6.43237
322,0,50.9942
323,0,53.2099
324,0,15.2564
325,0,39.5907
326,0,5.90163
327,0,231.168
328,0,5.39704
329,0,119.773
330,0,1.94919
331,0,73.892
332,0,55.5023
333,0,7.5496
334,0,50.8569
335,0,23.6813
336,0,177.251
337,0,26.0031
338,0,41.2243
339,0,3.47349
340,0,3.3783
341,0,36.4097
342,0,14.8949
343,0,66.3625
344,0,7.67458
345,0,92.801
346,0,4.18136
347,0,20.8722
348,0,12.5501
349,0,82.599
350,0,16.5168
351,0,18.7867
352,0,3.26773
353,0,81.8376
354,0,27.6002
355,0,11.9823
356,0,77.7393
357,0,16.9282
358,0,25.8475
