Event,HasHit,Pos
1,0,8.41489
2,0,13.174
3,0,24.6674
4,0,9.57886
5,0,38.0102
6,0,87.3136
7,0,31.3662
8,0,19.7221
9,0,2.79055
10,0,68.4705
11,0,60.9694
12,0,27.2122
13,0,18.777
14,0,7.07874
15,0,10.5922
16,0,32.7462
17,0,46.3343
18,0,6.25286
19,0,8.02057
20,0,2.70426
21,0,55.5694
22,0,19.2495
23,0,12.0556
24,0,58.4934
25,0,84.9541
26,0,115.455
27,0,5.80958
28,0,33.7634
29,0,30.3333
30,0,7.35609
31,0,9.95364
32,0,0.693017
33,0,19.0245
34,0,1.38292
35,0,17.3589
36,0,50.1214
37,0,219.331
38,0,25.5647
39,0,18.7982
40,0,14.3198
41,0,10.9212
42,0,12.6739
43,0,16.2522
44,0,14.942
45,0,60.4465
46,0,26.682
47,0,7.53266
48,0,36.3713
49,0,36.4628
50,0,34.277
51,0,173.101
52,0,5.93453
53,0,28.7511
54,0,21.9075
55,0,32.941
56,0,7.28063
57,0,32.5211
58,0,10.1922
59,0,46.9629
60,0,15.7968
61,0,39.5694
62,0,49.1146
63,0,17.2928
64,0,29.261
65,0,10.9561
66,0,6.19292
67,0,130.844
68,0,17.436
69,0,88.2578
70,0,7.72094
71,0,24.1203
72,0,2.49079
73,0,27.4303
74,0,85.0413
75,0,67.3012
76,0,15.7138
77,0,27.094
78,0,0.873368
79,0,8.23828
80,0,86.5482
81,0,16.4618
82,0,55.5638
83,0,4.97823
84,0,2.29074
85,0,90.6532
86,0,9.60527
87,0,12.0069
88,0,7.81792
89,0,11.8082
90,1,62.0876
91,0,2.09637
92,0,67.8543
93,0,15.317
94,0,56.0351
95,0,0.360807
96,0,5.25984
97,0,5.12332
98,0,37.667
99,0,41.1129
100,0,25.0505
101,0,37.6806
102,0,14.091
103,0,15.2176
104,0,25.4891
105,0,8.57352
106,0,23.2956
107,0,88.7627
108,0,6.14251
109,0,10.8572
110,0,6.51984
111,0,13.6572
112,0,38.7553
113,0,12.9038
114,0,26.6897
115,0,27.5502
116,0,9.00173
117,0,35.1918
118,0,6.9328
119,0,18.1196
120,0,16.7383
121,0,1.12185
122,0,15.8272
123,0,30.262
124,0,18.4952
125,0,44.6959
126,0,54.2066
127,0,25.2958
128,0,7.61873
129,0,2.07793
130,0,20.6326
131,0,10.9987
132,0,8.97278
133,0,20.0634
134,0,24.4592
135,0,12.4876
136,0,26.94
137,0,11.2971
138,0,27.6248
139,0,18.4573
140,0,25.7949
141,0,3.11583
142,0,4.6748
143,0,9.49376
144,0,78.4824
145,0,61.1594
146,0,10.9693
147,0,42.8576
148,0,3.00528
149,0,20.3234
150,0,4.81996
151,0,18.9639
152,0,40.5857
153,0,24.0802
154,0,0.276529
155,0,44.4866
156,1,18.0333
157,0,49.9072
158,0,19.5091
159,0,72.9271
160,0,3.8962
161,0,105.679
162,0,14.1603
163,0,3.85403
164,0,12.8036
165,0,10.2867
166,0,32.1558
167,0,73.4801
168,0,48.9232
169,0,0.148407
170,0,196.119
171,0,24.1189
172,0,6.10752
173,0,34.4798
174,0,19.6463
175,0,7.80511
176,0,101.317
177,0,2.1528
178,0,41.0904
179,0,18.309
180,0,17.951
181,0,19.3416
182,0,72.8128
183,0,3.30974
184,0,72.644
185,0,12.6331
186,0,100.451
187,0,8.93554
188,0,39.1617
189,0,3.78227
190,0,1.10667
191,0,3.75431
192,0,7.78989
193,0,29.5839
194,0,47.6126
195,0,91.8267
196,0,21.3018
197,0,4.68255
198,0,76.044
199,0,47.323
200,0,15.6934
201,0,44.5112
202,0,5.66508
203,0,52.6526
204,0,57.9862
205,0,44.2924
206,0,28.5329
207,0,28.4461
208,0,15.147
209,0,29.6287
210,0,12.191
211,0,4.8121
212,0,76.0715
213,0,25.2226
214,0,6.32324
215,0,1.47042
216,0,4.47623
217,0,59.6058
218,0,6.74218
219,0,98.1398
220,0,0.32987
221,0,23.8448
222,0,55.484
223,0,51.3091
224,0,9.76941
225,0,52.2409
226,0,23.4404
227,0,23.0791
228,0,29.4494
229,0,6.17183
230,0,3.57006
231,0,5.74535
232,0,0.920612
233,0,37.0035
234,0,53.4192
235,0,6.12649
236,0,16.5415
237,0,57.0855
238,0,56.0156
239,0,6.08272
240,0,45.1281
241,0,9.56152
242,0,12.9735
243,0,11.1826
244,0,29.4423
245,0,21.6972
246,0,42.8244
247,0,151.149
248,0,35.5468
249,0,1.46312
250,0,68.892
251,0,61.9973
252,0,10.0344
253,0,44.4181
254,0,4.03831
255,0,8.16984
256,0,7.56014
257,0,44.8438
258,0,9.17749
259,0,4.26887
260,0,5.36215
261,0,10.1612
262,0,69.6668
263,0,7.42327
264,0,83.8452
265,0,24.435
266,0,27.0702
267,0,37.638
268,1,43.6486
269,0,40.0528
270,0,15.5433
271,0,6.49729
272,0,45.0283
273,0,3.8187
274,0,12.3851
275,0,76.393
276,0,4.82742
277,0,85.1373
278,0,6.86909
279,0,40.8187
280,0,5.414
281,0,25.9998
282,0,83.539
283,0,3.12535
284,0,2.26109
285,0,6.75583
286,0,26.8694
287,0,55.2272
288,0,47.5209
289,0,16.6355
290,0,13.6705
291,0,65.5516
292,0,116.631
293,0,31.2324
294,0,20.8336
295,0,0.670658
296,0,10.3492
297,0,66.0349
298,0,23.6051
299,0,18.8871
300,0,16.9207
301,0,27.1387
302,0,15.787
303,0,25.5182
304,0,12.7725
305,0,47.2186
306,0,18.3916
307,0,23.3728
308,0,36.7693
309,0,21.9966
310,0,15.083
311,0,5.44859
312,0,38.9862
313,0,18.21
314,0,17.6173
315,0,25.8139
316,0,29.8969
317,0,146.219
318,0,4.34798
319,0,50.6454
320,0,87.8833
321,0,0.218145
322,0,14.246
323,0,43.672
324,0,17.5567
325,0,10.216
326,0,37.0815
327,0,6.1817
328,0,25.6829
329,0,16.0598
330,0,54.1571
331,0,0.958532
332,0,99.6066
333,0,56.6412
334,0,41.3065
335,0,69.9175
336,0,5.50445
337,0,17.4671
338,0,40.1572
339,0,0.670669
340,0,85.4556
341,0,24.9839
342,0,22.9962
343,0,12.4662
344,0,16.5971
345,0,28.1661
346,0,10.8156
347,0,8.38718
348,0,4.36591
349,0,27.42
350,0,6.2442
351,0,88.9029
352,0,15.2936
353,0,32.3422
354,0,34.9783
355,0,27.3939
356,0,12.5851
357,0,2.59451
358,0,6.7184
359,0,45.7029
360,0,35.8888
361,0,3.84209
362,0,4.79846
363,0,24.4701
364,0,47.5138
365,0,6.33021
366,0,41.3491
367,0,24.9085
368,0,53.4768
369,0,11.998
370,0,10.5423
371,0,55.474
372,0,103.243
373,0,20.0081
374,0,11.1083
375,0,10.3934
376,0,23.7018
377,0,31.264
378,0,40.6045
379,0,19.6327
380,0,49.7232
381,0,8.645
382,0,44.272
383,0,90.7959
384,0,6.73246
385,0,6.0812
386,0,70.3275
387,0,78.624
388,0,15.8505
389,1,1.66252
390,0,83.1254
391,0,5.17569
392,0,0.680331
393,0,23.3005
394,1,2.94042
395,0,7.96867
396,0,52.1522
397,0,20.9272
398,1,7.20088
399,0,13.2149
400,0,97.072
401,0,65.615
402,0,33.2647
403,0,41.9212
404,0,7.38314
405,0,13.5567
406,0,44.5785
407,0,19.9318
408,0,39.1353
409,0,86.3335
410,0,2.06086
411,0,28.7192
412,0,47.3125
413,0,9.12762
414,0,32.9881
415,0,10.7361
416,0,24.4918
417,0,11.7702
418,0,1.46256
419,0,10.9199
420,0,27.6647
421,0,7.39942
422,0,24.7302
423,0,1.43888
424,0,35.097
425,0,3.62307
426,0,26.3149
427,0,23.3777
428,0,70.1439
429,0,17.3479
430,0,56.2947
431,0,62.285
432,0,9.75253
433,0,22.9508
434,0,31.7375
435,1,22.6314
436,0,94.637
437,0,2.01354
438,0,27.0083
439,0,11.231
440,0,11.5073
441,0,52.2695
442,0,4.01374
443,0,38.585
444,0,47.655
445,0,6.98769
446,0,88.9271
447,0,65.9747
448,0,1.12111
449,0,1.06651
450,0,67.3182
451,0,5.25374
452,0,49.8507
453,0,70.5274
454,0,12.6345
455,0,14.556
456,0,31.264
457,0,3.99324
458,0,116.612
459,0,14.5627
460,0,8.52961
461,0,28.5931
462,0,7.62051
463,0,12.3115
464,0,7.57566
465,0,12.0427
466,0,10.6847
467,0,19.9028
468,0,6.039
469,0,81.7202
470,0,38.705
471,0,4.78522
472,0,22.6205
473,0,19.3526
474,0,7.59083
475,0,87.664
476,0,14.0996
477,0,65.8212
478,0,50.3581
479,0,42.8478
480,0,102.243
481,0,8.44376
482,0,11.0245
483,0,6.17783
484,0,14.7343
485,0,38.5959
486,0,1.33703
487,0,2.8146
488,0,34.5153
489,0,2.83774
490,0,31.6437
491,0,26.4025
492,0,16.311
493,0,23.7905
