Event,HasHit,Pos
1,0,12.0744
2,1,7.97087
3,1,1.10604
4,1,8.81501
5,1,1.29901
6,1,77.7898
7,0,30.2317
8,0,1.74831
9,0,17.5119
10,0,26.944
11,0,13.5715
12,0,28.514
13,0,8.47764
14,0,59.7033
15,1,15.2486
16,0,40.0485
17,0,8.93793
18,0,18.0234
19,1,8.22725
20,0,0.428403
21,0,30.1554
22,0,19.3371
23,0,62.4883
24,1,135.991
25,0,6.05637
26,0,44.8894
27,0,46.0878
28,1,46.7485
29,0,24.284
30,0,25.1031
31,0,50.1959
32,1,27.1869
33,0,13.2175
34,1,20.9884
35,0,0.477424
36,1,10.8818
37,0,11.9115
38,0,19.005
39,0,48.3806
40,0,29.5089
41,1,12.9855
42,1,10.347
43,1,3.61854
44,0,38.4024
45,1,8.8433
46,0,52.5603
47,1,21.9277
48,0,9.31016
49,0,3.99995
50,1,38.8773
51,0,5.72784
52,1,33.98
53,1,13.1808
54,1,15.4211
55,0,7.30932
56,1,16.8519
57,0,54.4322
58,1,8.62151
59,0,14.1374
60,0,15.6939
61,0,34.9914
62,1,16.1145
63,0,13.606
64,0,1.97549
65,1,33.6457
66,1,22.9533
67,1,11.2704
68,0,25.116
69,1,17.7343
70,1,3.69489
71,1,33.4011
72,0,23.4644
73,0,9.50237
74,1,1.68616
75,1,4.8134
76,0,30.427
77,1,32.5996
78,0,9.82904
79,1,45.312
80,0,7.96879
81,1,10.6814
82,0,45.6421
83,1,34.4958
84,1,7.8466
85,0,8.90459
86,1,45.2471
87,0,52.4563
88,1,1.31552
89,1,11.7077
90,0,51.2218
91,1,13.3881
92,0,28.5097
93,1,1.2205
94,1,38.9039
95,1,2.46595
96,0,21.6073
97,0,5.56792
98,1,11.8608
99,1,69.8468
100,0,39.6098
101,0,7.36735
102,0,0.442705
103,1,17.2851
104,1,38.2888
105,0,86.9293
106,0,57.4984
107,1,135.196
108,1,11.0634
109,1,34.6275
110,0,9.94942
111,0,29.2995
112,1,3.77913
113,1,31.526
114,0,2.76239
115,1,25.2873
116,0,6.19754
117,1,54.3978
118,0,5.44587
119,0,37.8157
120,1,5.40989
121,0,12.1155
122,1,47.3775
123,0,27.8427
124,1,9.56145
125,0,39.3094
126,0,0.665198
127,0,11.9229
128,0,38.0831
129,1,2.6374
130,0,27.9127
131,0,16.3857
132,1,21.3482
133,1,9.15755
134,0,45.6613
135,0,0.903797
136,1,1.155
137,0,17.6569
138,1,24.7639
139,1,20.7051
140,0,3.03444
141,1,9.12497
142,0,14.6445
143,0,11.174
144,1,23.3633
145,1,5.7938
146,0,45.7161
147,1,7.40168
148,0,31.0965
149,0,0.838853
150,1,66.1707
151,0,36.9946
152,0,10.1572
153,1,59.2329
154,1,40.8119
155,1,1.82095
156,1,14.6379
157,0,9.69848
158,1,45.6899
159,1,1.30525
160,0,12.0607
161,0,7.08694
162,0,73.8741
163,0,5.3256
164,0,86.6517
165,0,9.11851
166,1,3.56785
167,0,37.2375
168,1,7.91405
169,1,7.42063
170,0,7.22179
171,0,2.45589
172,1,8.7584
173,1,16.3853
174,0,52.5975
175,0,12.8433
176,1,20.6349
177,0,7.05714
178,0,6.87184
179,0,71.4383
180,0,16.2394
181,0,110.099
182,0,29.7376
183,0,52.5293
184,0,38.7316
185,0,2.48182
186,0,5.52029
187,1,3.54985
188,0,10.8999
189,0,5.33009
190,0,2.51939
191,1,11.2296
192,1,8.22149
193,0,50.3778
194,0,9.0249
195,1,7.42111
196,0,15.9501
197,0,3.20713
198,1,8.47781
199,0,17.2288
200,0,122.055
201,0,1.92535
202,1,14.2472
203,0,3.55596
204,1,4.97895
205,1,1.36265
206,0,52.1279
207,1,7.42462
208,1,31.4236
209,1,13.0366
210,0,1.62067
211,1,5.24195
212,0,4.30554
213,1,14.6674
214,1,46.8701
215,0,92.1941
216,1,18.6996
217,1,7.49406
218,0,71.9848
219,0,101.266
220,0,2.37939
221,0,3.12547
222,0,86.9839
223,0,18.9132
224,0,18.8421
225,1,17.6635
226,0,17.7705
227,1,28.3048
228,1,3.87221
229,0,14.7384
230,1,1.15581
231,1,3.44081
232,0,29.693
233,0,46.5184
234,1,31.0195
235,0,1.57388
236,0,16.526
237,1,13.9664
238,1,0.0885744
239,0,9.71383
240,0,57.0189
241,1,36.8813
242,1,3.8179
243,1,5.42695
244,1,40.0655
245,0,2.42077
246,0,0.543582
247,1,16.0827
248,0,11.0107
249,0,7.32361
250,1,20.6147
251,1,2.80451
252,1,31.4909
253,0,3.17284
254,1,31.5627
255,0,14.5515
256,0,2.85262
257,0,78.2231
258,0,26.9107
259,1,6.20745
260,1,11.4315
261,0,16.4033
262,1,50.6699
263,1,7.68556
264,1,6.04183
265,0,15.9897
266,1,55.7776
267,1,4.77891
268,1,33.3509
269,0,15.5609
270,0,39.0946
271,0,17.1808
272,0,5.89995
273,0,101.728
274,1,3.31601
275,1,86.6983
276,0,73.483
277,0,28.7737
278,1,10.0534
279,0,25.8186
280,1,17.1561
281,1,20.418
282,1,33.1296
283,1,48.0932
284,1,15.399
285,0,119.833
286,1,15.1621
287,1,26.0697
288,0,78.1947
289,0,2.49776
290,0,41.7507
291,1,48.1894
292,0,11.8017
293,1,35.5068
294,0,11.3945
295,1,29.3596
296,1,92.5133
297,1,13.7922
298,0,2.27513
299,0,8.84324
300,1,3.49237
301,1,25.556
302,0,80.786
303,1,1.2404
304,0,24.3698
305,0,7.15555
306,0,6.20512
307,0,24.9299
308,1,5.91371
309,0,52.8101
310,0,15.2596
311,1,16.4834
312,1,15.5672
313,1,44.2628
314,0,41.7635
315,0,37.5508
316,0,13.384
317,1,22.3519
318,1,8.08781
319,1,22.9305
320,0,3.08865
321,1,16.359
322,0,2.31821
323,1,22.9872
324,0,42.2698
325,1,46.1682
326,0,22.6588
327,0,8.37861
328,0,51.1124
329,0,17.2571
330,0,10.6758
331,1,28.0015
332,1,13.6271
333,1,1.841
334,0,5.00106
335,1,21.4292
336,0,37.609
337,0,0.881687
338,0,19.0457
339,0,32.9768
340,0,11.5315
341,0,3.2651
342,1,1.17802
343,0,45.9382
344,0,37.259
345,0,12.2278
346,0,6.86706
347,0,12.1626
348,0,76.0209
349,0,5.99048
350,1,26.1942
351,0,22.1291
352,0,5.97505
353,1,29.592
354,0,3.06155
355,0,0.386563
356,0,2.47192
357,1,27.998
358,0,5.96783
359,1,84.7181
360,0,1.06187
361,0,7.92939
362,0,34.6332
363,0,52.7611
364,1,3.57602
365,0,11.1176
366,0,55.5471
367,0,1.79756
368,0,17.0079
369,1,8.52125
370,0,15.6475
371,1,2.7824
372,0,10.728
373,1,12.8268
374,1,15.2715
375,0,2.71589
376,1,47.095
377,0,22.4265
378,1,114.84
379,1,28.4623
380,0,73.9127
381,0,7.4239
382,0,1.11275
383,0,14.3978
384,1,52.163
385,0,13.4322
386,0,52.143
387,0,3.46356
388,0,23.0214
389,0,16.5674
390,1,25.8792
391,1,5.36576
392,1,32.6011
393,1,15.7497
394,1,37.8824
395,1,16.882
396,0,10.4796
397,1,39.6296
398,0,55.4658
399,0,9.55376
400,1,21.8549
401,0,20.1581
402,1,61.2202
403,1,9.9225
404,0,15.2544
405,0,22.6615
406,1,11.1683
407,1,5.18247
408,0,64.5314
409,1,23.8855
410,0,16.6525
411,1,21.6942
412,0,14.3458
413,1,17.2235
414,0,5.98125
415,1,4.89071
416,1,8.56208
417,1,10.3663
418,1,9.21257
419,0,21.7303
420,0,117.849
421,0,11.7013
422,1,42.0878
423,1,120.891
424,0,13.1434
425,0,46.7521
426,0,16.5422
427,0,30.9679
428,0,20.8645
429,0,14.2098
430,1,2.46515
431,0,2.38885
432,0,17.9495
433,0,0.728889
434,1,13.6392
435,1,50.8153
436,1,28.3485
437,1,9.1472
438,0,42.5503
439,0,2.38044
440,0,1.14251
441,1,20.1648
442,0,46.5113
443,1,7.91311
444,0,24.5431
445,1,11.0496
446,1,6.8198
447,1,7.52355
448,0,9.04654
449,0,17.3624
450,0,27.1603
451,0,26.4498
452,1,21.2414
453,0,151.533
454,0,132.605
455,0,20.43
456,0,1.09075
457,0,11.4649
458,1,3.05727
459,1,13.6237
460,1,12.277
461,1,22.9494
462,0,11.8249
463,0,1.45873
464,1,2.4326
465,0,2.82595
466,0,10.4145
467,1,0.979365
468,1,33.6649
469,0,19.9003
470,1,41.9052
471,1,20.8488
472,1,45.3325
473,0,116.972
474,0,37.0111
475,0,41.4272
476,1,3.53622
477,0,9.6525
478,0,6.47324
479,1,69.2574
480,1,13.3192
481,0,134.688
482,0,1.16966
483,0,3.61915
484,0,43.8014
