Event,HasHit,Pos
1,0,43.5425
2,0,97.0129
3,0,72.592
4,0,41.868
5,0,79.6457
6,0,373.69
7,0,261.344
8,0,309.623
9,0,78.7563
10,0,20.4035
11,0,111.182
12,0,416.573
13,0,171.681
14,0,616.43
15,0,70.2609
16,0,105.181
17,0,90.896
18,0,132.154
19,0,102.449
20,0,270.157
21,0,149.033
22,0,412.449
23,0,415.515
24,0,411.507
25,0,15.7234
26,0,153.268
27,0,28.8883
28,0,54.5096
29,0,114.462
30,0,328.14
31,0,49.1109
32,0,34.2677
33,0,52.2882
34,0,388.63
35,0,216.66
36,0,34.77
37,0,204.103
38,0,199.227
39,0,347.56
40,0,76.8966
41,0,78.1011
42,0,36.8156
43,0,9.0476
44,0,149.432
45,0,95.6152
46,0,347.66
47,0,206.32
48,0,8.51846
49,0,12.8462
50,0,341.559
51,0,215.717
52,0,144.164
53,0,69.2826
54,0,26.8157
55,0,1.91642
56,0,228.274
57,0,17.6564
58,0,154.598
59,0,127.124
60,0,334.347
61,0,95.8483
62,0,57.0706
63,0,66.3932
64,0,63.1009
65,0,569.871
66,0,126.342
67,0,77.3556
68,0,47.8391
69,0,164.429
70,0,114.118
71,0,43.5296
72,0,4.48761
73,0,90.562
74,0,82.0274
75,0,224.66
76,0,51.3689
77,0,194.308
78,0,6.85435
79,0,221.939
80,0,47.1742
81,0,301.643
82,0,131.768
83,0,105.524
84,0,265.033
85,0,24.0548
86,0,177.703
87,0,9.39228
88,0,511.359
89,0,37.0933
90,0,114.297
91,0,232.573
92,0,439.376
93,0,23.9597
94,0,96.1674
95,0,4.0438
96,0,101.182
97,0,162.826
98,0,22.6913
99,0,35.8505
100,0,4.19683
101,0,465.566
102,0,934.634
103,0,34.8248
104,0,33.8567
105,0,368.452
106,0,101.959
107,0,77.4352
108,0,166.446
109,0,50.1471
110,0,50.666
111,0,68.6112
112,1,25.1713
113,0,148.803
114,0,547.776
115,0,82.4772
116,0,37.3906
117,0,290.517
118,0,288.434
119,0,135.828
120,0,64.0623
121,0,48.6114
122,0,47.524
123,0,120.046
124,0,28.3142
125,0,0.500763
126,0,121.871
127,0,10.2122
128,0,4.97322
129,0,64.5344
130,0,93.2901
131,0,142.733
132,1,161.59
133,0,89.1313
134,0,123.576
135,0,1.02558
