Event,HasHit,Pos
1,0,10.7719
2,0,42.8182
3,0,115.209
4,0,7.05747
5,0,40.6218
6,0,46.9439
7,0,31.8241
8,0,56.2461
9,0,23.9477
10,0,21.1618
11,0,11.2295
12,0,28.1085
13,0,0.361924
14,0,29.4937
15,0,39.7622
16,0,4.68589
17,0,9.77767
18,0,37.8525
19,0,122.466
20,0,19.7551
21,0,3.38675
22,0,0.903623
23,0,55.6159
24,0,40.8069
25,0,39.2145
26,0,19.8373
27,0,27.1091
28,0,21.355
29,0,6.09147
30,0,38.259
31,0,48.5874
32,0,2.91949
33,0,9.77327
34,0,58.4571
35,0,14.6075
36,0,103.903
37,0,29.2481
38,0,4.12604
39,0,25.7881
40,0,189.494
41,0,86.6197
42,0,1.01906
43,0,21.8268
44,0,13.8314
45,0,34.3053
46,0,20.0989
47,0,106.028
48,0,28.4577
49,0,21.481
50,0,57.3111
51,0,13.9446
52,0,49.8059
53,0,20.0496
54,0,35.5601
55,0,152.261
56,0,5.76156
57,0,15.9683
58,0,14.401
59,0,17.432
60,0,57.8185
61,0,8.38549
62,0,35.7996
63,0,24.5243
64,0,8.82799
65,0,4.76963
66,0,39.4583
67,0,3.81703
68,0,17.9505
69,0,51.1981
70,0,27.1743
71,0,14.8672
72,0,20.2611
73,0,20.1785
74,0,168.94
75,0,103.205
76,0,7.92661
77,0,17.0856
78,0,73.3426
79,0,41.4282
80,0,23.1346
81,0,1.53637
82,0,13.7125
83,0,59.3154
84,0,43.4819
85,0,20.3847
86,0,73.6811
87,0,25.2969
88,0,44.7115
89,0,46.1136
90,0,19.5727
91,0,94.8938
92,0,3.84584
93,0,82.285
94,0,34.5481
95,0,29.1801
96,0,8.40549
97,0,29.6046
98,0,26.2965
99,0,82.7774
100,0,3.1976
101,0,93.538
102,0,16.3333
103,0,8.7602
104,0,5.96296
105,0,23.4121
106,0,34.3332
107,0,36.3886
108,0,20.8018
109,0,4.05524
110,0,58.0192
111,0,1.73069
112,0,54.0517
113,0,35.2571
114,0,50.2843
115,0,15.9546
116,0,18.069
117,0,136.007
118,0,25.5197
119,0,31.1321
120,0,94.9397
121,0,99.4654
122,0,55.8139
123,0,0.690225
124,0,19.2322
125,0,28.8167
126,0,22.1371
127,0,52.5946
128,0,2.50989
129,0,57.1989
130,0,62.2651
131,0,19.0039
132,0,79.4672
133,0,58.9926
134,0,11.24
135,0,21.9121
136,0,21.7267
137,0,194.675
138,0,24.116
139,0,14.4849
140,0,11.7145
141,0,16.7565
142,0,47.6529
143,0,38.7542
144,0,4.89061
145,0,9.00722
146,0,17.2529
147,0,40.1144
148,0,1.22619
149,0,72.0761
150,0,14.2046
151,0,15.1439
152,0,4.78784
153,0,141.478
154,0,11.3136
155,0,10.9159
156,0,10.6039
157,0,72.1381
158,0,7.27956
159,0,11.2545
160,0,9.65894
161,0,69.6657
162,0,65.0129
163,0,39.605
164,0,14.2101
165,0,1.09068
166,0,51.0388
167,0,21.7797
168,0,22.5122
169,0,70.0238
170,0,6.24651
171,0,24.1026
172,0,25.1181
173,0,36.3136
174,0,0.363435
175,0,32.9771
176,0,3.55641
177,0,5.59386
178,0,181.365
179,0,26.2421
180,0,8.33427
181,0,24.3182
182,0,5.11876
183,0,5.04633
184,0,0.100012
185,0,2.23461
186,0,47.7061
187,0,2.08913
188,0,5.80626
189,0,2.06625
190,0,4.7564
191,0,20.3309
192,0,11.6462
193,0,49.4436
194,0,0.966385
195,0,38.4091
196,0,14.3828
197,0,2.02962
198,0,202.045
199,0,43.1733
200,0,95.9225
201,0,75.6975
202,0,108.481
203,0,1.69762
204,0,27.3204
205,0,88.6388
206,0,71.7931
207,0,12.4821
208,0,1.85102
209,0,22.1192
210,0,10.7611
211,0,11.4888
212,0,27.8786
213,0,42.5136
214,0,159.695
215,0,2.93838
216,0,47.2096
217,0,11.2444
218,0,33.2801
219,0,8.26936
220,0,15.2609
221,0,14.8834
222,0,15.9572
223,0,57.0977
224,0,14.3897
225,0,28.1604
226,0,2.29012
227,0,5.36435
228,0,24.83
229,0,127.961
230,0,42.5055
231,0,5.54802
232,0,39.7326
233,0,39.7792
234,0,42.0616
235,0,109.192
236,0,14.7143
237,0,38.4484
238,0,6.92118
239,0,40.2875
240,0,60.5892
241,0,25.6883
242,0,1.55364
243,0,23.7714
244,0,3.95744
245,0,31.0569
246,0,22.5436
247,0,23.6331
248,0,11.4201
249,0,64.922
250,0,10.9877
251,0,14.434
252,0,141.747
253,0,88.8048
254,0,8.02486
255,0,50.8493
256,0,23.5255
257,0,50.5172
258,0,4.41492
259,0,120.066
260,0,26.7038
261,0,36.5071
262,0,0.589434
263,0,18.9727
264,0,140.817
265,0,9.3418
266,0,1.65823
267,0,42.2163
268,0,11.5749
269,0,124.393
270,0,3.16825
271,0,25.3053
272,0,67.0814
273,0,24.9009
274,0,18.1186
275,0,14.1921
276,0,67.7583
277,0,22.1263
278,0,80.4779
279,0,94.6672
280,0,14.9286
281,0,10.3344
282,0,4.44923
283,0,33.6939
284,0,3.94311
285,0,107.705
286,0,43.3199
287,0,51.6787
288,0,95.9868
289,0,7.64887
290,0,46.5855
291,0,20.8836
292,0,13.5315
293,0,20.4047
294,0,113.105
295,0,40.8354
296,0,34.0331
297,0,129.09
298,0,117.163
299,0,46.529
300,0,43.9312
301,0,132.938
302,0,3.13935
303,0,93.8915
304,0,29.6153
305,0,10.2258
306,0,32.0306
307,0,6.93758
308,0,44.816
309,0,90.439
310,0,46.5888
311,0,7.7039
312,0,42.5217
313,0,196.581
314,0,8.90248
315,0,53.3564
316,0,60.1719
317,0,55.7905
318,0,11.4495
319,0,30.0204
320,0,35.1909
321,0,52.1407
322,0,64.9396
323,0,57.7778
324,0,0.247823
325,0,0.177862
326,0,9.65796
327,0,16.2882
328,0,2.21426
329,0,62.4385
330,0,60.3743
331,0,24.339
332,0,0.969261
333,0,13.3138
334,0,49.352
335,0,25.9362
336,0,39.9981
337,0,8.89746
338,0,18.7557
339,0,23.7981
340,0,1.89828
341,0,38.4637
342,0,5.9322
343,0,78.0074
344,0,83.9479
345,0,12.843
346,0,86.2916
347,0,38.7612
348,0,123.481
349,0,37.8936
350,0,37.7749
351,0,34.9155
352,0,107.592
353,0,13.2207
354,0,98.1623
355,0,45.4532
356,0,1.20852
357,0,84.9234
358,0,23.3702
359,0,13.9711
360,0,78.064
361,0,37.7746
362,0,3.91031
363,0,44.7533
364,0,59.8066
365,0,19.5479
366,0,32.8754
367,0,99.378
368,0,2.84031
369,0,56.8673
370,0,10.8231
371,0,18.9739
372,0,15.526
373,0,10.2326
374,0,7.26942
375,0,171.887
376,0,13.8766
377,0,51.0196
378,0,30.2023
379,0,29.408
380,0,66.557
381,0,30.858
382,0,265.176
383,0,35.3777
384,0,8.92497
385,0,105.09
386,0,20.8404
387,0,39.4054
388,0,28.8517
389,0,65.6219
390,0,126.195
391,0,12.811
392,0,78.7216
393,0,147.089
394,0,6.76393
395,0,10.2051
396,0,2.65418
397,0,18.0968
398,0,6.03392
399,0,29.3792
400,0,24.1768
401,0,168.641
402,0,16.8454
403,0,21.7352
404,0,7.10848
405,0,23.3332
406,0,29.6771
407,0,11.5408
408,0,29.0904
409,0,59.1422
410,0,9.32587
411,0,5.84287
412,0,22.8177
413,0,19.3176
414,0,10.8281
415,0,25.3583
416,0,82.4832
417,0,92.1699
418,0,5.89942
419,0,159.655
420,0,33.434
421,0,96.2708
422,0,14.1318
423,0,25.4769
424,0,14.5925
425,0,8.74888
426,0,3.52787
427,0,23.5056
428,0,4.91366
429,0,10.4188
430,0,21.666
431,0,34.4801
432,0,48.0001
433,0,28.8571
434,0,122.922
435,0,65.1163
436,0,39.1741
437,0,57.5149
438,0,0.677563
439,0,72.8486
440,0,25.8123
441,0,65.471
442,0,105.439
443,0,34.5595
444,0,15.8363
445,0,14.5374
446,0,23.1749
447,0,30.8611
448,0,0.0283094
449,0,123.784
450,0,5.17867
451,0,68.01
452,0,18.0596
453,0,52.3831
454,0,136.656
455,0,42.2287
456,0,23.4946
457,0,95.4575
458,0,42.1563
459,0,82.4809
460,0,53.386
461,0,25.5032
462,0,16.3126
463,0,22.0012
464,0,66.4501
465,0,7.85328
466,0,7.3541
467,0,20.6233
468,0,12.2661
469,0,12.4893
470,0,52.2054
471,0,52.8018
472,0,13.4529
473,0,81.0062
474,0,12.5617
