Event,HasHit,Pos
1,0,8.57022
2,0,27.9064
3,0,19.8745
4,0,74.2851
5,0,26.9031
6,0,20.3936
7,0,8.51669
8,0,19.1217
9,0,13.6983
10,0,90.7995
11,0,3.26177
12,0,22.188
13,0,36.9337
14,0,30.4272
15,0,30.0535
16,0,0.389257
17,0,9.27251
18,0,66.611
19,0,50.8736
20,0,49.7328
21,0,7.43591
22,0,25.9701
23,0,13.9274
24,0,26.2069
25,0,54.5401
26,0,62.2109
27,0,24.8691
28,0,181.157
29,0,26.3427
30,0,77.574
31,0,16.1664
32,0,16.3971
33,0,38.1372
34,0,29.5383
35,0,24.6892
36,0,11.1359
37,0,27.5416
38,0,22.8155
39,0,2.93629
40,0,87.9397
41,0,8.59748
42,0,9.23211
43,0,2.42278
44,0,3.024
45,0,1.12533
46,0,16.1938
47,0,18.7725
48,0,50.7714
49,0,1.25861
50,0,3.42601
51,0,26.7657
52,0,37.3103
53,0,33.0161
54,0,14.6396
55,0,5.54203
56,0,9.92534
57,0,1.61913
58,0,76.6708
59,0,6.04237
60,0,65.4639
61,0,9.39953
62,0,13.3659
63,0,13.7031
64,0,26.784
65,0,16.6052
66,0,2.12264
67,0,21.1798
68,0,1.23168
69,0,32.8769
70,0,17.4976
71,0,0.78582
72,0,39.1313
73,0,46.41
74,0,17.4821
75,0,12.6568
76,0,16.442
77,0,2.81374
78,0,2.38101
79,0,33.0196
80,0,5.7951
81,0,67.1601
82,0,43.1377
83,0,5.91624
84,0,4.35481
85,0,9.07414
86,0,8.45523
87,0,3.21245
88,0,16.8391
89,0,168.433
90,0,24.6717
91,0,6.91795
92,0,103.422
93,0,10.5521
94,0,6.98727
95,0,55.8907
96,0,6.72114
97,0,21.7979
98,0,8.66729
99,0,19.1345
100,0,35.1543
101,0,17.0129
102,0,26.7146
103,0,28.2928
104,0,2.50229
105,0,12.6743
106,0,24.4528
107,0,20.0158
108,0,48.0221
109,0,14.3473
110,0,13.4268
111,0,52.7308
112,0,0.789529
113,0,21.9817
114,0,45.3121
115,0,27.4666
116,0,6.18326
117,0,9.09814
118,0,22.5762
119,0,48.1857
120,0,3.24306
121,0,3.83804
122,0,33.474
123,0,10.3537
124,0,26.7347
125,0,84.9355
126,0,69.1849
127,0,19.8703
128,0,8.54225
129,0,22.984
130,0,11.5425
131,0,21.9864
132,0,11.6977
133,0,38.9899
134,0,14.3808
135,0,5.82824
136,0,15.2658
137,0,31.0977
138,0,9.88361
139,0,30.5858
140,0,3.72132
141,0,16.0836
142,0,13.0354
143,0,10.5959
144,0,1.96151
145,0,10.5766
146,0,7.25108
147,0,59.6603
148,0,8.49595
149,0,36.848
150,0,19.7745
151,0,26.5827
152,0,8.28801
153,0,19.8396
154,0,76.7773
155,0,0.66488
156,0,22.651
157,1,16.0476
158,0,4.8333
159,0,35.1723
160,0,13.2532
161,0,32.4484
162,0,1.90438
163,0,104.784
164,0,19.3822
165,0,26.2684
166,0,30.086
167,0,7.01943
168,0,4.15216
169,0,10.8414
170,0,38.867
171,0,21.3369
172,0,9.74803
173,0,33.1589
174,0,6.85325
175,0,28.191
176,0,3.53871
177,0,70.3771
178,0,31.2297
179,0,1.6263
180,0,43.3309
181,0,21.0824
182,0,13.1237
183,0,2.4044
184,0,32.5065
185,0,39.2017
186,0,73.1305
187,0,14.0698
188,0,17.443
189,0,4.00797
190,0,22.5989
191,1,3.61791
192,0,8.04064
193,0,44.9049
194,0,69.966
195,0,11.6662
196,0,2.92634
197,0,42.306
198,0,8.88346
199,0,64.5516
200,0,5.35441
201,0,20.9877
202,0,36.8749
203,0,14.9892
204,0,55.938
205,0,20.6985
206,0,28.4616
207,0,55.8632
208,0,19.2654
209,0,38.6229
210,0,20.227
211,0,15.3363
212,0,8.25864
213,0,8.41379
214,0,56.8541
215,0,51.6387
216,0,8.29291
217,0,89.199
218,0,12.5464
219,0,4.49701
220,0,25.9892
221,0,0.42569
222,0,4.84843
223,0,8.43927
224,0,5.24836
225,0,24.1871
226,0,27.6967
227,0,11.6319
228,0,27.6711
229,0,19.8348
230,0,51.0582
231,0,6.75506
232,0,7.10912
233,0,55.2705
234,0,5.7746
235,0,31.1836
236,0,80.0099
237,0,70.2652
238,0,1.99077
239,0,5.48986
240,0,23.9437
241,0,22.4118
242,0,30.7956
243,0,37.2779
244,0,31.6818
245,0,56.5447
246,0,52.8965
247,0,20.324
248,1,27.5983
249,0,17.8626
250,0,11.5348
251,0,5.45961
252,0,9.08735
253,0,88.1209
254,0,2.44189
255,0,36.0492
256,0,0.99259
257,0,53.8048
258,0,5.75722
259,0,35.7004
260,0,0.94608
261,0,59.8361
262,0,38.0986
263,0,29.1961
264,0,45.8789
265,0,55.2715
266,0,7.23134
267,0,42.2795
268,0,11.0629
269,0,29.7954
270,0,1.38034
271,0,5.25524
272,0,35.8678
273,0,89.5817
274,0,75.8136
275,0,3.21377
276,0,19.0068
277,0,3.77574
278,0,7.63144
279,0,45.8384
280,0,2.66654
281,0,70.4191
282,0,22.4762
283,0,45.2069
284,0,1.7536
285,1,8.76214
286,0,0.227525
287,0,88.8011
288,0,71.048
289,0,27.895
290,0,0.395846
291,0,11.9218
292,0,69.4766
293,0,9.50289
294,0,11.7749
295,0,14.1505
296,0,14.0004
297,0,45.7241
298,0,60.5679
299,0,46.4437
300,0,46.9279
301,0,8.6914
302,0,11.5928
303,0,41.8892
304,0,118.859
305,0,25.9828
306,0,7.90807
307,0,48.221
308,0,8.56283
309,0,27.4174
310,0,0.235936
311,0,30.764
312,0,36.8717
313,0,26.2059
314,0,2.94152
315,0,11.47
316,0,11.1775
317,0,28.2763
318,0,19.2911
319,0,5.15798
320,0,15.8058
321,0,21.1218
322,0,2.83021
323,0,23.3448
324,0,27.8399
325,0,14.6094
326,0,11.5748
327,0,27.1169
328,0,5.37993
329,0,66.077
330,0,18.4419
331,0,20.3003
332,0,100.26
333,0,18.6133
334,0,44.5035
335,0,22.1488
336,0,26.0649
337,0,61.3234
338,0,39.6948
339,0,17.8639
340,0,8.2218
341,0,11.0782
342,0,23.6365
343,0,42.5618
344,0,17.5486
345,0,17.866
346,0,95.7402
347,0,12.5277
348,0,2.47223
349,0,2.13306
350,0,0.172134
351,0,33.1704
352,0,42.4112
353,0,38.4398
354,0,6.96815
355,0,19.9109
356,0,95.9864
357,0,38.9716
358,0,50.7676
359,0,5.00928
360,0,41.2194
361,0,32.7076
362,0,0.670011
363,0,16.3667
364,0,39.1717
365,0,88.0798
366,0,78.5863
367,0,22.8223
368,0,13.7104
369,0,23.8952
370,0,27.2584
371,0,14.8649
372,0,36.0917
373,0,26.779
374,0,3.80212
375,0,20.5514
376,0,11.0183
377,0,21.7538
378,0,4.35743
379,0,12.4062
380,0,19.2594
381,0,6.01029
382,0,33.9613
383,0,18.3719
384,0,34.6548
385,0,37.894
386,0,12.1321
387,0,35.2728
388,0,60.4033
389,0,4.33708
390,0,3.99126
391,0,14.649
392,0,9.3718
393,0,2.03303
394,0,18.5195
395,0,13.8818
396,0,37.6712
397,0,85.3435
398,0,5.33073
399,0,20.9107
400,0,88.3904
401,0,46.7674
402,0,20.6357
403,0,42.6624
404,0,30.8597
405,0,6.66329
406,0,17.4313
407,0,10.8603
408,0,66.1498
409,0,11.0353
410,0,72.9909
411,0,67.8324
412,0,2.83067
413,0,71.5893
414,0,11.7263
415,0,35.6608
416,0,29.7482
417,0,14.1345
418,0,2.83297
419,0,3.07328
420,0,25.1584
421,0,66.8281
422,0,18.9237
423,0,0.0810964
424,0,55.9385
425,0,1.75471
426,0,8.16594
427,0,22.4923
428,0,52.3432
429,0,89.7388
430,0,3.48179
431,0,33.3199
432,0,67.4337
433,0,13.0435
434,0,85.2979
435,0,26.5596
436,0,23.0566
437,0,12.8986
438,0,36.8966
439,0,5.35076
440,0,18.7895
441,0,7.10928
442,0,5.54564
443,0,9.52105
444,0,71.0793
445,0,27.9454
446,0,21.8946
447,0,3.89593
448,0,11.7617
449,0,26.2835
450,0,47.5464
451,0,38.5208
452,0,5.02218
453,0,82.3478
454,0,91.8877
455,0,9.91495
456,0,32.7903
457,0,34.8655
458,0,127.96
459,0,74.5889
460,0,18.3779
461,0,3.14323
462,0,21.5513
463,0,21.0556
464,0,5.50682
465,0,12.2316
466,0,61.0101
467,0,198.521
468,0,30.3807
469,0,5.34458
470,0,10.1756
471,0,24.1562
472,0,23.3232
473,0,11.1456
474,0,61.0759
475,0,49.4644
476,0,30.0578
477,0,19.6915
478,0,11.7839
479,0,21.0379
480,0,2.42678
481,0,7.73507
482,0,26.6881
483,0,27.0343
484,0,5.03748
485,0,11.3904
486,0,10.988
487,0,30.3084
488,0,10.2217
489,0,14.4766
490,0,32.1094
491,0,81.0356
492,0,12.0764
493,0,37.5827
494,0,5.69186
495,0,3.97138
496,0,22.671
497,0,40.841
498,0,9.00407
499,0,16.0617
500,0,6.65803
501,0,32.7533
502,0,38.1042
503,0,37.0031
504,0,60.1741
505,0,5.09534
506,0,25.6956
507,0,2.92758
508,0,23.8359
509,0,33.4026
510,0,12.6647
511,0,43.5858
512,0,25.7085
513,0,42.4087
514,0,103.423
515,0,40.1349
516,0,35.5463
517,0,88.6091
518,0,8.8852
519,0,0.950019
520,0,4.27926
521,0,0.191936
522,0,51.9694
523,0,12.3024
524,0,47.2302
525,0,2.27704
526,0,8.5367
527,0,24.9519
528,0,64.6157
529,0,4.29952
530,0,31.7387
531,0,2.90132
532,0,36.1174
533,0,45.8303
534,0,22.9755
535,0,33.2456
536,0,39.9186
537,0,11.7723
538,0,20.5848
539,0,50.1642
540,0,9.48992
541,0,67.9832
542,0,33.9584
543,0,10.5901
544,0,25.1007
545,0,12.4711
546,0,6.93567
547,0,42.0204
548,0,26.977
549,0,52.2002
550,0,23.6011
551,0,15.5508
552,0,28.4252
553,0,32.9249
554,0,5.61072
555,0,1.75263
556,0,17.0044
557,0,11.2419
558,0,24.8408
559,0,34.2411
560,0,8.95946
561,0,22.4405
562,0,13.2575
563,0,7.59417
564,0,24.5791
565,0,42.8745
566,0,33.3028
567,0,1.11384
568,0,17.921
569,0,24.997
570,0,24.1972
571,0,32.2277
572,0,1.69465
573,0,4.46585
574,0,9.45282
575,0,20.4848
576,0,13.1428
577,0,18.6023
578,0,15.1843
579,0,23.802
580,0,6.07727
581,0,48.2498
582,0,22.0501
583,0,13.1886
584,0,12.7598
585,0,5.86338
586,0,43.5566
587,0,24.7186
588,0,12.2689
589,0,37.4651
590,0,8.83261
591,0,17.7051
592,0,10.769
593,0,16.8982
594,0,11.0901
595,0,36.4379
596,0,5.12648
597,0,24.3554
598,0,13.35
599,0,118.031
600,0,3.67841
601,0,41.1845
602,0,15.7989
603,0,32.5379
604,0,34.9788
605,0,0.55447
606,0,3.83315
607,0,5.50922
608,0,1.13988
609,0,2.25305
610,0,2.05649
611,0,3.5568
612,0,18.4006
613,0,16.4419
614,0,9.45112
615,0,74.1712
616,0,6.45617
617,0,6.28329
618,0,42.747
619,0,23.8247
620,0,34.6256
621,0,9.26918
622,0,24.1857
623,0,0.476304
624,0,6.94915
625,0,50.1352
626,0,17.0752
627,0,4.51385
628,0,38.553
629,0,41.9366
630,0,4.32693
631,0,26.3046
632,0,1.03197
633,0,17.6648
634,0,78.8796
635,0,17.9127
636,0,13.2716
637,0,32.9962
638,0,8.74753
639,0,86.869
640,0,27.0564
641,0,7.32142
642,0,93.7269
643,0,83.7232
644,0,39.5422
645,0,72.4489
646,0,53.0891
647,0,16.2597
648,0,60.5257
649,0,26.4835
650,1,25.1086
651,0,55.8167
652,0,5.69929
653,0,17.7396
654,0,62.3396
655,0,8.64376
656,0,47.6916
657,0,49.4934
658,0,16.4462
659,0,15.4061
660,0,3.40943
661,0,9.84326
662,0,6.19731
663,0,3.57723
664,0,36.55
665,0,11.7178
666,0,23.4733
667,0,105.892
668,0,39.4101
669,0,39.566
670,0,37.6491
671,0,17.8483
672,0,5.06504
673,0,4.89576
674,0,76.3952
675,0,4.83237
676,0,138.106
677,0,26.333
678,0,47.0802
679,0,4.44174
680,0,13.0383
681,0,57.8525
682,0,41.7717
683,0,20.4589
684,0,0.35562
685,0,78.9945
686,0,24.144
687,0,15.9354
688,0,44.2993
689,0,19.8396
690,0,5.41605
691,0,14.0915
692,0,11.7426
693,0,10.1051
694,0,20.4529
695,0,55.924
696,0,80.6767
697,0,0.232187
