Event,Energy_K,Transmission
,,
1,0.016316,0
2,0.0633558,1
3,0.0884272,0
4,0.0374615,0
5,0.0929207,0
6,0.052406,0
7,0.0026213,0
8,0.0789796,1
9,0.0227052,1
10,0.0457981,0
11,0.0335403,1
12,0.0677178,0
13,0.0895179,0
14,0.0595088,1
15,0.0303582,1
16,0.0545223,0
17,0.0986844,1
18,0.0991737,0
19,0.00700478,1
20,0.0321517,1
21,0.0352819,1
22,0.082071,0
23,0.0802456,1
24,0.0925482,1
25,0.096456,1
26,0.00581506,1
27,0.033324,0
28,0.0605278,1
29,0.0944246,1
30,0.0114184,0
31,0.0571274,0
32,0.0334329,1
33,0.0962582,0
34,0.0781401,1
35,0.00284148,0
36,0.0740213,1
37,0.0289217,0
38,0.0607572,0
39,0.0999873,0
40,0.0196743,1
41,0.00543773,0
42,0.0737697,1
43,0.0433905,0
44,0.0126486,0
45,0.0822998,1
46,0.0818981,0
47,0.0993366,0
48,0.0542156,0
49,0.0751102,0
50,0.0057978,1
51,0.0808244,0
52,0.0131213,1
53,0.0421253,0
54,0.0925867,1
55,0.0358021,0
56,0.0803138,0
57,0.00629853,1
58,0.0921624,1
59,0.052943,1
60,0.01499,1
61,0.0571747,0
62,0.0222301,0
63,0.0727919,0
64,0.0300576,1
65,0.0395921,1
66,0.0948736,1
67,0.0623838,1
68,0.0723968,0
69,0.0881791,1
70,0.0910302,0
71,0.034806,1
72,0.0289894,1
73,0.0661015,1
74,0.062356,0
75,0.0988663,1
76,0.0549776,1
77,0.0503263,0
78,0.0812133,1
79,0.037345,1
80,0.0481038,0
81,0.0446886,1
82,0.0760175,1
83,0.0289353,1
84,0.0307408,1
85,0.00573628,1
86,0.0833241,0
87,0.098044,1
88,0.0212414,1
89,0.0983672,0
90,0.0312362,1
91,0.0492526,1
92,0.0957088,1
93,0.050756,0
94,0.0389225,0
95,0.0689555,1
96,0.0582488,1
97,0.0418905,0
98,0.0752718,0
99,0.0150162,1
100,0.00980314,0
101,0.0440555,0
102,0.0379985,1
103,0.032787,0
104,0.0570468,0
105,0.0219006,1
106,0.0982194,0
107,0.0277612,0
108,0.0543096,0
109,0.0835587,1
110,0.0636077,0
111,0.0896712,0
112,0.071548,0
113,0.00949172,1
114,0.0594898,1
115,0.0978005,1
116,0.071573,1
117,0.0785438,0
118,0.0900087,0
119,0.0199318,1
120,0.0614483,1
121,0.0241324,1
122,0.083645,1
123,0.0677901,0
124,0.0769232,1
125,0.0415843,1
126,0.0380853,0
127,0.0640746,0
128,0.0222193,1
129,0.071835,0
130,0.0360048,1
131,0.053187,1
132,0.00179903,0
133,0.0112964,1
134,0.054808,1
135,0.0830569,1
136,0.0388927,1
137,0.0643914,0
138,0.0399057,0
139,0.0744649,1
140,0.0571257,0
141,0.0258611,1
142,0.0387748,0
143,0.0960609,0
144,0.0889076,0
145,0.0241891,0
146,0.0492661,1
147,0.0611057,1
148,0.0645785,0
149,0.0296888,0
