Event,HasHit,Pos
1,0,73.0885
2,0,7.35569
3,0,15.3551
4,0,32.4554
5,0,6.50827
6,0,26.6586
7,0,44.5527
8,0,2.18581
9,0,23.2376
10,0,22.137
11,0,7.41238
12,0,50.5593
13,0,24.7754
14,0,51.8012
15,0,9.56344
16,0,18.1114
17,0,29.1162
18,0,50.1212
19,0,39.9036
20,0,37.3049
21,0,23.4129
22,0,22.0209
23,0,56.2844
24,0,34.8544
25,0,76.1939
26,0,26.3744
27,0,12.0023
28,0,34.6376
29,0,18.7233
30,0,29.2479
31,0,40.7283
32,0,14.7727
33,0,22.276
34,0,47.4886
35,0,70.1756
36,0,13.0721
37,0,27.5853
38,0,75.8331
39,0,8.00786
40,0,6.23753
41,0,39.1446
42,0,13.7994
43,0,9.55251
44,0,37.4688
45,0,21.1158
46,0,48.4752
47,0,0.215646
48,0,36.8081
49,0,13.081
50,0,85.4982
51,0,32.0123
52,0,21.9379
53,0,55.3147
54,0,4.28716
55,0,20.2539
56,0,42.1163
57,0,69.7265
58,0,12.2007
59,0,15.1466
60,0,10.6063
61,0,50.8875
62,0,18.4064
63,0,8.12228
64,0,30.0655
65,0,12.8572
66,0,0.635144
67,0,1.87946
68,0,0.569126
69,0,29.7562
70,0,63.3481
71,0,14.7045
72,0,25.8951
73,0,27.3688
74,0,7.66557
75,0,31.4764
76,0,0.847425
77,0,17.6138
78,0,4.08499
79,0,122.601
80,0,28.5989
81,0,16.3704
82,0,11.0364
83,0,81.3995
84,0,3.99409
85,0,8.43053
86,0,37.3247
87,0,34.4881
88,0,1.16277
89,0,33.4208
90,0,28.9892
91,0,13.7584
92,0,27.7945
93,0,17.8241
94,0,2.06776
95,0,23.0399
96,0,1.63062
97,0,49.8158
98,0,12.4248
99,0,7.61954
100,0,45.125
101,0,20.7139
102,0,19.2679
103,0,12.3646
104,0,21.6382
105,0,5.33314
106,0,4.44807
107,0,4.72134
108,0,7.76243
109,0,94.6383
110,0,3.70525
111,0,10.3976
112,0,28.2554
113,0,10.4069
114,0,70.6743
115,0,42.2612
116,0,19.9094
117,0,37.4957
118,0,17.2478
119,0,0.268574
120,0,11.0413
121,0,0.131665
122,0,9.51759
123,0,27.7463
124,0,39.0841
125,0,15.6263
126,0,19.561
127,0,1.35561
128,0,12.7209
129,0,26.7812
