Event,HasHit,Pos
1,0,0.153593
2,0,25.9717
3,1,61.3564
4,0,8.10478
5,0,9.75559
6,0,41.777
7,0,10.9864
8,1,29.839
9,0,29.3895
10,0,23.582
11,0,16.9166
12,0,6.35453
13,0,19.0298
14,0,69.8709
15,0,86.1611
16,0,3.37819
17,0,101.216
18,0,40.2396
19,0,67.2931
20,0,4.51238
21,1,0.874999
22,0,51.7558
23,0,25.9618
24,0,5.43942
25,0,38.2636
26,0,13.9648
27,0,140.877
28,0,91.7302
29,0,68.8905
30,0,1.51467
31,0,1.90793
32,0,95.229
33,0,104.176
34,0,34.4255
35,0,76.3312
36,0,90.1792
37,0,37.8201
38,0,17.5113
39,0,9.10725
40,0,4.16535
41,0,41.6526
42,0,9.67011
43,0,39.5474
44,0,29.4751
45,0,34.928
46,0,1.70346
47,0,1.55413
48,0,13.7023
49,0,7.49552
50,0,45.6289
51,1,14.3915
52,0,15.904
53,0,14.7041
54,0,3.48592
55,0,5.80203
56,0,10.947
57,0,62.5658
58,0,3.1859
59,0,1.89068
60,0,20.5136
61,0,134.294
62,0,32.8484
63,0,15.3798
64,0,34.3279
65,1,7.71737
66,0,16.0456
67,0,28.5724
68,0,100.435
69,0,71.8836
70,0,5.00248
71,0,66.5713
72,0,40.1476
73,0,2.30174
74,0,40.825
75,0,24.3227
76,0,40.8949
77,0,19.2627
78,0,30.0258
79,0,6.26542
80,0,95.2589
81,0,38.7642
82,0,14.4946
83,0,30.5405
84,0,13.1204
85,0,37.2977
86,0,31.3692
87,0,67.6066
88,0,27.8923
89,0,33.6869
90,0,10.6156
91,0,23.946
92,0,26.9518
93,0,18.7246
94,0,81.1523
95,0,48.2085
96,0,5.71536
97,0,12.3365
98,0,8.04234
99,0,77.5033
100,0,48.0422
101,0,20.8363
102,0,45.0178
103,0,8.03261
104,0,7.52121
105,0,0.752525
106,0,2.82156
107,0,1.57049
108,0,28.6897
109,0,6.16996
110,0,6.62615
111,0,5.44121
112,0,22.1875
113,0,41.6878
114,0,25.2844
115,0,59.9912
116,0,66.1682
117,0,45.157
118,0,32.1078
119,0,74.1631
120,0,38.6968
121,0,18.5211
122,0,2.56693
123,0,22.4411
124,0,36.229
125,0,103.498
126,1,30.0116
127,0,46.8828
128,0,15.0945
129,0,28.654
130,0,20.8721
131,0,12.648
132,0,40.2201
133,0,26.5104
134,0,1.72621
135,0,6.72895
136,0,39.7488
137,0,14.8025
138,0,10.0109
139,0,51.3731
140,0,11.8695
141,0,1.38548
142,0,27.4702
143,0,1.84056
144,0,71.8097
145,0,48.5159
146,0,26.8721
147,1,18.3346
148,0,8.70598
149,0,36.1718
150,0,74.4162
151,0,30.2245
152,0,17.8975
153,1,8.05108
154,0,1.1244
155,0,107.134
156,0,67.8157
157,0,22.3568
158,0,55.1139
159,0,14.1058
160,0,13.9262
161,0,150.371
162,0,1.92653
163,0,6.56192
164,0,40.3088
165,0,183.085
166,0,35.2766
167,0,20.8673
168,0,40.601
169,0,33.2443
170,0,10.526
171,0,28.5303
172,0,94.59
173,0,12.5096
174,0,14.9963
175,0,65.6132
176,0,19.1548
177,0,42.151
178,0,13.5299
179,0,28.192
180,0,44.6675
181,0,24.2621
182,0,42.9801
183,0,17.9854
184,0,11.9211
185,0,19.4534
186,0,46.0861
187,0,119.355
188,0,2.26919
189,0,22.0056
190,0,26.8229
191,1,7.25525
192,0,19.4597
193,0,34.9872
194,0,44.39
195,0,110.558
196,0,12.6255
197,0,39.4921
198,0,81.574
199,0,34.024
200,0,1.96749
201,0,80.5861
202,0,39.2237
203,1,2.74548
204,1,5.54137
205,0,5.33016
206,0,26.6208
207,0,5.18196
208,0,21.064
209,0,1.93743
210,0,0.796275
211,0,58.1315
212,0,13.1854
213,0,13.5007
214,0,12.9844
215,0,51.6536
216,0,6.26755
217,0,2.28457
218,0,20.7894
219,0,67.3452
220,0,53.3024
221,0,51.0749
222,0,12.2018
223,0,45.2705
224,0,13.9494
225,0,29.1326
226,0,25.7817
227,0,12.8094
228,0,22.3546
229,0,104.204
230,0,15.1661
231,0,2.19323
232,1,34.3578
233,1,10.8887
234,0,27.0324
235,0,5.05081
236,0,20.6108
237,0,14.8385
238,0,52.9921
239,0,47.1321
240,0,19.4648
241,0,94.8039
242,0,13.213
243,0,51.2247
244,0,30.6473
245,0,110.174
246,0,6.34442
247,0,28.6568
248,1,42.4412
249,0,52.2152
250,0,35.4463
251,0,64.9127
252,0,60.8444
253,0,47.6587
254,0,94.6931
255,0,95.2469
256,0,15.5671
257,0,30.4706
258,0,36.5775
259,0,89.7852
260,0,14.3198
261,0,21.5873
262,0,11.6415
263,0,107.599
264,0,18.5596
265,0,48.0903
266,1,2.02691
267,0,20.091
268,0,35.1608
269,0,19.5764
270,0,5.78856
271,0,34.7585
272,0,39.5968
273,0,14.9452
274,0,46.5911
275,0,11.3343
276,0,13.5019
277,0,0.881085
278,0,80.5789
279,0,23.1591
280,0,9.76311
281,0,1.64306
282,1,114.892
283,0,1.44581
284,0,13.8029
285,0,43.7383
286,0,53.6965
287,0,19.1556
288,0,37.8667
289,0,50.0407
290,0,2.48733
291,0,24.018
292,0,77.9686
293,0,48.7892
294,0,45.6796
295,1,53.6164
296,0,42.8351
297,0,57.4893
298,0,42.9063
299,0,3.4905
300,0,17.8539
301,1,9.66631
302,0,37.8664
303,0,7.77702
304,0,5.11922
305,0,117.558
306,0,64.085
307,0,75.4056
308,0,103.938
309,0,61.0826
310,0,35.5181
311,0,21.5217
312,0,71.7495
313,0,13.3284
314,0,24.9659
315,0,17.9645
316,0,15.3498
317,0,32.3943
318,0,3.17179
319,1,14.1391
320,0,6.55046
321,0,9.68627
322,0,31.1522
323,0,45.0705
324,0,18.3018
325,0,9.07144
326,0,22.3121
327,0,17.0605
328,0,18.6742
329,0,5.95312
330,0,48.3167
331,0,33.782
332,0,30.3862
333,0,24.5114
334,0,0.62378
335,0,12.5337
336,0,76.3617
337,0,5.09252
338,0,62.063
339,0,70.8859
340,0,175.16
341,0,11.0534
342,0,24.8488
343,0,6.71531
344,0,22.9262
345,0,33.9031
346,0,32.3493
347,0,32.3873
348,0,7.78311
349,0,35.6636
350,0,33.2905
351,1,7.13039
352,0,4.67237
353,0,37.8327
354,1,2.83511
355,0,122.198
356,1,49.2229
357,0,31.4178
358,0,96.6732
359,1,118.214
360,0,3.77061
361,0,20.0048
362,0,53.4207
363,0,25.3158
364,1,50.2518
365,0,49.699
366,0,12.3692
367,0,56.5032
368,0,11.5504
369,0,38.1612
370,0,28.4273
371,0,48.6317
372,0,51.4199
373,0,0.497824
374,0,89.8897
375,0,18.9811
376,0,0.564688
377,0,26.9069
378,0,58.2267
379,0,22.8924
380,0,12.1444
381,1,24.9496
382,0,11.8137
383,0,26.8177
384,0,44.955
385,0,97.8078
386,0,81.7933
387,0,26.0961
388,0,23.9909
389,0,64.2077
390,0,84.0448
391,0,53.9217
392,0,24.5193
393,0,23.2878
394,0,59.6017
395,0,17.2304
396,1,1.04809
397,0,7.28542
398,0,11.8864
399,0,9.75424
400,0,16.6983
401,0,0.694416
402,0,15.7097
403,1,8.02936
404,0,4.0613
405,0,17.6542
406,1,35.6253
407,0,7.95309
408,0,0.175722
409,0,6.31034
410,0,84.5123
411,0,0.804772
412,0,19.0368
413,0,2.7862
414,0,3.74278
415,0,32.7497
416,0,63.357
417,0,23.0444
418,0,59.6341
419,0,1.33882
420,0,6.54541
421,0,19.976
422,0,87.9979
423,0,1.0837
424,0,42.6236
425,1,11.7039
426,1,40.0489
427,0,59.8271
428,0,4.00996
429,0,39.7274
430,1,0.603291
431,0,19.6322
432,0,7.33337
433,0,54.502
434,0,4.03003
435,0,4.76193
436,0,25.3485
437,0,2.72731
438,0,19.1667
439,0,4.56604
440,0,51.0118
441,0,9.83436
442,0,8.3811
443,0,25.6092
444,0,56.1856
445,0,22.7451
446,0,53.9623
447,0,82.2071
448,0,2.01691
449,0,0.979531
450,0,12.7094
451,0,2.83101
452,0,57.6533
453,0,22.0749
454,0,37.1099
455,0,94.1638
456,0,28.3303
457,0,32.3396
458,0,29.932
459,0,129.393
460,0,124.653
461,0,27.1159
462,0,30.0624
463,0,35.323
464,0,45.2028
465,0,44.2545
466,0,11.475
467,0,2.77787
468,0,0.012722
469,0,1.7485
470,0,58.8344
471,0,67.3318
472,0,3.10818
473,0,43.7861
474,1,60.3549
475,1,22.7356
476,0,97.1853
477,0,49.2278
478,0,43.1492
479,0,16.2153
480,0,9.06841
481,0,5.56399
482,0,51.1209
483,0,3.08143
484,0,47.9152
485,0,5.31715
486,0,25.9728
