Event,HasHit,Pos
1,0,1.82145
2,1,174.81
3,1,290.652
4,1,27.8261
5,0,74.5142
6,1,106.783
7,1,62.7246
8,0,221.973
9,0,19.8651
10,1,128.602
11,0,13.8771
12,1,206.497
13,0,261.436
14,1,87.1895
15,0,127.489
16,1,77.8669
17,1,178.85
18,0,261.315
19,1,29.6045
20,1,90.2789
21,1,6.06863
22,1,25.7776
23,1,66.3664
24,0,48.2059
25,1,11.1758
26,0,136.813
27,0,205.978
28,0,26.7344
29,0,162.495
30,1,123.934
31,1,94.6239
32,1,269.38
33,1,106.133
34,1,83.0421
35,1,14.2221
36,1,79.5312
37,1,282.341
38,1,228.864
39,0,167.474
40,1,38.578
41,1,712.476
42,1,7.80139
43,0,33.9128
44,1,9.63192
45,1,150.637
46,0,31.9206
47,0,70.0025
48,1,4.68601
49,1,103.896
50,1,20.8402
51,1,10.8389
52,1,120.283
53,1,34.0777
54,1,81.2261
55,1,64.7596
56,1,227.527
57,1,49.9899
58,1,91.3478
59,0,8.43412
60,1,18.1889
61,1,231.531
62,1,35.395
63,1,113.678
64,1,78.9842
65,0,336.498
66,1,102.644
67,1,26.5285
68,0,20.0149
69,1,21.9178
70,1,76.6732
71,1,61.047
72,1,13.744
73,1,35.7184
74,1,20.7442
75,1,88.1266
76,1,126.52
77,0,51.2024
78,1,194.863
79,1,186.444
80,1,66.3131
81,1,147.008
82,1,63.079
83,0,38.6747
84,1,266.078
85,1,46.47
86,1,67.3475
87,1,308.822
88,1,110.039
89,0,26.5255
90,1,37.7166
91,0,0.487833
92,1,23.0203
93,1,182.683
94,0,121.221
95,0,47.3376
96,1,8.99502
97,0,108.543
98,1,178.522
99,1,38.6605
100,1,0.820793
101,1,15.8971
102,0,362.681
103,1,87.259
104,0,1.82965
105,1,66.6856
106,1,72.9389
107,0,42.4934
108,0,177.041
109,1,33.4621
110,1,158.782
111,1,248.854
112,0,35.907
113,1,124.205
114,1,39.7918
115,1,71.8405
116,1,176.604
117,1,143.416
118,1,105.292
119,1,7.57173
120,1,253.543
121,1,263.436
122,1,152.377
123,0,253.265
124,1,54.3077
125,1,99.3397
126,1,117.282
127,1,238.499
128,0,251.982
129,1,97.9634
130,1,4.6525
131,1,153.037
132,1,265.487
133,1,161.391
134,1,10.36
135,0,174.789
136,1,13.5516
137,0,28.4043
138,1,360.497
139,1,51.8401
140,0,131.808
141,1,39.4546
142,1,76.0173
143,1,98.374
144,1,403.674
145,1,80.4859
146,1,24.0515
147,1,59.7162
148,0,188.659
149,1,9.47196
150,0,78.1006
151,1,15.2583
152,0,198.503
153,1,5.04972
154,1,93.0177
155,1,277.961
156,0,22.76
157,0,79.4317
158,1,63.1656
159,0,66.8481
160,1,79.8228
161,1,0.28453
162,1,421.093
163,0,222.425
164,1,244.602
165,1,59.3931
166,1,45.4434
167,1,380.068
168,1,84.1673
169,1,75.1345
170,1,76.3203
171,1,124.993
172,0,10.1747
173,1,248.2
174,1,85.8221
175,1,13.102
176,1,208.592
177,0,170.144
178,1,1.8994
179,0,21.0492
180,1,51.251
181,1,144.887
182,0,34.2025
183,1,5.19376
184,1,135.952
185,1,81.8545
186,1,26.7996
187,0,143.179
188,1,41.164
189,0,133.702
190,1,164.919
191,1,14.8512
192,1,73.2026
193,1,282.483
194,1,80.6825
195,0,274.278
196,1,2.01744
197,0,187.716
198,0,21.8503
199,1,0.544779
200,1,42.1225
201,1,198.849
202,1,2.97013
203,0,121.025
204,1,234.327
205,1,809.499
206,1,180.33
207,1,40.9799
208,1,409.858
209,1,18.685
210,1,56.2455
211,1,185.299
212,1,73.1208
213,0,101.465
214,1,102.484
215,0,50.9372
216,1,145.004
217,1,16.8773
218,1,90.2233
219,0,253.563
220,0,265.2
221,0,268.35
222,1,134.978
223,1,375.473
224,0,83.3421
225,0,48.05
226,1,54.4706
227,1,255.248
228,1,475.482
229,1,78.3494
230,1,321.494
231,1,22.5477
232,0,39.04
233,1,44.9057
234,0,6.19217
235,1,149.942
236,0,297.209
237,1,318.453
238,0,98.4268
239,1,263.671
240,1,267.407
241,0,244.103
242,1,77.7945
243,1,385.993
244,1,143.132
245,1,107.824
246,0,90.5759
247,1,115.594
248,1,82.3084
249,0,25.3708
250,0,109.317
251,0,166.227
252,1,162.488
253,1,24.559
254,0,78.264
255,1,50.5208
256,1,58.6405
257,1,141.297
258,1,56.8722
259,1,31.1052
260,0,101.195
261,0,73.6219
262,1,101.673
263,0,362.774
264,1,78.1415
265,1,34.9865
266,0,74.8586
267,1,259.877
268,0,20.7733
269,1,19.434
270,1,6.70682
271,1,42.0846
272,1,172.175
273,1,0.193404
274,1,45.881
275,1,169.672
276,1,320.96
277,1,229.741
278,1,33.3263
279,1,78.533
280,1,426.137
281,1,204.258
282,1,21.1677
283,0,370.491
284,0,111.068
285,1,190.608
286,1,119.083
287,0,180.485
288,1,143.546
289,1,178.986
290,1,10.8087
291,1,32.5551
292,1,108.348
293,1,29.5422
294,0,31.5992
295,1,54.3917
296,0,194.225
297,0,9.29148
298,1,383.62
299,0,19.3695
300,0,57.6266
301,0,36.5963
