Event,HasHit,Pos
1,0,0.616577
2,1,31.1933
3,1,208.899
4,1,6.61698
5,1,26.0247
6,1,66.1233
7,1,31.3896
8,1,60.1371
9,1,124.524
10,1,91.5493
11,1,7.83646
12,0,18.5987
13,0,13.966
14,1,19.2815
15,0,36.0946
16,1,9.82747
17,1,4.17477
18,1,123.164
19,0,32.2902
20,1,63.3563
21,1,40.7553
22,1,28.8844
23,1,6.61633
24,1,42.1512
25,1,65.2983
26,1,55.2836
27,1,19.7242
28,0,39.4617
29,1,40.9853
30,1,8.81965
31,0,77.9527
32,0,50.5836
33,1,43.0202
34,1,7.53804
35,0,53.9989
36,1,7.24847
37,1,44.8367
38,1,4.99815
39,0,28.165
40,1,29.7067
41,0,3.85747
42,0,5.47514
43,1,6.40054
44,1,2.78703
45,1,27.0956
46,1,38.1093
47,1,23.8183
48,1,17.3933
49,1,18.0483
50,1,78.7856
51,0,77.3763
52,1,6.49279
53,0,68.1753
54,0,39.4408
55,1,20.4889
56,1,30.8945
57,1,71.8942
58,1,134.57
59,0,45.1352
60,1,35.3924
61,1,130.809
62,1,115.922
63,1,11.1939
64,1,36.0093
65,1,38.9218
66,0,76.3761
67,1,13.2542
68,1,103.384
69,1,5.43133
70,1,58.2198
71,1,23.863
72,1,92.5222
73,1,136.886
74,1,33.127
75,1,4.22547
76,1,18.5891
77,0,23.7028
78,1,170.131
79,1,64.2583
80,1,151.147
81,1,31.4597
82,0,30.8403
83,1,81.6729
84,1,19.9343
85,0,95.8333
86,1,60.1003
87,1,5.18568
88,1,24.4401
89,0,6.13021
90,1,32.0273
91,1,53.9982
92,1,13.4845
93,1,18.3186
94,0,35.7799
95,1,1.23111
96,1,70.7168
97,1,19.3327
98,1,48.066
99,1,11.5565
100,0,31.779
101,1,67.7788
102,0,8.44798
103,1,4.29955
104,1,21.2212
105,1,38.5402
106,1,38.3977
107,0,22.5732
108,1,257.742
109,1,10.1107
110,1,47.7186
111,0,133.327
112,1,22.0786
113,1,14.5806
114,1,33.9206
115,1,45.7251
116,1,7.27404
117,1,123.295
118,1,9.55759
119,1,57.4582
120,0,10.8682
121,1,14.9326
122,1,42.3205
123,1,92.5463
124,1,14.2884
125,1,33.8264
126,0,31.2357
127,1,77.4118
128,0,1.08658
129,1,7.41851
130,0,12.4285
131,1,44.8398
132,1,29.868
133,1,14.9034
