Event,HasHit,Pos
1,0,5.428
2,0,13.5408
3,0,2.44484
4,0,15.7089
5,0,30.654
6,0,22.8815
7,0,27.6076
8,0,63.052
9,0,9.77896
10,0,3.3572
11,0,16.5122
12,0,3.75949
13,0,64.979
14,0,42.8779
15,0,17.0985
16,0,9.77129
17,0,3.49922
18,0,10.8903
19,0,41.6747
20,0,41.7188
21,0,42.428
22,0,36.0053
23,1,27.9041
24,0,31.7266
25,0,17.3783
26,0,33.5268
27,0,10.0483
28,0,77.5369
29,0,37.1912
30,0,18.2988
31,0,29.4221
32,0,5.25568
33,0,18.4827
34,0,8.46
35,0,7.30398
36,0,63.9014
37,0,23.4638
38,0,32.2193
39,0,3.61805
40,0,2.33015
41,0,0.860896
42,0,4.53016
43,0,3.80691
44,0,51.7411
45,0,7.86054
46,0,59.5639
47,0,18.1524
48,0,17.5147
49,0,82.3848
50,0,2.27242
51,0,34.7001
52,0,73.0712
53,0,14.8836
54,0,5.88146
55,0,24.8318
56,0,26.9536
57,0,55.0591
58,0,19.9233
59,0,42.5676
60,0,10.1487
61,0,5.48382
62,0,79.8839
63,0,1.82353
64,0,29.5126
65,0,25.4648
66,0,44.7724
67,0,0.740346
68,0,19.3209
69,0,63.0112
70,0,29.982
71,0,15.4613
72,0,1.10249
73,0,46.7526
74,0,28.6896
75,0,67.9695
76,0,22.7415
77,0,0.572915
78,0,98.4761
79,0,83.0114
80,0,0.639468
81,0,39.5337
82,0,35.2471
83,0,10.0171
84,0,25.5996
85,0,76.0719
86,0,12.7298
87,0,26.4523
88,0,9.13253
89,0,2.67185
90,0,5.8082
91,0,9.89597
92,0,89.8655
93,0,37.7303
94,0,31.0447
95,0,2.8847
96,0,0.775847
97,0,33.308
98,0,172.262
99,0,35.0012
100,0,0.200839
101,0,73.9682
102,0,20.4681
103,0,64.0161
104,0,0.432299
105,0,44.9746
106,0,5.13415
107,0,3.30669
108,0,17.1032
109,0,31.3306
110,0,6.41928
111,0,8.1715
112,0,20.0502
113,0,19.4454
114,0,74.1667
115,0,6.34187
116,0,2.09532
117,0,23.4701
118,0,33.368
119,0,26.3519
120,0,35.5584
121,0,24.8642
122,0,1.3376
123,0,71.1539
124,0,8.97616
125,0,23.0322
126,0,5.66591
127,0,21.7665
128,0,8.25145
129,0,102.192
130,0,7.92208
131,0,104.162
132,0,5.34477
133,0,141.18
134,0,16.6655
135,0,22.3861
136,0,4.40504
137,0,15.8328
138,0,5.64011
139,0,34.5244
140,0,19.3984
141,0,16.6639
142,0,6.93804
143,0,70.2043
144,0,5.16453
145,0,49.9771
146,0,2.0497
147,0,13.2082
148,0,24.1051
149,0,119.583
150,0,37.6922
151,0,17.8583
152,0,31.228
153,0,0.453602
154,0,78.6765
155,0,8.8946
156,0,31.1756
157,0,9.80938
158,0,35.3931
159,0,143.193
160,0,47.1161
161,0,19.7233
162,0,7.8577
163,0,15.5465
164,0,82.0392
165,0,108.083
166,0,43.3441
167,0,32.3562
168,0,75.6094
169,0,11.6458
170,0,30.6815
171,0,19.1945
172,0,4.44578
173,0,22.5719
174,0,22.1675
175,0,53.9397
176,0,15.2358
177,0,1.98821
178,0,46.6896
179,0,99.4954
180,0,32.8954
181,0,50.2968
182,0,59.5992
183,0,6.09152
184,0,28.9276
185,0,10.397
186,0,8.11669
