Event,HasHit,Pos
1,0,5.75385
2,0,8.06878
3,0,10.8084
4,0,7.84861
5,0,39.6005
6,0,30.5367
7,0,10.2735
8,0,14.2436
9,0,16.653
10,0,14.7897
11,0,54.7585
12,0,25.2006
13,0,0.373509
14,0,23.2659
15,0,115.608
16,0,60.721
17,0,19.1958
18,0,18.5246
19,0,5.36312
20,0,31.3889
21,0,3.3707
22,0,27.6137
23,0,5.38141
24,0,24.5598
25,0,21.4158
26,0,2.92701
27,0,42.66
28,0,16.6242
29,0,13.2991
30,0,22.4927
31,0,0.182332
32,0,3.21437
33,0,19.0632
34,0,88.1117
35,0,3.34624
36,0,4.46625
37,0,82.8051
38,0,34.6182
39,0,50.8607
40,0,11.0778
41,0,1.74844
42,0,38.2972
43,0,32.4869
44,0,47.4788
45,0,84.978
46,0,57.5367
47,0,107.373
48,0,5.13663
49,0,15.9287
50,0,36.6274
51,0,9.46991
52,0,46.1368
53,0,8.13005
54,0,34.3563
55,0,55.2941
56,0,8.85128
57,0,8.63126
58,0,14.4955
59,0,30.6963
60,0,24.0486
61,0,25.1984
62,0,44.0431
63,0,19.1679
64,0,2.3376
65,0,8.6616
66,0,5.61903
67,0,133.594
68,0,27.1545
69,0,5.04087
70,0,3.97054
71,0,6.96334
72,0,25.7958
73,0,16.1298
74,0,12.9086
75,0,153.09
76,0,32.5513
77,0,12.5643
78,0,13.1403
79,0,0.78605
80,0,3.41481
81,0,0.278136
82,0,25.8181
83,0,55.2874
84,0,98.2399
85,0,70.9945
86,0,47.9337
87,0,22.8742
88,0,46.206
89,0,17.2935
90,0,28.3749
91,0,9.97317
92,0,23.9724
93,0,4.86365
94,0,37.7207
95,0,9.65305
96,0,15.905
97,0,16.5328
98,0,70.1302
99,0,3.94764
100,0,33.9136
101,0,2.26229
102,0,80.9712
103,0,31.2691
104,0,29.5579
105,0,21.9277
106,0,0.0618396
107,0,10.8604
108,0,5.05025
109,0,13.0504
110,0,69.4118
111,0,27.86
112,0,15.0044
113,0,8.64545
114,0,10.7595
115,0,50.9381
116,0,59.5955
117,0,4.48256
118,0,16.1579
119,0,1.45598
120,0,35.764
121,0,78.9864
122,0,6.24496
123,0,12.1149
124,0,15.2708
125,0,3.96287
126,0,12.5193
127,0,25.8843
128,0,12.4851
129,0,8.58512
130,0,56.8302
131,0,65.9985
132,0,47.2057
133,0,18.9379
134,0,2.73243
135,0,29.2929
136,0,5.48729
137,0,37.5347
138,0,29.0091
139,0,16.0106
140,0,73.2269
141,0,10.3732
142,0,34.1678
143,0,24.8733
144,0,4.63301
145,0,35.5997
146,0,18.3234
147,0,25.2164
148,0,0.238486
149,0,11.1295
150,0,21.6631
151,0,47.146
152,0,31.7186
153,0,145.025
154,0,5.63549
155,0,63.7735
156,0,25.8969
157,0,1.23229
158,0,12.522
159,0,127.28
160,0,41.3855
161,0,4.5771
162,0,29.617
163,0,26.7877
164,0,42.1796
165,0,1.5079
166,0,20.2741
167,0,6.36532
168,0,42.1668
169,0,14.7942
170,0,35.4524
171,0,0.346612
172,0,17.0817
173,0,19.7846
174,0,48.8139
175,0,13.4821
176,0,26.2701
177,0,84.4407
178,0,2.83528
179,0,34.0002
180,0,3.7871
181,0,25.5244
182,0,0.837093
183,0,82.667
184,0,89.5548
185,0,7.55535
186,0,7.75638
187,0,5.15644
188,0,98.7271
189,0,21.7175
190,0,25.0438
191,0,11.1305
192,0,21.1123
193,0,92.4758
194,0,59.9946
195,0,48.5436
196,0,15.5946
197,0,13.1967
198,0,31.8199
199,0,30.2376
200,0,115.07
201,0,49.6392
202,0,38.3322
203,0,12.8125
204,0,5.37544
205,0,69.0331
206,0,20.3534
207,0,3.56197
208,0,19.7464
209,0,11.1312
210,0,39.3793
211,0,19.2448
212,0,7.2958
213,0,2.10183
214,0,0.272126
215,0,2.68986
216,0,12.2824
217,0,29.5769
218,0,24.205
219,0,74.9518
220,0,50.0172
221,0,3.15949
222,0,82.2316
223,0,16.6895
224,0,0.984228
225,0,1.85495
226,0,96.1347
227,0,73.7647
228,0,37.8182
229,0,15.1335
230,0,67.5893
231,0,44.3327
232,0,27.8243
233,0,49.6056
234,0,102.501
235,0,60.5881
236,0,39.5945
237,0,32.9613
238,0,71.562
239,0,3.85374
240,0,23.3062
241,0,90.7301
242,0,31.4844
243,0,54.0207
244,0,39.0454
245,0,11.7357
246,0,98.8938
247,0,11.0721
248,0,61.2171
249,0,9.0923
250,0,9.05167
251,0,5.70801
252,0,6.77667
253,0,77.0664
254,0,20.9418
255,0,4.52206
256,0,20.1109
257,0,19.8794
258,0,41.4716
259,0,81.6663
260,0,1.5742
261,0,16.6775
262,0,8.59013
263,0,30.9251
264,0,26.8562
265,0,61.8942
266,0,3.36524
267,0,27.2798
268,0,137.388
269,0,68.5576
270,0,32.2327
271,0,2.82471
272,0,11.4806
273,0,10.0503
274,0,24.4051
275,0,1.52201
276,0,26.3732
277,0,55.4761
278,0,20.6741
279,0,49.7833
280,0,25.3603
281,0,37.6747
282,0,0.310794
283,0,34.0949
284,0,104.899
285,0,42.3798
286,0,38.116
287,0,2.16445
288,0,50.3044
289,0,6.66126
290,0,14.7591
291,0,23.1105
292,0,35.1946
293,0,15.7775
294,0,52.8234
295,0,13.8811
296,0,0.141479
297,0,18.7837
298,0,59.9148
299,0,32.2463
300,0,58.6734
301,0,73.7189
302,0,6.90228
303,0,26.9049
304,0,33.5311
305,0,3.21969
306,0,25.8223
307,0,47.6873
308,0,10.5894
309,0,2.48851
310,0,23.3725
311,0,28.5265
312,0,0.538709
313,0,10.9634
314,0,60.6422
315,0,9.12883
316,0,24.4349
317,0,14.0384
318,0,15.901
319,0,107.888
320,0,165.138
321,0,33.6701
322,0,8.22982
323,0,80.098
324,0,27.5932
325,0,22.7853
326,0,6.46818
327,0,125.467
328,0,55.7014
329,0,60.1944
330,0,92.3185
331,0,5.82265
332,0,7.10586
333,0,116.01
334,0,9.50539
335,0,9.45252
336,0,14.4336
337,0,17.0221
338,0,5.83829
339,0,17.1997
340,0,250.209
341,0,52.8595
342,0,25.582
343,0,37.2272
344,0,29.1024
345,0,21.2859
346,0,30.7132
347,0,15.057
348,0,6.07816
349,0,0.772929
350,0,5.81564
351,0,44.9662
352,0,29.3738
353,0,42.227
354,0,90.1804
355,0,62.2428
356,0,73.8042
357,0,1.9397
358,0,4.6048
359,0,4.63766
360,0,29.1432
361,0,34.0786
362,0,72.4733
363,0,19.6918
364,0,66.3061
365,0,13.9584
366,0,6.19261
367,0,78.5853
368,0,5.22683
369,0,33.1755
370,0,3.4069
371,0,32.9102
372,0,33.4503
373,0,28.851
374,0,37.5613
375,0,24.8259
376,0,29.5105
377,0,6.23552
378,0,4.88177
379,0,43.3126
380,0,41.3277
381,0,8.09237
382,0,33.5441
383,0,4.08751
384,0,2.72542
385,0,74.9116
386,0,58.3788
387,0,76.5963
388,0,7.76677
389,0,58.9176
390,0,25.6011
391,0,35.8232
392,0,4.58921
393,0,14.3949
394,0,86.3682
395,0,52.7787
396,0,1.96715
397,0,89.2034
398,0,22.1569
399,0,34.4583
400,0,78.9434
401,0,3.93036
402,0,60.6801
403,0,117.443
404,0,39.8694
405,0,62.2124
406,0,8.05599
407,0,59.2104
408,0,20.8847
409,0,5.38532
410,0,35.0141
411,0,165.462
412,0,99.7835
413,0,2.79975
414,0,11.0256
415,0,7.29742
416,0,1.93534
417,0,10.0731
418,0,23.4392
419,0,3.40537
420,0,63.1716
421,0,0.386953
422,0,23.3503
423,0,13.5289
424,0,118.143
425,0,7.27467
426,0,62.8984
427,0,33.5281
428,0,4.55124
429,0,52.738
430,0,9.40594
431,0,46.453
432,0,13.82
