Event,HasHit,Pos
1,0,2.69247
2,0,11.065
3,0,5.00238
4,0,16.8557
5,0,30.7322
6,0,29.2426
7,0,2.79942
8,0,48.2682
9,0,50.4789
10,0,51.3792
11,0,34.7265
12,0,5.54186
13,0,37.0709
14,0,21.6439
15,0,21.7544
16,0,18.5272
17,0,0.999692
18,0,10.0993
19,0,15.0698
20,0,13.7758
21,0,11.2782
22,0,7.70374
23,0,21.1427
24,0,0.159035
25,0,2.88896
26,0,33.0926
27,0,1.17861
28,0,2.75709
29,0,0.546977
30,0,4.25066
31,0,23.0443
32,0,3.32803
33,0,32.5742
34,0,8.73752
35,0,4.37769
36,0,30.6764
37,0,60.9829
38,0,21.6955
39,0,11.1339
40,0,5.90315
41,0,2.64739
42,0,61.7361
43,0,5.66902
44,0,3.60979
45,0,2.23165
46,0,32.2817
47,0,4.29626
48,0,28.1762
49,0,1.22
50,0,14.138
51,0,3.2904
52,0,2.59462
53,0,0.865032
54,0,4.07667
55,0,9.63293
56,0,16.7929
57,0,12.8904
58,0,28.2318
59,0,15.6767
60,0,0.508522
61,0,14.3239
62,0,10.6426
63,0,2.33504
64,0,0.951836
65,0,1.5401
66,0,4.60272
67,0,3.71794
68,0,6.01402
69,0,8.99565
70,0,2.85249
71,0,12.3786
72,0,10.488
73,0,2.64014
74,0,14.7846
75,0,1.74066
76,0,1.18402
77,0,6.20967
78,0,5.42236
79,0,5.90292
80,0,8.43236
81,0,2.28894
82,0,7.30343
83,0,4.73545
84,0,48.3965
85,0,16.1605
86,2,0.479436
87,0,23.7957
88,0,15.8147
89,0,5.36343
90,0,9.65577
91,0,27.1226
92,0,27.1868
93,0,7.40784
94,0,16.8678
95,0,0.317963
96,0,1.76934
97,0,0.498779
98,0,0.00973277
99,0,27.4472
100,0,13.5827
101,0,5.26852
102,0,44.365
103,0,6.01914
104,0,46.8251
105,0,3.66739
106,0,26.5803
107,0,14.0834
108,0,6.29617
109,0,28.0564
110,0,7.16133
111,0,7.84528
112,0,5.76708
113,0,15.7802
114,0,34.8472
115,0,18.9633
116,0,0.882204
117,0,47.9934
118,0,8.94685
119,0,16.4607
120,0,16.6393
121,0,0.447225
122,0,28.9542
123,0,21.8719
124,0,4.06166
125,0,9.9472
126,0,9.89865
127,0,25.051
128,0,1.02326
129,0,77.8996
130,0,53.1843
131,0,80.5172
132,0,24.9246
133,0,15.497
134,0,37.0467
135,0,5.65525
136,0,9.75779
137,0,3.55698
138,0,1.9755
139,0,35.6608
140,0,28.8924
141,0,2.93071
142,0,24.4039
143,0,21.2369
144,0,21.5974
145,0,19.2835
146,0,4.37771
147,0,8.28457
148,0,19.1956
149,0,69.8837
150,0,39.7646
151,0,5.93852
152,0,48.8123
153,0,32.4165
154,0,26.9617
155,0,19.3547
156,0,32.8361
157,0,3.05627
158,0,10.7339
159,0,12.7764
160,0,11.7246
161,0,13.4064
162,0,40.197
163,0,0.788106
164,0,12.5255
165,0,13.1
166,0,0.577654
167,0,2.90029
168,0,1.41582
169,0,8.66493
170,0,13.4607
171,2,39.2875
172,0,4.09374
173,0,15.3147
174,0,31.7483
175,0,26.7398
176,0,7.25024
177,0,1.05504
178,0,6.79606
179,0,33.0598
180,0,5.99107
181,0,21.9412
182,0,25.0568
183,0,3.38694
184,0,7.66482
185,0,8.74047
186,0,15.5746
187,0,11.3531
188,0,18.905
189,0,9.52894
190,0,5.4705
191,0,3.18758
192,0,28.4332
193,0,4.90816
194,0,2.51533
195,0,5.70459
196,0,3.11148
197,0,13.2875
198,0,38.6339
199,0,15.8979
200,0,8.11827
201,0,28.6398
202,0,0.599407
203,0,24.7049
204,0,3.99483
205,0,13.7184
206,0,1.81658
207,0,9.39206
208,0,7.13795
209,0,30.2263
210,0,1.84553
211,0,38.4752
212,0,17.1913
213,0,23.2134
214,0,52.8251
215,0,5.69958
216,0,1.23807
217,0,1.44764
218,0,1.30339
219,0,6.59583
220,0,12.715
221,0,2.23871
222,0,26.9951
223,0,1.58755
224,0,33.3376
225,0,14.0847
226,0,37.4861
227,0,3.26412
228,0,56.8926
229,0,17.2338
230,0,3.22067
231,0,5.09347
232,0,11.7914
233,0,0.156249
234,0,3.26696
235,0,0.244076
236,0,0.0630773
237,0,23.8818
238,0,9.26644
239,0,34.3973
240,0,10.5334
241,0,8.51161
242,0,0.524345
243,0,3.77384
244,0,0.78765
245,0,17.5564
246,0,18.9502
247,0,12.445
248,0,6.07012
249,0,0.578513
250,0,14.7277
