Event,HasHit,Pos
1,0,0.12297
2,0,20.7937
3,0,2.90537
4,0,37.4492
5,0,77.5686
6,0,23.53
7,0,95.9713
8,0,7.25584
9,0,96.7361
10,0,19.6436
11,0,0.292876
12,0,14.3524
13,0,2.77597
14,0,18.2371
15,0,6.48169
16,0,52.3846
17,0,12.4487
18,0,1.98836
19,0,22.4066
20,0,0.486661
21,0,1.25698
22,0,29.7883
23,0,2.85949
24,0,60.4122
25,0,72.5503
26,0,6.14281
27,0,4.25507
28,0,56.3918
29,0,53.4203
30,0,11.1179
31,0,5.32092
32,0,6.46027
33,0,22.7317
34,0,42.6528
35,0,28.4878
36,0,2.00209
37,0,75.2764
38,0,5.89481
39,0,53.3226
40,0,11.7736
41,0,90.3444
42,0,44.0657
43,0,9.92747
44,0,3.85911
45,0,9.50647
46,0,96.671
47,0,3.53456
48,0,41.0915
49,0,18.658
50,0,35.3786
51,0,10.5897
52,0,94.5539
53,0,61.8524
54,0,66.809
55,0,9.19969
56,0,22.5962
57,0,47.8395
58,0,57.1896
59,0,48.8043
60,0,22.9803
61,0,7.67839
62,0,32.7367
63,0,23.6797
64,0,21.3638
65,0,22.8094
66,0,33.0403
67,0,20.9152
68,0,63.158
69,0,123.471
70,0,1.57809
71,0,22.4581
72,0,27.1389
73,0,9.27553
74,0,6.5817
75,0,28.378
76,0,13.9841
77,0,13.9549
78,0,15.6651
79,0,9.10664
80,0,18.8654
81,0,55.9515
82,0,21.2546
83,0,11.41
84,0,3.43079
85,0,27.2472
86,0,48.5015
87,0,20.9972
88,0,13.3243
89,0,11.3105
90,0,5.30272
91,0,11.5388
92,0,19.5624
93,0,13.0132
94,0,49.809
95,0,23.935
96,0,67.35
97,0,11.7966
98,0,43.4016
99,0,36.9448
100,0,85.8973
101,0,41.3566
102,0,16.3674
103,0,18.6665
104,0,135.259
105,0,27.997
106,0,33.2358
107,0,127.527
108,0,10.0468
109,0,128.375
110,0,42.3798
111,0,0.659427
112,0,31.7759
113,0,4.31265
114,0,20.1739
115,0,23.1901
116,0,32.6206
117,0,44.1209
118,0,3.58419
119,0,5.46074
120,0,15.095
121,0,76.6293
122,0,90.2419
123,0,0.686558
124,0,13.3789
125,0,84.4075
126,1,3.67252
127,0,53.4537
128,0,122.992
129,0,8.12898
130,0,1.01128
131,0,17.1074
132,0,1.97884
133,0,154.865
134,0,31.8021
135,0,78.3021
136,0,53.6968
137,0,24.4119
138,0,18.7749
139,0,43.8232
140,0,1.91867
141,0,19.4333
142,0,23.172
143,0,19.3898
144,0,63.6821
145,0,27.6831
146,0,35.8336
147,0,20.6094
148,0,3.81505
149,0,39.7837
150,0,14.137
151,0,32.0034
152,0,112.222
153,0,0.359109
154,0,29.1835
155,0,30.6081
156,0,10.5005
157,0,28.4444
158,0,13.9939
159,0,1.5784
160,0,12.2717
161,0,26.6817
162,0,39.5042
163,0,12.3654
164,0,45.8491
165,0,31.4692
166,0,25.5511
167,0,121.856
168,0,41.7472
169,0,33.7454
170,0,47.6104
171,0,13.5232
172,0,45.4447
173,0,3.80338
174,0,36.051
175,0,53.018
176,0,33.0743
177,0,8.43929
178,0,21.7054
179,0,7.29333
180,0,24.5077
181,0,49.5486
182,0,5.77646
183,0,13.209
184,0,6.20621
185,0,50.3571
186,0,20.814
187,0,32.2438
188,0,40.8391
189,0,12.3155
190,0,1.81995
191,0,9.42849
192,0,19.3684
193,0,27.9659
194,0,28.2816
195,0,0.971521
196,0,4.28761
197,0,11.1372
198,0,56.846
199,0,43.2806
200,0,2.51392
201,0,22.4189
202,0,17.4709
203,0,53.3573
204,0,16.5608
205,0,13.5294
206,0,40.5304
207,0,30.1794
208,0,36.0914
209,0,25.0349
210,0,35.5458
211,0,113.538
212,0,28.6513
213,0,28.0558
214,0,57.2317
215,0,12.7508
216,0,16.8146
217,0,15.3139
218,0,15.5658
219,0,13.4567
220,0,6.35717
221,0,33.0334
222,0,1.20045
223,0,8.34442
224,0,19.5995
225,0,128.286
226,0,44.6802
227,0,16.4626
228,0,49.536
229,0,8.86921
230,0,62.1196
231,0,82.4264
232,0,15.4313
233,0,56.3459
234,0,8.69303
235,0,23.0318
236,0,56.9792
237,0,25.4894
238,0,3.89051
239,0,2.4707
240,0,24.6661
241,0,38.8387
242,0,7.11422
243,0,5.42829
244,0,15.8766
245,0,75.0665
