Event,HasHit,Pos
1,0,73.461
2,0,7.3994
3,0,15.4412
4,0,32.6302
5,0,6.54849
6,0,59.8284
7,0,44.7684
8,0,2.19768
9,0,23.363
10,0,22.258
11,0,5.63116
12,0,40.727
13,0,58.3995
14,0,2.50886
15,0,10.8992
16,0,56.9606
17,0,68.2646
18,0,35.5874
19,0,33.1096
20,0,20.2389
21,0,16.4026
22,0,168.736
23,0,6.4915
24,0,7.95602
25,0,21.6841
26,0,15.9308
27,0,45.941
28,0,50.4853
29,0,50.7615
30,0,152.53
31,0,43.7432
32,0,4.02597
33,0,4.19265
34,0,38.1398
35,0,27.8133
36,0,14.4305
37,0,32.1569
38,0,6.01576
39,0,49.18
40,0,42.2768
41,0,8.11473
42,0,20.7812
43,0,45.4867
44,0,53.1046
45,0,51.1396
46,0,25.2374
47,0,14.6547
48,0,11.5407
49,0,6.19427
50,0,16.2436
51,0,5.89784
52,0,87.7042
53,0,101.092
54,0,31.5257
55,0,3.62365
56,0,15.993
57,0,16.4315
58,0,41.4675
59,0,12.7572
60,0,3.7623
61,0,10.3941
62,0,7.64522
63,0,70.546
64,0,48.2749
65,0,4.81626
66,0,0.985423
67,0,31.1187
68,0,23.5792
69,0,0.418119
70,0,34.1126
71,0,27.2471
72,0,15.3422
73,0,21.0034
74,0,4.16877
75,0,12.6638
76,0,8.15584
77,0,17.6142
78,0,39.2613
79,0,39.9831
80,0,18.2723
81,0,26.3956
82,0,1.4709
83,0,52.0896
84,0,2.31952
85,0,16.4649
86,0,6.04288
87,0,9.94355
88,0,29.1178
89,0,20.5199
90,0,6.83792
91,0,57.7766
92,0,104.912
93,0,105.148
94,0,68.1409
95,0,52.4899
96,0,17.6988
97,0,65.9387
98,0,18.5099
99,0,21.5521
100,0,29.7237
101,0,4.03424
102,0,1.92939
103,0,11.3061
104,0,39.0498
105,0,38.8797
106,0,32.0414
107,0,37.5604
108,0,7.8387
109,0,31.2999
110,0,8.30721
111,0,5.64031
112,0,2.24131
113,0,7.81195
114,0,97.503
115,0,35.0499
116,0,11.9992
117,0,4.80927
118,0,9.08616
119,0,63.2265
120,0,25.4164
121,0,57.4225
122,0,28.6826
123,0,35.5679
124,0,3.75051
125,0,2.62492
126,0,68.0378
127,0,1.027
128,0,25.71
129,0,11.9456
130,0,61.2335
131,0,17.7274
132,0,82.7648
133,0,24.0545
134,0,0.138502
135,0,16.9996
136,0,3.57234
137,0,44.9806
138,0,54.9386
139,0,1.31853
140,0,1.77857
141,0,5.58381
142,0,59.7072
143,0,9.98227
144,0,10.1808
145,0,34.3904
146,0,3.02757
147,0,19.3098
148,0,84.095
149,0,21.2301
150,0,4.89665
151,0,33.9663
152,0,23.6486
153,0,15.3797
154,0,5.4576
155,0,19.2577
156,0,21.8027
157,0,15.791
158,0,82.346
159,0,15.7869
160,0,0.657455
161,0,25.465
162,0,47.0487
163,0,48.0008
164,0,19.2585
165,0,3.63924
166,0,6.94405
167,0,4.11699
168,0,26.5601
169,0,10.6733
170,0,37.0744
171,0,10.7588
172,0,12.4867
173,0,35.7532
174,0,43.4807
175,0,24.8671
176,0,7.39525
177,0,1.8283
178,0,33.9187
179,0,33.8176
180,0,4.03306
181,0,17.04
182,0,107.162
183,0,31.6032
184,0,4.82217
185,0,4.68427
186,0,123.246
187,0,77.1068
188,0,25.0885
189,0,44.2674
190,0,14.0666
191,0,5.3767
192,0,3.05414
193,0,16.6307
194,0,14.2144
195,0,9.56524
196,0,3.06828
197,0,6.07036
198,0,24.0153
199,0,64.164
200,0,49.0227
201,0,70.4501
202,0,73.1738
203,0,1.81366
204,0,15.6882
205,0,8.15241
206,0,78.4908
207,0,22.3097
208,0,45.2785
209,0,70.7822
210,0,21.6424
211,0,15.774
212,0,13.1432
213,0,3.40928
214,0,6.45086
215,0,12.077
216,0,36.0319
217,0,92.8583
218,0,24.5046
219,0,3.61279
220,0,137.137
221,0,8.48923
222,0,5.55544
223,0,10.476
224,0,45.8461
225,0,18.1887
226,0,14.4071
227,0,12.8775
228,0,16.1373
229,0,29.3736
230,0,42.7764
231,0,165.366
232,0,29.9018
233,0,11.611
234,0,40.1397
235,0,55.4481
236,0,22.1578
237,0,62.6661
238,0,92.9639
239,0,0.0257633
240,0,15.5614
241,0,33.6719
242,0,3.98098
243,0,38.5821
244,0,0.921398
245,0,59.1029
246,0,4.9603
247,0,6.32372
248,0,3.4609
249,0,0.291463
250,0,22.1408
251,0,14.0609
252,0,70.5515
253,0,35.9612
254,0,8.06442
255,0,28.7194
256,0,23.2622
257,0,12.9758
258,0,4.35105
259,0,2.98868
260,0,19.7278
261,0,5.07381
262,0,18.0205
263,0,78.1104
264,0,3.51332
265,0,17.6717
266,0,13.821
267,0,51.7126
268,0,30.7615
269,0,75.5306
270,0,73.6314
271,0,2.93255
272,0,2.57087
273,0,76.7525
274,0,0.615199
275,0,12.9216
276,0,5.03167
277,0,76.4701
278,0,11.5231
279,0,33.6268
280,0,3.83104
281,0,4.54293
282,0,4.84476
283,0,2.21248
284,0,6.92073
285,0,10.9779
286,0,24.7755
287,0,23.9824
288,0,9.93493
289,0,29.3542
290,0,32.1177
291,0,37.652
292,0,1.26062
293,0,108.897
294,0,29.0853
295,0,22.4036
296,0,39.1793
297,0,10.9068
298,0,29.1047
299,0,17.4802
300,0,24.6555
301,0,58.157
302,0,34.7204
303,0,50.6676
304,0,44.524
305,0,23.9618
306,0,3.58064
307,0,7.23383
308,0,5.36199
309,0,82.2755
310,0,0.232459
311,0,17.0677
312,0,5.7372
313,0,6.34765
314,0,35.7017
315,0,23.3585
316,0,13.1563
317,0,9.61674
318,0,57.2528
319,0,6.55286
320,0,36.9242
321,0,36.8037
322,0,11.1011
323,0,1.1919
324,0,32.2129
325,0,5.73319
326,0,1.00631
327,0,16.634
328,0,23.4715
329,0,35.1078
330,0,6.19832
331,0,23.5848
332,0,11.5453
333,0,0.363389
334,0,66.8115
335,0,30.2286
336,0,21.2689
337,0,24.4507
338,0,0.182108
339,0,9.16249
340,0,42.404
341,0,25.5133
342,0,54.183
343,0,8.92604
344,0,8.22999
345,0,5.14053
346,0,1.25624
347,0,81.4525
348,0,43.5456
349,0,32.2283
350,0,28.9372
351,0,42.4643
352,0,31.5203
353,0,42.5714
354,0,9.58672
355,0,33.1115
356,0,20.8955
357,0,10.9938
358,0,31.9023
359,0,12.072
360,0,15.8612
361,0,9.11969
362,0,7.70271
363,0,24.1701
364,0,41.6251
365,0,108.545
366,0,0.45916
367,0,8.27338
368,0,4.80596
369,0,5.11143
370,0,12.3896
371,0,64.3223
372,0,16.8653
373,0,50.5833
374,0,8.90606
375,0,34.857
376,0,28.2571
377,0,5.90874
378,0,83.4723
379,0,19.3499
380,0,10.2249
381,0,73.7409
382,0,0.0428622
383,0,1.92287
384,0,3.99816
385,0,16.695
386,0,8.7902
387,0,5.25791
388,0,28.8009
389,0,25.2326
390,0,22.8344
391,0,17.6009
392,0,27.4962
393,0,2.35723
394,0,27.7471
395,0,0.863415
396,0,4.32361
397,0,36.9916
398,0,18.0696
399,0,93.9883
400,0,18.7057
401,0,23.7967
402,0,54.599
403,0,7.96
404,0,3.8619
405,0,49.2037
406,0,13.889
407,0,3.30014
408,0,85.9292
409,0,15.8207
410,0,38.3397
411,0,17.899
412,0,26.0567
413,0,7.26609
414,0,13.6324
415,0,103.852
416,0,6.17401
417,0,8.45167
418,0,36.2072
419,0,10.6196
420,0,9.51156
421,0,0.780299
422,0,27.1714
423,0,13.1428
424,0,31.5736
425,0,51.6578
426,0,17.5905
427,0,48.0337
428,0,15.1636
429,0,53.3666
430,0,31.3639
431,0,28.4608
432,0,12.8621
433,0,77.1525
434,0,2.93335
435,0,38.7706
436,0,54.0024
437,0,2.45766
438,0,68.7187
439,0,7.23824
440,0,21.0696
441,0,1.06251
442,0,22.8227
443,0,57.5687
444,0,32.4665
445,0,3.60196
446,0,0.970506
447,0,0.174523
448,0,3.2515
449,0,52.6741
450,0,17.1773
451,0,2.65172
452,0,4.46057
453,0,17.7167
454,0,6.12115
455,0,17.3815
456,0,12.7293
457,0,47.8542
458,0,33.7967
459,0,9.61858
460,0,42.8237
461,0,14.0907
