gpspoint x_upper y
/gps/hist/point 1.2618568830660185e-09 5.0
/gps/hist/point 1.5922827933410938e-09 3.0
/gps/hist/point 2.009233002565046e-09 10.0
/gps/hist/point 2.535364493970117e-09 13.0
/gps/hist/point 3.1992671377973846e-09 22.0
/gps/hist/point 4.0370172585965495e-09 38.0
/gps/hist/point 5.094138014816386e-09 53.0
/gps/hist/point 6.428073117284319e-09 91.0
/gps/hist/point 8.111308307896856e-09 120.0
/gps/hist/point 1.0235310218990269e-08 189.0
/gps/hist/point 1.2915496650148827e-08 261.0
/gps/hist/point 1.6297508346206433e-08 420.0
/gps/hist/point 2.0565123083486514e-08 615.0
/gps/hist/point 2.5950242113997372e-08 752.0
/gps/hist/point 3.274549162877732e-08 1015.0
/gps/hist/point 4.132012400115334e-08 1315.0
/gps/hist/point 5.2140082879996844e-08 1413.0
/gps/hist/point 6.579332246575682e-08 1452.0
/gps/hist/point 8.302175681319736e-08 1362.0
/gps/hist/point 1.0476157527896662e-07 1144.0
/gps/hist/point 1.3219411484660288e-07 723.0
/gps/hist/point 1.668100537200059e-07 370.0
/gps/hist/point 2.104904144512022e-07 151.0
/gps/hist/point 2.656087782946684e-07 84.0
/gps/hist/point 3.3516026509388407e-07 48.0
/gps/hist/point 4.229242874389499e-07 45.0
/gps/hist/point 5.336699231206302e-07 46.0
/gps/hist/point 6.734150657750828e-07 42.0
/gps/hist/point 8.497534359086439e-07 45.0
/gps/hist/point 1.0722672220103232e-06 34.0
/gps/hist/point 1.3530477745798075e-06 45.0
/gps/hist/point 1.7073526474706886e-06 27.0
/gps/hist/point 2.1544346900318865e-06 39.0
/gps/hist/point 2.71858824273294e-06 34.0
/gps/hist/point 3.430469286314919e-06 30.0
/gps/hist/point 4.328761281083061e-06 32.0
/gps/hist/point 5.4622772176843374e-06 31.0
/gps/hist/point 6.892612104349695e-06 42.0
/gps/hist/point 8.697490026177835e-06 32.0
/gps/hist/point 1.0974987654930568e-05 30.0
/gps/hist/point 1.3848863713938717e-05 44.0
/gps/hist/point 1.747528400007683e-05 29.0
/gps/hist/point 2.2051307399030455e-05 21.0
/gps/hist/point 2.782559402207126e-05 28.0
/gps/hist/point 3.511191734215127e-05 32.0
/gps/hist/point 4.430621457583878e-05 24.0
/gps/hist/point 5.590810182512223e-05 24.0
/gps/hist/point 7.054802310718646e-05 30.0
/gps/hist/point 8.902150854450393e-05 30.0
/gps/hist/point 0.00011233240329780266 39.0
/gps/hist/point 0.00014174741629268049 29.0
/gps/hist/point 0.0001788649529057435 44.0
/gps/hist/point 0.00022570197196339215 33.0
/gps/hist/point 0.0002848035868435799 28.0
/gps/hist/point 0.00035938136638046257 37.0
/gps/hist/point 0.00045348785081285824 27.0
/gps/hist/point 0.0005722367659350221 25.0
/gps/hist/point 0.0007220809018385456 32.0
/gps/hist/point 0.0009111627561154887 21.0
/gps/hist/point 0.0011497569953977356 26.0
/gps/hist/point 0.0014508287784959402 21.0
/gps/hist/point 0.001830738280295366 26.0
/gps/hist/point 0.002310129700083158 21.0
/gps/hist/point 0.002915053062825176 35.0
/gps/hist/point 0.0036783797718286343 28.0
/gps/hist/point 0.004641588833612782 28.0
/gps/hist/point 0.005857020818056662 27.0
/gps/hist/point 0.007390722033525776 31.0
/gps/hist/point 0.0093260334688322 25.0
/gps/hist/point 0.011768119524349991 23.0
/gps/hist/point 0.014849682622544635 34.0
/gps/hist/point 0.01873817422860383 35.0
/gps/hist/point 0.023644894126454073 31.0
/gps/hist/point 0.029836472402833405 33.0
/gps/hist/point 0.03764935806792464 21.0
/gps/hist/point 0.047508101621027934 19.0
/gps/hist/point 0.05994842503189409 35.0
/gps/hist/point 0.07564633275546291 38.0
/gps/hist/point 0.09545484566618327 27.0
/gps/hist/point 0.12045035402587836 32.0
/gps/hist/point 0.1519911082952933 28.0
/gps/hist/point 0.1917910261672485 43.0
/gps/hist/point 0.24201282647943834 32.0
/gps/hist/point 0.30538555088334124 67.0
/gps/hist/point 0.3853528593710535 59.0
/gps/hist/point 0.4862601580065353 45.0
/gps/hist/point 0.6135907273413164 82.0
/gps/hist/point 0.7742636826811278 105.0
/gps/hist/point 0.9770099572992247 89.0
/gps/hist/point 1.2328467394420635 72.0
/gps/hist/point 1.5556761439304723 66.0
/gps/hist/point 1.9630406500402684 21.0
/gps/hist/point 2.4770763559917137 3.0
/gps/hist/point 3.1257158496882353 0.0
/gps/hist/point 3.944206059437648 0.0
/gps/hist/point 4.9770235643321135 0.0
/gps/hist/point 6.280291441834247 0.0
/gps/hist/point 7.924828983539186 0.0
/gps/hist/point 10.0 0.0
